year,ceremony,category,nominee,film,winner,source_url
2010,1st Africa International Film Festival,Best Animation,Montz Mayerhofer,URS,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2010,1st Africa International Film Festival,Best Documentary,Daniel FallShaw,Stolen,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2010,1st Africa International Film Festival,Best Feature Film,Hawa Essuman,Soul Boy,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2010,1st Africa International Film Festival,Best People's Choice Award,Nigel Trellis,Working Girl,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2010,1st Africa International Film Festival,Best Short Film,Wanuri Kahiu,Pumzi,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2011,2nd Africa International Film Festival,Best Animation,lazare sie Pale,Le Parrain,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2011,2nd Africa International Film Festival,Best Documentary,Monica Wangu Wamwere,The Unbroken Spirit,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2011,2nd Africa International Film Festival,Best Feature Film,Niji Akanni,Aramotu,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2011,2nd Africa International Film Festival,Best Short Film,Nicolas Sawaco,Blissi N'Diaye,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2011,2nd Africa International Film Festival,People's Choice Award,Branwen Okpako,The Education of Auma Obama,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2013,3rd Africa International Film Festival,Best Actor,Desmond Elliot,Desmond Elliot,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2013,3rd Africa International Film Festival,Best Actress,Uche Jombo,Uche Jombo,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2013,3rd Africa International Film Festival,Best Director,Roberta Durrant for Felix,Roberta Durrant for Felix,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2013,3rd Africa International Film Festival,Best Documentary,Namir Abdel Messeeh,"The Virgin, the Copts and Me",1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2013,3rd Africa International Film Festival,Best Feature Film,Of Good Report,Of Good Report,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2013,3rd Africa International Film Festival,Best Film Screenplay,iNumber Number,iNumber Number,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2013,3rd Africa International Film Festival,Best Short Film,Zalem Worldmariam,Adamt,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2013,3rd Africa International Film Festival,Best Student Film,Adeyemi Michael,Sodiq,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2013,3rd Africa International Film Festival,Jury Special Prize,Licinio Azevedo,Virgin Margarida,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2013,3rd Africa International Film Festival,President's Best Authentic Nigerian Film,Mildred Okwo,The Meeting,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2013,3rd Africa International Film Festival,Special Jury Mention,Eka Christa Assam,Beleh,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2013,3rd Africa International Film Festival,Special Jury Mention,Rita Dominic and Omoni Oboli,Rita Dominic and Omoni Oboli,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2013,3rd Africa International Film Festival,Special Mention,Africa Shafted,Africa Shafted,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2014,4th Africa International Film Festival,Audience Choice,Gone Too Far!,Gone Too Far!,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2014,4th Africa International Film Festival,Best Actor,Sadiq Daba (October 1) – Nigeria,Sadiq Daba (October 1) – Nigeria,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2014,4th Africa International Film Festival,Best Actress,Thishiwe Ziqubu (Hard to – South Africa,Thishiwe Ziqubu (Hard to – South Africa,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2014,4th Africa International Film Festival,Best Director,Andrew Dosunmu (Mother of George) – Nigeria,Andrew Dosunmu (Mother of George) – Nigeria,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2014,4th Africa International Film Festival,Best Documentary,The Supreme Price,The Supreme Price,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2014,4th Africa International Film Festival,Best Feature Film,October 1 (Kunle Afolayan) – Nigeria,October 1 (Kunle Afolayan) – Nigeria,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
2014,4th Africa International Film Festival,Best Nigerian Film,Ojuju (C.J. Obasi) – Nigeria,Ojuju (C.J. Obasi) – Nigeria,1,https://en.wikipedia.org/wiki/Africa_International_Film_Festival
