year,ceremony,category,nominee,film,winner,source_url
2013,1st Africa Magic Viewers' Choice Awards,Best Actor in a Comedy,Afeez Oyetoro,House a Part,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actor in a Comedy,Bovi,The Bovi Ugboma Show,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actor in a Comedy,Francis Odega,Clinic Matters,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actor in a Comedy,Ikhide Isaac,Wanna Be,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actor in a Comedy,Kunle Bamtefa,Glorious Journey,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actor in a Drama,OC Ukeje,Two Brides and a Baby,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actor in a Drama,Edward Kagutuzi,The Mirror Boy,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actor in a Drama,Fabian Adeoye Lojede,Jacob's Cross,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actor in a Drama,Jafta Mamabolo,Otelo Burning,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actor in a Drama,Kenneth Uphopho,Down & Out,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actress in a Comedy,Mercy Johnson,Dumebi the Dirty Girl,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actress in a Comedy,Funke Akindele,The Return of Jenifa,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actress in a Comedy,Lilian Esoro,Clinic Matters,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actress in a Drama,Jackie Appiah,The Perfect Picture,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actress in a Drama,Bubu Mazibuko,Man on Ground,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actress in a Drama,Funke Akindele,Maami,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actress in a Drama,Genevieve Nnaji,The Mirror Boy,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Actress in a Drama,Nolwazi Shange,Otelo Burning,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Art Director Anita van Hemert / Chantel Carter –,Anita van Hemert /Chantel Carter,Otelo Burning,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Art Director Anita van Hemert / Chantel Carter –,Bernard H. Mulenga,Kawanu,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Art Director Anita van Hemert / Chantel Carter –,Blessing Effiom Egbe,Two Brides and a Baby,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Art Director Anita van Hemert / Chantel Carter –,Bola Belo,Maami,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Art Director Anita van Hemert / Chantel Carter –,Carol Mbugua,Lies that Bind,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Cinematographer,Paul Michelson,Man on Ground,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Cinematographer,Clive Norman,The Mirror Boy,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Cinematographer,Lance Gewer,Otelo Burning,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Cinematographer,Sarafa Abagun,Maami,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Cinematographer,Tom Marais,Skeem,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Costume Designer,Ngozi Obasi,The Mirror Boy,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Costume Designer,Frank Awoonor-Williams,Perfect Picture,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Costume Designer,Frank Osodi Richard,Two Brides and a Baby,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Costume Designer,Nkiru Nwauzor,Spider,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Costume Designer,Preston Mwila,Kawanu,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Lighting Designer,Dave Howe,Otelo Burning,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Lighting Designer,Eleazu Texas,Two Brides and a Baby,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Lighting Designer,Ken Attoh,Perfect Picture,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Lighting Designer,Oluwole Olawoyin,Maami,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Lighting Designer,Terry Emmanuel,Down and Out,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Local Language Movie (Hausa),Faida Nura,Faida Nura,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Local Language Movie (Hausa),Asirka,Asirka,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Local Language Movie (Hausa),Yunkuri,Yunkuri,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Local Language Movie (Swahili),The Ray of Hope,The Ray of Hope,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Local Language Movie (Swahili),Sakalakata,Sakalakata,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Local Language Movie (Swahili),Zenabu,Zenabu,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Local Language Movie (Yoruba),Maami,Maami,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Local Language Movie (Yoruba),Akun,Akun,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
