year,ceremony,category,nominee,film,winner,source_url
2005,1st Africa Movie Academy Awards,Best Actor in a Leading Role,Richard Mofe Damijo,The Mayors,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Actor_in_a_Leading_Role
2005,1st Africa Movie Academy Awards,Best Actor in a Supporting Role,Sam Dede,The Mayors,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Actor_in_a_Supporting_Role
2005,1st Africa Movie Academy Awards,Best Actress in a Leading Role,Genevieve Nnaji,N/A,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Actress_in_a_Leading_Role
2005,1st Africa Movie Academy Awards,Best Actress in a Leading Role,Stephanie Okereke,N/A,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Actress_in_a_Leading_Role
2005,1st Africa Movie Academy Awards,Best Actress in a Supporting Role,Omotola Jalade Ekeinde,N/A,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Actress_in_a_Supporting_Role
2005,1st Africa Movie Academy Awards,Best Cinematography,Abuja Connection,Abuja Connection,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Cinematography
2005,1st Africa Movie Academy Awards,Best Costume Design,Mastermind,Mastermind,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Costume_Design
2005,1st Africa Movie Academy Awards,Best Costume Design,Afonja,Afonja,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Costume_Design
2005,1st Africa Movie Academy Awards,Best Costume Design,Dabi-Dabi,Dabi-Dabi,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Costume_Design
2005,1st Africa Movie Academy Awards,Best Costume Design,Eye of the Gods,Eye of the Gods,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Costume_Design
2005,1st Africa Movie Academy Awards,Best Director,Dickson Iroegbu,The Mayors,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Director
2005,1st Africa Movie Academy Awards,Best Editing,Yesterday,Yesterday,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Editing
2005,1st Africa Movie Academy Awards,Best Editing,Dangerous Twins,Dangerous Twins,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Editing
2005,1st Africa Movie Academy Awards,Best Editing,The Mayors,The Mayors,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Editing
2005,1st Africa Movie Academy Awards,Best Film,Dickson Iroegbu,The Mayors,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Film
2005,1st Africa Movie Academy Awards,Best Film in an African Language,Ori,Ori,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Film_in_an_African_Language
2005,1st Africa Movie Academy Awards,Best Makeup,Yesterday,Yesterday,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Makeup
2005,1st Africa Movie Academy Awards,Best Makeup,Eye of the Gods,Eye of the Gods,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Makeup
2005,1st Africa Movie Academy Awards,Best Makeup,Games Women Play,Games Women Play,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Makeup
2005,1st Africa Movie Academy Awards,Best Screenplay,"Dickson Iroegbu, Tai Emeka Obasi",The Mayors,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Screenplay
2005,1st Africa Movie Academy Awards,Best Screenplay,Afonja,Afonja,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Screenplay
2005,1st Africa Movie Academy Awards,Best Screenplay,Mastermind,Mastermind,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Screenplay
2005,1st Africa Movie Academy Awards,Best Screenplay,Yesterday,Yesterday,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Screenplay
2005,1st Africa Movie Academy Awards,Best Sound,Yesterday,Yesterday,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Sound
2005,1st Africa Movie Academy Awards,Best Sound,Eye of the Gods,Eye of the Gods,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Sound
2005,1st Africa Movie Academy Awards,Best Sound,Osuofia in London,Osuofia in London,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Sound
2005,1st Africa Movie Academy Awards,Best Soundtrack,Osuofia in London,Osuofia in London,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Soundtrack
2005,1st Africa Movie Academy Awards,Best Soundtrack,Aziza,Aziza,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Soundtrack
2005,1st Africa Movie Academy Awards,Best Soundtrack,Games Women Play,Games Women Play,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Soundtrack
2005,1st Africa Movie Academy Awards,Best Soundtrack,Ori,Ori,0,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Soundtrack
2005,1st Africa Movie Academy Awards,Best Visual Effects,Eye of the Gods,Eye of the Gods,1,https://en.wikipedia.org/wiki/Africa_Movie_Academy_Award_for_Best_Visual_Effects
