year,ceremony,category,nominee,film,winner,source_url
2009,1st Best of Nollywood Awards,Best Actor in a lead role (English),Ramsey Nouah,Ramsey Nouah,1,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best Actor in a lead role (English),Clem Ohameze,Clem Ohameze,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best Actor in a lead role (English),Mike Ezuruonye,Mike Ezuruonye,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best Actor in a lead role (English),Ricardo Agbor,Ricardo Agbor,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best Actor in a lead role (English),Yemi Blaq,Yemi Blaq,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best Actress in a lead role (yoruba),Ini Edo,Ini Edo,1,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best Actress in a lead role (yoruba),Bhaira McNwizu,Bhaira McNwizu,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best Actress in a lead role (yoruba),Omotola Jalade,Omotola Jalade,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best Actress in a lead role (yoruba),Portia Yamaha,Portia Yamaha,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best Actress in a lead role (yoruba),Rita Dominic,Rita Dominic,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best Director,Izu Ojukwu,Izu Ojukwu,1,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best Director,Daniel Ademinokan,Daniel Ademinokan,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best Director,Muyiwa Ademola,Muyiwa Ademola,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best supporting Actress,Mercy Johnson,Mercy Johnson,1,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best supporting Actress,Annie Macaulay,Annie Macaulay,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best supporting Actress,Mosun Filani,Mosun Filani,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best supporting Actress,Omoni Oboli,Omoni Oboli,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Best supporting Actress,Toyin Alausa,Toyin Alausa,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Movie of the Year,Cindy’s Notes,Cindy’s Notes,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Movie of the Year,Distance Between,Distance Between,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Movie of the Year,Okuta,Okuta,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Movie of the Year,Omo Iya Kan,Omo Iya Kan,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Movie of the Year,Reloaded,Reloaded,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Radio Personality of the Year,Dan Foster,Dan Foster,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Radio Personality of the Year,Freeze,Freeze,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Radio Personality of the Year,Tosyn Bucknor,Tosyn Bucknor,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Revelation of the Year (female),Kehinde Bankole,Kehinde Bankole,1,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Revelation of the Year (female),Bisi Komolafe,Bisi Komolafe,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Revelation of the Year (female),Etim,Nse Ikpe,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Revelation of the Year (female),Kelechi Ohia,Kelechi Ohia,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,Revelation of the Year (female),Lola Shokeye,Lola Shokeye,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,TV Personality of the Year,Denrele Edun,Denrele Edun,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,TV Personality of the Year,Frank Edoho,Frank Edoho,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2009,1st Best of Nollywood Awards,TV Personality of the Year,Mo Abudu,Mo Abudu,0,https://en.wikipedia.org/wiki/2009_Best_of_Nollywood_Awards
2010,2nd Best of Nollywood Awards,Best Comedy TV programme,AY Show,AY Show,1,https://en.wikipedia.org/wiki/2010_Best_of_Nollywood_Awards
2010,2nd Best of Nollywood Awards,Best Comedy TV programme,Akin Akindele Half Hour,Akin Akindele Half Hour,0,https://en.wikipedia.org/wiki/2010_Best_of_Nollywood_Awards
