year,ceremony,category,nominee,film,winner,source_url
2009,4th Nigeria Entertainment Awards,"""Good or Bad"" –",J. Martins,"""Good or Bad""",1,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,"""Good or Bad"" –",Durella,"""Shayo""",0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,"""Good or Bad"" –",Wande Coal,"""Bumper 2 Bumper""",0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,"""Good or Bad"" –",YQ,"""Efimile""",0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,"""Good or Bad"" –",eLDee,"""Big Boy""",0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,"""Not the Girl"" –",Darey,"""Not the Girl""",1,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,"""Not the Girl"" –",D'banj,"""Suddenly""",0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,"""Not the Girl"" –",J. Martins,"""Good or Bad""",0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,"""Not the Girl"" –",Naeto C,"""Kini Big Deal""",0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,"""Not the Girl"" –",eLDee,"""Bosi Gbangba""",0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,Best Actor,Jim Iyke,Jim Iyke,1,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,Best Actor,Desmond Elliot,Desmond Elliot,0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,Best Actor,Mike Ezuruonye,Mike Ezuruonye,0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,Best Actor,Ramsey Nouah,Ramsey Nouah,0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,Best Actor,Saheed Balogun,Saheed Balogun,0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,Best Actress,Funke Akindele,Funke Akindele,1,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,Best Actress,Genevieve Nnaji,Genevieve Nnaji,0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,Best Actress,Mercy Johnson,Mercy Johnson,0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,Best Actress,Omotola Jalade,Omotola Jalade,0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
2009,4th Nigeria Entertainment Awards,Best Actress,Rita Dominic,Rita Dominic,0,https://en.wikipedia.org/wiki/2009_Nigeria_Entertainment_Awards
