year,ceremony,category,nominee,film,country,winner,source_url
2015,1st African Cinematography Awards (2015),Best Actor,Ibrahim Ahmed,Timbuktu,Mauritania,1,https://en.wikipedia.org/wiki/African_Cinematography_Awards
2015,1st African Cinematography Awards (2015),Best Actress,Toulou Kiki,Timbuktu,Mauritania,1,https://en.wikipedia.org/wiki/African_Cinematography_Awards
2015,1st African Cinematography Awards (2015),Best Director,Abderrahmane Sissako,Timbuktu,Mauritania,1,https://en.wikipedia.org/wiki/African_Cinematography_Awards
2015,1st African Cinematography Awards (2015),Best Film,Abderrahmane Sissako,Timbuktu,Mauritania/France,1,https://en.wikipedia.org/wiki/African_Cinematography_Awards
2016,2nd African Cinematography Awards (2016),Best Film,Mahamat-Saleh Haroun,A Season in France,Chad/France,1,https://en.wikipedia.org/wiki/African_Cinematography_Awards
2017,3rd African Cinematography Awards (2017),Best Director,Newton Aduaka,Ezra,Nigeria,1,https://en.wikipedia.org/wiki/African_Cinematography_Awards
2017,3rd African Cinematography Awards (2017),Best Film,Newton Aduaka,Ezra,Nigeria,1,https://en.wikipedia.org/wiki/African_Cinematography_Awards
2018,4th African Cinematography Awards (2018),Best Film,Leila Kilani,On the Edge,Morocco,1,https://en.wikipedia.org/wiki/African_Cinematography_Awards
2019,5th African Cinematography Awards (2019),Best Director,Mati Diop,Atlantics,Senegal,1,https://en.wikipedia.org/wiki/African_Cinematography_Awards
2019,5th African Cinematography Awards (2019),Best Film,Mati Diop,Atlantics,Senegal/France,1,https://en.wikipedia.org/wiki/African_Cinematography_Awards
2021,7th African Cinematography Awards (2021),Best Film,Dieudo Hamadi,Downstream to Kinshasa,DRC,1,https://en.wikipedia.org/wiki/African_Cinematography_Awards
2022,8th African Cinematography Awards (2022),Best Director,Amil Shivji,Tug of War,Tanzania,1,https://en.wikipedia.org/wiki/African_Cinematography_Awards
2022,8th African Cinematography Awards (2022),Best Film,Amil Shivji,Tug of War,Tanzania,1,https://en.wikipedia.org/wiki/African_Cinematography_Awards
2023,9th African Cinematography Awards (2023),Best Film,Ramata-Toulaye Sy,Banel & Adama,Senegal/France,1,https://en.wikipedia.org/wiki/African_Cinematography_Awards
