year,ceremony,category,nominee,film,country,winner,source_url
1966,Carthage Film Festival 1966,Tanit d'Argent (Silver Tanit),Jaromil Jireš,The Cry,Czechoslovakia,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1966,Carthage Film Festival 1966,Tanit d'Or (Golden Tanit),,La Noire de...,,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1966,Carthage Film Festival 1966,Tanit d'Or (Golden Tanit),,Ousmane Sembène (Senegal),,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1968,Carthage Film Festival 1968,Tanit d'Argent (Silver Tanit),Khalil Chawki,The Night Watchman,Iraq,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1968,Carthage Film Festival 1968,Tanit de Bronze (Bronze Tanit),Sadok Ben Aïcha,Mokhtar,Tunisia,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1970,Carthage Film Festival 1970,Tanit d'Argent (Silver Tanit),"Nabil Maleh, Marouane El Mouadhen et Mohamed Chahine",Des hommes au soleil,Syria,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1970,Carthage Film Festival 1970,Tanit d'Or (Golden Tanit),,The body of work of Youssef Chahine (Egypt) Le Choix,,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1970,Carthage Film Festival 1970,Tanit de Bronze (Bronze Tanit),Abdellatif Ben Ammar (Tunisia) Khlifa the Ringworm by Hamouda Ben Halima,Wechma de Hamid Bénani (Marocco) Une si simple histoire,Tunisia,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1972,Carthage Film Festival 1972,Tanit d'Argent (Silver Tanit),Mohamed Bouamari,The Charcoal Maker,Algeria,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1972,Carthage Film Festival 1972,Tanit d'Or (Golden Tanit),"Tawfiq Saleh (Syria) Sambizanga by Sarah Maldoror (Zaire) My Village, a Village among Others by Taïeb Louhichi",Les Dupes,Tunisia,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1972,Carthage Film Festival 1972,Tanit de Bronze (Bronze Tanit),,And Tomorrow?,,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1972,Carthage Film Festival 1972,Tanit de Bronze (Bronze Tanit),Khaled Al Siddiq,Brahim Babaï (Tunisia) Lambaaye de Mahama Johnson Traoré (Senegal) The Cruel Sea,,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1974,Carthage Film Festival 1974,Tanit d'Argent (Silver Tanit),Abdellatif Ben Ammar,Sejnane,Tunisia,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1974,Carthage Film Festival 1974,Tanit d'Or (Golden Tanit),Borhane Alaouié,"Arabs and Niggers, Your Neighboursby Med Hondo (Mauritania) Kafr kasem",Libya / Syria,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1976,Carthage Film Festival 1976,Tanit d'Argent (Silver Tanit),Jean-Pierre Dikongué Pipa,Muna Moto,Cameroon,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1976,Carthage Film Festival 1976,Tanit d'Or (Golden Tanit),,The Ambassadors de Naceur Ktari (Tunisie / Libya / France),,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1976,Carthage Film Festival 1976,Tanit de Bronze (Bronze Tanit),Sidney Sokhona,Nationality: Immigration,Mauritania,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1976,Carthage Film Festival 1976,Winners,Naceur Ktari,1976: Les Ambassadeurs,,0,https://en.wikipedia.org/wiki/Tanit_d%27or
