year,ceremony,category,nominee,film,country,winner,source_url
1972,FESPACO 1972,Consolation prize,Tidiane Aw,Pour ceux qui savent,Senegal,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
1972,FESPACO 1972,First Prize (Étalon de Yennenga),Oumarou Ganda,Le Wazzou polygame,Niger,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
1972,FESPACO 1972,First prize - Best Short Film,Roger Kwami Zinga,Moseka,Zaïre,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
1972,FESPACO 1972,Second Prize (Prix spécial d'authenticité),Moussa Kemoko Diakité,Hydre Dyama,Guinea,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
1972,FESPACO 1972,Second prize - Best Short Film,Pierre-Marie Dong,Sur le sentier du requiem,Gabon,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
1972,FESPACO 1972,Third Prize,Ahmed Rachedi,L'Opium et le bâton,Algeria,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
1973,FESPACO 1973,Best Short Film,Benoit-Maurice Ramampy,Accident,Madagascar,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
1973,FESPACO 1973,Congratulations of the Jury,,Oumarou Ganda (Niger),,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
1973,FESPACO 1973,Consolation Prize,Mamadou Djim Kola,Le Sang des parias,Upper Volta,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
1973,FESPACO 1973,First prize (Étalon de Yennenga),Souheil Ben Barka,Les Mille et une mains,Morocco,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
1973,FESPACO 1973,Prize of the 7th art,Mohamed Lakdar Hamina,Décembre,Algeria,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
1976,FESPACO 1976,Another special mention,,first participation of Ghana,,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
1976,FESPACO 1976,First prize (Étalon de Yennenga),Dikongue Pipa,Muna Moto,Cameroon,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
1976,FESPACO 1976,Jury Prize,Abdellatif Ben Ammar (Tunisia) and Nationalité immigrée by Sydney Sokhona,Sejnane,Mauritania,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
1976,FESPACO 1976,Prize of the 7th art,Mohamed Bouhamari,L'Héritage,Algeria,1,https://en.wikipedia.org/wiki/List_of_FESPACO_award_winners
