year,ceremony,category,nominee,film,country,winner,source_url
1998,ZIFF 1998,Golden Dhow winners,"Martin Mhando, Ron Mulvihill",Maangamizi: The Ancient One,Tanzania/United States,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2000,ZIFF 2000,Golden Dhow winners,Jamil Dehlavi,Jinnah,Pakistan,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2001,ZIFF 2001,Golden Dhow winners,Jagmohan Mundhra,Bawandar (The Sand Storm),India,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2004,ZIFF 2004,Golden Dhow winners,Rajiv Vijay Raghavan,Maargam (The Path),India (in Malayalam),0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2005,ZIFF 2005,Golden Dhow winners,Atiq Rahimi,Khakestar-o-Khak (Earth and Ashes),Afghanistan,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2006,ZIFF 2006,Golden Dhow winners,Cheikh Ndiaye,L'Appel Des Arenes (Wrestling Grounds),Senegal/Morocco/Burkina Faso/France,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2007,ZIFF 2007,Golden Dhow winners,Balufu Bakupa-Kanyinda,Juju Factory,Democratic Republic of Congo,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2008,ZIFF 2008,Golden Dhow winners,Newton I. Aduaka,Ezra,Nigeria/France,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2009,ZIFF 2009,Golden Dhow winners,Ralph Ziman,Jerusalema,South Africa,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2010,ZIFF 2010,Golden Dhow winners,Stefanie Sycholt,Themba,South Africa,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2011,ZIFF 2011,Golden Dhow winners,Bob Nyanja,The Rugged Priest,Kenya,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2012,ZIFF 2012,Golden Dhow winners,Ndaba Ka Ngane,Uhlanga,South Africa,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2013,ZIFF 2013,Golden Dhow winners,Vahid Mousaia,Golchereh,,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2014,ZIFF 2014,Golden Dhow winners,Biyi Bandele,Half of a Yellow Sun,United States,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2015,ZIFF 2015,Golden Dhow winners,Faras Cavallo,Wazi FM,Kenya,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2016,ZIFF 2016,Golden Dhow winners,Nick Reding,Watatu,Kenya,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2017,ZIFF 2017,Golden Dhow winners,Daryne Joshua,Noem My Skollie,South Africa,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2018,ZIFF 2018,Golden Dhow winners,Likarion Wainaina,Supa Modo,Kenya/Germany,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2019,ZIFF 2019,Golden Dhow winners,Mahmoud Ben Mahmoud,Fatwa,Tunisia,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2021,ZIFF 2021,Golden Dhow winners,Seko Shamte,Binti,Tanzania,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2022,ZIFF 2022,Golden Dhow winners,Amil Shivji,Vuta N'Kuvute (Tug of War),Tanzania,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2023,ZIFF 2023,Golden Dhow winners,Eddie Mzale,Eonii,Tanzania,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
2024,ZIFF 2024,Golden Dhow winners,Mohamed Kordofani,Goodbye Julia,Sudan,0,https://en.wikipedia.org/wiki/Zanzibar_International_Film_Festival
