year,film,person,is_winner,raw_text,source_url
1965,Kim Jin-kyu,Deaf Sam-yong,True,1965 (1st) | Kim Jin-kyu ‡ | Deaf Sam-yong | 벙어리 삼룡 | Sam-yong,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1966,Shin Young-kyun,The Sea Village,True,1966 (2nd) | Shin Young-kyun ‡ | The Sea Village | 갯마을 | Sang-soo,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1967,Kim Jin-kyu,The Sun Rises Again,True,1967 (3rd) | Kim Jin-kyu ‡ | The Sun Rises Again | 태양은 다시 뜬다 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1968,Choi Nam-hyun,Legend of Ssarigol,True,1968 (4th) | Choi Nam-hyun ‡ | Legend of Ssarigol | 싸리꼴의 신화 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1969,Shin Young-kyun,Prince Daewon,True,1969 (5th) | Shin Young-kyun ‡ | Prince Daewon | 대원군 | Heungseon Daewongun,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1970,Hwang Hae,The Old Jar Craftsman,True,1970 (6th) | Hwang Hae ‡ | The Old Jar Craftsman | 독짓는 늙은이 | Old Man Song,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1971,Choi Moo-ryong,Please Turn Off the Light,True,1971 (7th) | Choi Moo-ryong ‡ | Please Turn Off the Light | 방에 불을 꺼주오 | Kang-young,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1972,Heo Jang-kang,Bun-rye's Story,True,1972 (8th) | Heo Jang-kang ‡ | Bun-rye's Story | 분례기 | Yong Pal-il,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1973,Namkoong Won,Insect Woman,True,1973 (9th) | Namkoong Won ‡ | Insect Woman | 충녀 | Dong Shik,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1974,Hah Myung-joong,"Me, Myself, and I",True,"1974 (10th) | Hah Myung-joong ‡ | Me, Myself, and I | 나와 나 | ",https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1975,Kim Jin-kyu,A Story of Crazy Painter: Gwanghwasa,True,1975 (11th) | Kim Jin-kyu ‡ | A Story of Crazy Painter: Gwanghwasa | 광화사 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1975,The Executioner,망나니,True,Baek Il-seob ‡ | The Executioner | 망나니 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1976,Kim Hee-ra,Last Embrace,True,1976 (12th) | Kim Hee-ra ‡ | Last Embrace | 마지막 포옹 | Hak-su,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1977,Lee Soon-jae,Concentration of Attention,True,1977 (13th) | Lee Soon-jae ‡ | Concentration of Attention | 집념 | Heo Jun,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1978,Shin Seong-il,Winter Woman,True,1978 (14th) | Shin Seong-il ‡ | Winter Woman | 겨울여자 | Heo-min,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1978,Floating Plants,부초,True,Hwang Hae ‡ | Floating Plants | 부초 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1979,Park Geun-hyung,The Swamp of Exile,True,1979 (15th) | Park Geun-hyung ‡ | The Swamp of Exile | 망명의 늪 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1980,Lee Dae-keun,Wild Ginseng,True,1980 (16th) | Lee Dae-keun ‡ | Wild Ginseng | 심봤다 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1981,Sin Yeong-il,The Man Who Dies Every Day,True,1981 (17th) | Sin Yeong-il ‡ | The Man Who Dies Every Day | 매일 죽는 남자 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1982,Ahn Sung-ki,Mandala,True,1982 (18th) | Ahn Sung-ki ‡ | Mandala | 만다라 | Beop-un,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1983,Village in the Mist,안개마을,True,1983 (19th) | Village in the Mist | 안개마을 | Kae-Cheol,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1984,The Flower at the Equator,적도의 꽃,True,1984 (20th) | The Flower at the Equator | 적도의 꽃 | Mister M,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1985,Deep Blue Night,깊고 푸른밤,True,1985 (21st) | Deep Blue Night | 깊고 푸른밤 | Baek Ho-bin,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1986,Lee Young-ha,Fire Women Village,True,1986 (22nd) | Lee Young-ha ‡ | Fire Women Village | 화녀촌 | Jong-sub,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1987,Shin Seong-il,Lethe's Love Song,True,1987 (23rd) | Shin Seong-il ‡ | Lethe's Love Song | 레테의 연가 | Han Seung-woo,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1988,Lee Deok-hwa,You My Rose Mellow,True,1988 (24th) | Lee Deok-hwa ‡ | You My Rose Mellow | 접시꽃 당신 | Jong-hwan,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
1989,Ahn Sung-ki,The Age of Success,True,1989 (25th) | Ahn Sung-ki ‡ | The Age of Success | 성공시대 | Kim Pan-chok,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
