year,film,person,is_winner,raw_text,source_url
1966,Moon Jung-suk,Market,True,1966 (2nd) | Moon Jung-suk ‡ | Market |  | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1967,Late Autumn,,True,1967 (3rd) | Late Autumn,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1968,Moon Hee,Guests Who Arrived on the Last Train,True,1968 (4th) | Moon Hee ‡ | Guests Who Arrived on the Last Train | 막차로 온 손님들 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1969,Kim Ji-mee,Prince Daewon,True,1969 (5th) | Kim Ji-mee ‡ | Prince Daewon | 대원군 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1970,Yoon Jeong-hee,The Old Jar Craftsman,True,1970 (6th) | Yoon Jeong-hee ‡ | The Old Jar Craftsman | 독짓는 늙은이 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1971,Affair on the Beach,해변의 정사,True,1971 (7th) | Affair on the Beach | 해변의 정사 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1972,Ko Eun-ah,Confession,True,1972 (8th) | Ko Eun-ah ‡ | Confession | 고백 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1973,Yoon Jeong-hee,Oyster Village,True,1973 (9th) | Yoon Jeong-hee ‡ | Oyster Village | 석화촌 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1974,Kim Ji-mee,Weed,True,1974 (10th) | Kim Ji-mee ‡ | Weed | 잡초 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1976,Kim Ja-ok,The Kept Woman,True,1976 (12th) | Kim Ja-ok ‡ | The Kept Woman | 보통 여자 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1977,Tae Hyun-sil,Wife,True,1977 (13th) | Tae Hyun-sil ‡ | Wife | 아내 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1978,Kim Yun-gyeong,The Life of Ok-rye,True,1978 (14th) | Kim Yun-gyeong ‡ | The Life of Ok-rye | 옥례기 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1978,Under the Sky without My Mom,엄마 없는 하늘 아래,True,Yoon Mi-ra ‡ | Under the Sky without My Mom | 엄마 없는 하늘 아래 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1979,Kim Ja-ok,The Woman on the Ferris Wheel,True,1979 (15th) | Kim Ja-ok ‡ | The Woman on the Ferris Wheel | 목마 위의 여자 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1980,Yu Ji-in,I Saw the Wild Ginseng,True,1980 (16th) | Yu Ji-in ‡ | I Saw the Wild Ginseng | 심봤다 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1981,Jeong Yun-hui,The One I Love,True,1981 (17th) | Jeong Yun-hui ‡ | The One I Love | 사랑하는 사람아 | Young-joo,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1982,Parrot Cries with Its Body,앵무새의 몸으로 울었다,True,1982 (18th) | Parrot Cries with Its Body | 앵무새의 몸으로 울었다 | Su-ryrn,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1983,Jung Young-sook,Temptation,True,1983 (19th) | Jung Young-sook ‡ | Temptation | 유혹 | ,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1984,Won Mi-kyung,Mulleya Mulleya,True,1984 (20th) | Won Mi-kyung ‡ | Mulleya Mulleya | 여인 잔혹사 물레야 물레야 | Gillye,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1985,Lee Mi-sook,Warm It Was That Winter,True,1985 (21st) | Lee Mi-sook ‡ | Warm It Was That Winter | 그해 겨울은 따뜻했네 | Oh-mok / Su-yin,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1986,Lee Bo-hee,Eoudong,True,1986 (22nd) | Lee Bo-hee ‡ | Eoudong | 어우동 | Uhwudong,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1987,Kim Ji-mee,Ticket,True,1987 (23rd) | Kim Ji-mee ‡ | Ticket | 티켓 | Ji-sook,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1988,Lee Bo-hee,You My Rose Mellow,True,1988 (24th) | Lee Bo-hee ‡ | You My Rose Mellow | 접시꽃 당신 | Su-kyung,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1989,Lee Hye-young,The Age of Success,True,1989 (25th) | Lee Hye-young ‡ | The Age of Success | 성공시대 | Sung So-bi,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1990,Chang Mi-hee,Country of Fire,True,1990 (26th) | Chang Mi-hee ‡ | Country of Fire | 불의 나라 | Jeong Eun-ha,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1991,Lee Hye-sook,Silver Stallion,True,1991 (27th) | Lee Hye-sook ‡ | Silver Stallion | 은마는 오지 않는다 | Eon-rae,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1991,The Woman Who Walks on Water,물 위를 걷는 여자,False,Hwang Shin-hye | The Woman Who Walks on Water | 물 위를 걷는 여자 | Nan-hee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1992,Kang Soo-yeon,The Road to the Race Track,True,1992 (28th) | Kang Soo-yeon ‡ | The Road to the Race Track | 경마장 가는 길 | J,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1992,Susanne Brink's Arirang,수잔브링크의 아리랑,False,Choi Jin-sil | Susanne Brink's Arirang | 수잔브링크의 아리랑 | Susanne,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1993,Bae Jong-ok,Walking to Heaven,True,1993 (29th) | Bae Jong-ok ‡ | Walking to Heaven | 걸어서 하늘까지 | Ji-suk,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1994,Choi Jin-sil,I Wish for What Is Forbidden to Me,True,1994 (30th) | Choi Jin-sil ‡ | I Wish for What Is Forbidden to Me | 나는 소망한다 내게 금지된 것을 | Kang Min-ju,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1994,To the Starry Island,그 섬에 가고싶다,False,Shim Hye-jin | To the Starry Island | 그 섬에 가고싶다 | Oknimi,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1995,Choi Myung-gil,Rosy Life,True,1995 (31st) | Choi Myung-gil ‡ | Rosy Life | 장미빛 인생 | Madam,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1995,How to Top My Wife,마누라 죽이기,False,Choi Jin-sil | How to Top My Wife | 마누라 죽이기 | Jang So-young,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1995,Out to the World,세상밖으로,False,Shim Hye-jin | Out to the World | 세상밖으로 | Hye-jin,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1996,Shim Hye-jin,Go Alone Like Musso's Horn,True,1996 (32nd) | Shim Hye-jin ‡ | Go Alone Like Musso's Horn | 무소의 뿔처럼 혼자서 가라 | Kyung-hye,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1996,Dr. Bong,닥터봉,False,Kim Hye-soo | Dr. Bong | 닥터봉 | Hwang Yeo-jin,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1996,A Hot Roof,개같은 날의 오후,False,Jung Sung-kyung | A Hot Roof | 개같은 날의 오후 | Jang Yun-hee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1996,"301, 302",삼공일 삼공이,False,"Bang Eun-jin | 301, 302 | 삼공일 삼공이 | Song-hee",https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1997,Shim Hye-jin,Green Fish,True,1997 (33rd) | Shim Hye-jin ‡ | Green Fish | 초록 물고기 | Mi-ae,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1997,Ghost Mamma,고스트 맘마,False,Choi Jin-sil | Ghost Mamma | 고스트 맘마 | Cha In-ju,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1997,Their Last Love Affair,지독한 사랑,False,Kang Soo-yeon | Their Last Love Affair | 지독한 사랑 | Young-hee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1997,Born to Kill,본 투 킬,False,Shim Eun-ha | Born to Kill | 본 투 킬 | Soo-ha,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1998,Shim Eun-ha,Christmas in August,True,1998 ( 34th ) | Shim Eun-ha ‡ | Christmas in August | 8월의 크리스마스 | Kim Da-rim,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1998,The Letter,편지,False,Choi Jin-sil | The Letter | 편지 | Lee Jeong-in,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1998,Downfall,창,False,Shin Eun-kyung | Downfall | 창 | Bang Woo-ri,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1998,Blackjack,블랙잭,False,Kang Soo-yeon | Blackjack | 블랙잭 | Jang Eun-yun,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1999,Jeon Do-yeon,A Promise,True,1999 (35th) | Jeon Do-yeon ‡ | A Promise | 약속 | Chae Hee-ju,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1999,Art Museum by the Zoo,미술관 옆 동물원,False,Shim Eun-ha | Art Museum by the Zoo | 미술관 옆 동물원 | Lee Choon-hee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1999,An Affair,정사,False,Lee Mi-sook | An Affair | 정사 | Seo-hyun,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
1999,Girls' Night Out,처녀들의 저녁식사,False,Kang Soo-yeon | Girls' Night Out | 처녀들의 저녁식사 | Ho-jung,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2000,Kang Soo-yeon,Rainbow Trout,True,2000 (36th) | Kang Soo-yeon ‡ | Rainbow Trout | 송어 | Jung-hwa,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2000,Happy End,해피엔드,False,Jeon Do-yeon | Happy End | 해피엔드 | Choi Bo-ra,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2000,Tell Me Something,텔 미 썸딩,False,Shim Eun-ha | Tell Me Something | 텔 미 썸딩 | Chae Soo-yeon,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2000,General Hospital: The Movie - A Thousand Days,종합병원 The Movie 천일동안,False,Shin Eun-kyung | General Hospital: The Movie - A Thousand Days | 종합병원 The Movie 천일동안 | Kang Eun-soo,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2001,Jeon Do-yeon,I Wish I Had a Wife,True,2001 (37th) | Jeon Do-yeon ‡ | I Wish I Had a Wife | 나도 아내가 있었으면 좋겠다 | Jung Won-ju,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2001,Joint Security Area,공동경비구역 JSA,False,Lee Young-ae | Joint Security Area (film) | 공동경비구역 JSA | Maj. Sophie E.Jean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2001,The Isle,섬,False,Suh Jung | The Isle | 섬 | Hee-jin,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2002,Bae Doona,Take Care of My Cat,True,2002 (38th) | Bae Doona ‡ | Take Care of My Cat | 고양이를 부탁해 | Yoo Tae-hee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2002,One Fine Spring Day,봄날은 간다,False,Lee Young-ae | One Fine Spring Day | 봄날은 간다 | Han Eun-soo,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2002,Sorum,소름,False,Jang Jin-young | Sorum | 소름 | Sun-young,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2002,Wanee & Junah,와니와 준하,False,Kim Hee-sun | Wanee & Junah | 와니와 준하 | Wa-ni,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2003,Uhm Jung-hwa,Marriage is a Crazy Thing,True,2003 (39th) | Uhm Jung-hwa ‡ | Marriage is a Crazy Thing | 결혼은 미친 짓이다 | Yeon-hee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2003,Oasis,오아시스,False,Moon So-ri | Oasis | 오아시스 | Han Gong-ju,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2003,Marrying the Mafia,가문의 영광,False,Kim Jung-eun | Marrying the Mafia | 가문의 영광 | Jang Jin-kyeong,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2003,Ardor,밀애,False,Yunjin Kim | Ardor | 밀애 | Mi-heun,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2004,Kim Ha-neul,Too Beautiful to Lie,True,2004 (40th) | Kim Ha-neul ‡ | Too Beautiful to Lie | 그녀를 믿지 마세요 | Joo Yeong-ju,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2004,Untold Scandal,스캔들 - 조선남녀상열지사,False,Lee Mi-sook | Untold Scandal | 스캔들 - 조선남녀상열지사 | Lady Cho,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2004,Lady Jeong,,False,Jeon Do-yeon | Lady Jeong,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2004,The Greatest Expectation,위대한 유산,False,Kim Sun-ah | The Greatest Expectation | 위대한 유산 | Mi-young,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2005,Kim Hye-soo,Hypnotized,True,2005 ( 41st ) | Kim Hye-soo ‡ | Hypnotized | 얼굴없는 미녀 | Ji-su,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2005,"My Mother, the Mermaid",인어공주,False,"Jeon Do-yeon | My Mother, the Mermaid | 인어공주 | Kim Na-young / Jo Yeon-soon",https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2005,The Scarlet Letter,주홍글씨,False,Lee Eun-ju | The Scarlet Letter | 주홍글씨 | Choi Ga-hee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2006,Lee Young-ae,Sympathy for Lady Vengeance,True,2006 ( 42nd ) | Lee Young-ae ‡ | Sympathy for Lady Vengeance | 친절한 금자씨 | Lee Geum-ja,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2006,Blue Swallow,청연,False,Jang Jin-young | Blue Swallow | 청연 | Park Kyung-won,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2006,You Are My Sunshine,너는 내 운명,False,Jeon Do-yeon | You Are My Sunshine | 너는 내 운명 | Jeon Eun-ha,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2006,Rules of Dating,연애의 목적,False,Kang Hye-jung | Rules of Dating | 연애의 목적 | Choi Hong,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2006,Princess Aurora,오로라공주,False,Uhm Jung-hwa | Princess Aurora | 오로라공주 | Jung Soon-jung,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2007,Yum Jung-ah,The Old Garden,True,2007 ( 43rd ) | Yum Jung-ah ‡ | The Old Garden | 오래된 정원 | Han Yun-hee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2007,"I'm a Cyborg, But That's OK",싸이보그지만 괜찮아,False,"Im Soo-jung | I'm a Cyborg, But That's OK | 싸이보그지만 괜찮아 | Cha Young-goon",https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2007,Between Love and Hate,"연애, 그 참을 수 없는 가벼움",False,"Jang Jin-young | Between Love and Hate | 연애, 그 참을 수 없는 가벼움 | Yeon-ah",https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2007,Tazza: The High Rollers,타짜,False,Kim Hye-soo | Tazza: The High Rollers | 타짜 | Madam Jeong,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2007,Cruel Winter Blues,열혈남아,False,"Na Moon-hee | Cruel Winter Blues | 열혈남아 | Dae-Sik's mother, Kim Jeong-sim",https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2008,Kim Min-hee,Hellcats,True,2008 ( 44th ) | Kim Min-hee ‡ | Hellcats | 뜨거운 것이 좋아 | Kim Ah-mi,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2008,Happiness,행복,False,Im Soo-jung | Happiness | 행복 | Eun-hee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2008,Secret Sunshine,밀양,False,Jeon Do-yeon | Secret Sunshine | 밀양 | Lee Shin-ae,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2008,Forever the Moment,우리 생애 최고의 순간,False,Kim Jung-eun | Forever the Moment | 우리 생애 최고의 순간 | Kim Hye-kyeong,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2008,Seven Days,세븐 데이즈,False,Yunjin Kim | Seven Days | 세븐 데이즈 | Yoo Ji-yeon,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2009,Son Ye-jin,My Wife Got Married,True,2009 ( 45th ) | Son Ye-jin ‡ | My Wife Got Married | 아내가 결혼했다 | Joo In-ah,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2009,Crush and Blush,미쓰 홍당무,False,Gong Hyo-jin | Crush and Blush | 미쓰 홍당무 | Yang Mi-sook,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2009,Viva! Love,경축! 우리사랑,False,Kim Hae-sook | Viva! Love | 경축! 우리사랑 | Bong-soon,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2009,Portrait of a Beauty,미인도,False,Kim Gyu-ri | Portrait of a Beauty | 미인도 | Shin Yun-bok,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2009,Sunny,님은 먼곳에,False,Soo Ae | Sunny | 님은 먼곳에 | Soon-yi / Sunny,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2010,Ha Ji-won,Closer to Heaven,True,2010 ( 46th ) | Ha Ji-won ‡ | Closer to Heaven | 내 사랑 내 곁에 | Lee Ji-soo,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2010,Goodbye Mom,애자,False,Choi Kang-hee | Goodbye Mom | 애자 | Park Ae-ja,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2010,Mother,마더,False,Kim Hye-ja | Mother | 마더 | Mother,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2010,Thirst,박쥐,False,Kim Ok-vin | Thirst | 박쥐 | Tae-ju,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2010,Paju,파주,False,Seo Woo | Paju | 파주 | Choi Eun-mo,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2011,Tang Wei,Late Autumn,True,2011 ( 47th ) | Tang Wei ‡ | Late Autumn | 만추 | Anna,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2011,The Servant,방자전,False,Jo Yeo-jeong | The Servant | 방자전 | Chun-hyang,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2011,Bedevilled,김복남 살인사건의 전말,False,Seo Young-hee | Bedevilled | 김복남 살인사건의 전말 | Kim Bok-nam,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2011,Midnight FM,심야의 FM,False,Soo Ae | Midnight FM | 심야의 FM | Ko Sun-young,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2011,Poetry,시,False,Yoon Jeong-hee | Poetry | 시 | Yang Mi-ja,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2012,Uhm Jung-hwa,Dancing Queen,True,2012 ( 48th ) | Uhm Jung-hwa ‡ | Dancing Queen | 댄싱퀸 | Herself,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2012,Pained,통증,False,Jung Ryeo-won | Pained | 통증 | Dong-hyun,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2012,Helpless,화차,False,Kim Min-hee | Helpless | 화차 | Kang Seon-yeong / Cha Gyeong-seon,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2012,Sunny,써니,False,Shim Eun-kyung | Sunny | 써니 | Im Na-mi,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2012,Spellbound,오싹한 연애,False,Son Ye-jin | Spellbound | 오싹한 연애 | Kang Yeo-ri,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2013,Kim Min-hee,Very Ordinary Couple,True,2013 ( 49th ) | Kim Min-hee ‡ | Very Ordinary Couple | 연애의 온도 | Jang Young,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2013,Love 911,반창꼬,False,"Han Hyo-joo | Love 911 | 반창꼬 | Mi-soo, doctor",https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2013,All About My Wife,내 아내의 모든 것,False,Im Soo-jung | All About My Wife | 내 아내의 모든 것 | Yeon Jung-in,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2013,Pietà,피에타,False,Jo Min-su | Pietà | 피에타 | Jang Mi-sun,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2013,Juvenile Offender,범죄소년,False,Lee Jung-hyun | Juvenile Offender | 범죄소년 | Hyo-Seung,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2014,Shim Eun-kyung,Miss Granny,True,2014 ( 50th ) | Shim Eun-kyung ‡ | Miss Granny | 수상한 그녀 | Young Oh Mal-soon / Oh Doo-ri,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2014,Way Back Home,집으로 가는 길,False,Jeon Do-yeon | Way Back Home | 집으로 가는 길 | Song Jeong-yeon,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2014,Thread of Lies,우아한 거짓말,False,Kim Hee-ae | Thread of Lies | 우아한 거짓말 | Hyun-sook,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2014,Hide and Seek,숨바꼭질,False,Moon Jeong-hee | Hide and Seek | 숨바꼭질 | Joo-hee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2014,Hope,소원,False,Uhm Ji-won | Hope | 소원 | Kim Mi-hee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2015,Yum Jung-ah,Cart,True,2015 ( 51st ) | Yum Jung-ah ‡ | Cart | 카트 | Sun-hee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2015,A Girl at My Door,도희야,False,Bae Doona | A Girl at My Door | 도희야 | Lee Young-nam,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2015,Sun Do-hee,,False,Kim Sae-ron | Sun Do-hee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2015,Gyeongju,경주,False,Shin Min-a | Gyeongju | 경주 | Gong Yoon-hee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
2015,The Pirates,해적: 바다로 간 산적,False,Son Ye-jin | The Pirates | 해적: 바다로 간 산적 | Yeo-wol,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actress_–_Film
