year,film,person,is_winner,raw_text,source_url
1965,Shin Sang-ok,Deaf Sam-yong,True,1965 (1st) | Shin Sang-ok ‡ | Deaf Sam-yong | 벙어리 삼룡,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1966,Kim Soo-yong,The Sea Village,True,1966 (2nd) | Kim Soo-yong ‡ | The Sea Village | 갯마을,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1967,Lee Man-hee,Late Autumn,True,1967 (3rd) | Lee Man-hee ‡ | Late Autumn | 만추,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1968,Children of the Firing Range,싸리골의 신화,True,1968 (4th) | Children of the Firing Range | 싸리골의 신화,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1969,Lee Sung-gu,The General's Mustache,True,1969 (5th) | Lee Sung-gu ‡ | The General's Mustache | 장군의 수염,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1970,Lee Sung-gu,7 People in the Cellar,True,1970 (6th) | Lee Sung-gu ‡ | 7 People in the Cellar | 지하실의 7인,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1971,Jeong So-young,Pilnyeo,True,1971 (7th) | Jeong So-young ‡ | Pilnyeo | 필녀,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1972,Shin Sang-ok,War and Humanity,True,1972 (8th) | Shin Sang-ok ‡ | War and Humanity | 전쟁과 인간,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1973,Kim Ki-young,Insect Woman,True,1973 (9th) | Kim Ki-young ‡ | Insect Woman | 충녀,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1974,Lee Won-se,Special Investigation Unit: The Case of Bae Tae-ok,True,1974 (10th) | Lee Won-se ‡ | Special Investigation Unit: The Case of Bae Tae-ok | 특별수사본부 배태옥 사건,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1975,Byun Jang-ho,The Executioner,True,1975 (11th) | Byun Jang-ho ‡ | The Executioner | 망나니,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1976,Im Kwon-taek,A Byegone Romance,True,1976 (12th) | Im Kwon-taek ‡ | A Byegone Romance | 왕십리,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1977,Commando on the Nakdong River,洛東江은 흐르는가,True,1977 (13th) | Commando on the Nakdong River | 洛東江은 흐르는가,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1978,Kim Ho-sun,Winter Woman,True,1978 (14th) | Kim Ho-sun ‡ | Winter Woman | 겨울여자,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1979,Kim Soo-yong,The Terms of Love,True,1979 (15th) | Kim Soo-yong ‡ | The Terms of Love | 사랑의 조건,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1980,Lee Won-se,A Ship with No Sails,True,1980 (16th) | Lee Won-se ‡ | A Ship with No Sails | 돛대도 아니 달고,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1981,Lee Doo-yong,The Hut,True,1981 (17th) | Lee Doo-yong ‡ | The Hut | 피막,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1982,Lee Won-se,A Small Ball Shot by a Midget,True,1982 (18th) | Lee Won-se ‡ | A Small Ball Shot by a Midget | 난장이가 쏘아올린 작은 공,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1983,Im Kwon-taek,Village in the Mist,True,1983 (19th) | Im Kwon-taek ‡ | Village in the Mist | 안개마을,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1984,Byun Jang-ho,Love and Farewell,True,1984 (20th) | Byun Jang-ho ‡ | Love and Farewell | 사랑 그리고 이별,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1985,Bae Chang-ho,Deep Blue Night,True,1985 (21st) | Bae Chang-ho ‡ | Deep Blue Night | 깊고 푸른 밤,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1986,Lee Doo-yong,Mulberry,True,1986 (22nd) | Lee Doo-yong ‡ | Mulberry | 뽕,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1987,Byun Jang-ho,Eve's Second Bedroom,True,1987 (23rd) | Byun Jang-ho ‡ | Eve's Second Bedroom | 이브의 건넌방,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1988,Park Chul-soo,You My Rose Mellow,True,1988 (24th) | Park Chul-soo ‡ | You My Rose Mellow | 접시꽃 당신,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1989,Kim Ho-sun,Rainbow Over Seoul,True,1989 (25th) | Kim Ho-sun ‡ | Rainbow Over Seoul | 서울무지개,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1990,Lee Doo-yong,The Way to Cheong Song,True,1990 (26th) | Lee Doo-yong ‡ | The Way to Cheong Song | 청송으로 가는 길,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1991,Jang Kil-su,Silver Stallion,True,1991 (27th) | Jang Kil-su ‡ | Silver Stallion | 은마는 오지 않는다,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1992,Bae Chang-ho,Stairways of Heaven,True,1992 (28th) | Bae Chang-ho ‡ | Stairways of Heaven | 천국의 계단,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1993,Park Jong-won,Our Twisted Hero,True,1993 (29th) | Park Jong-won ‡ | Our Twisted Hero | 우리들의 일그러진 영웅,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1994,Kang Woo-suk,Two Cops,True,1994 (30th) | Kang Woo-suk ‡ | Two Cops | 투캅스,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1995,Chung Ji-young,Life and Death of the Hollywood Kid,True,1995 (31st) | Chung Ji-young ‡ | Life and Death of the Hollywood Kid | 헐리우드 키드의 생애,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1996,Park Chul-soo,Farewell My Darling,True,1996 (32nd) | Park Chul-soo ‡ | Farewell My Darling | 학생부군신위,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1997,Im Kwon-taek,Festival,True,1997 (33rd) | Im Kwon-taek ‡ | Festival | 축제,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1998,Chung Ji-young,Blackjack,True,1998 (34th) | Chung Ji-young ‡ | Blackjack | 블랙잭,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
1999,Kang Je-gyu,Shiri,True,1999 (35th) | Kang Je-gyu ‡ | Shiri | 쉬리,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
2000,Im Kwon-taek,Chunhyang,True,2000 (36th) | Im Kwon-taek ‡ | Chunhyang | 춘향뎐,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
2001,Park Chan-wook,Joint Security Area,True,2001 (37th) | Park Chan-wook ‡ | Joint Security Area | 공동경비구역 JSA,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
2001,Libera Me,리베라 메,False,Yang Yun-ho | Libera Me | 리베라 메,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
2001,Virgin Stripped Bare by Her Bachelors,오! 수정,False,Hong Sang-soo | Virgin Stripped Bare by Her Bachelors | 오! 수정,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
2002,Hur Jin-ho,One Fine Spring Day,True,2002 (38th) | Hur Jin-ho ‡ | One Fine Spring Day | 봄날은 간다,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
2002,Waikiki Brothers,와이키키 브라더스,False,Yim Soon-rye | Waikiki Brothers | 와이키키 브라더스,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
2002,Failan,파이란,False,Song Hae-sung | Failan | 파이란,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
2003,Lee Chang-dong,Oasis,True,2003 (39th) | Lee Chang-dong ‡ | Oasis | 오아시스,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
2003,Sympathy for Mr. Vengeance,복수는 나의 것,False,Park Chan-wook | Sympathy for Mr. Vengeance | 복수는 나의 것,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
2003,Chi-hwa-seon,취화선,False,Im Kwon-taek | Chi-hwa-seon | 취화선,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
2004,Park Chan-wook,Oldboy,True,2004 (40th) | Park Chan-wook ‡ | Oldboy | 올드보이,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Director_–_Film
