year,film,person,is_winner,raw_text,source_url
1977,Jang Hyuk,Commando on the Nakdong River,True,1977 (13th) | Jang Hyuk ‡ | Commando on the Nakdong River | 낙동강은 흐르는가 | Hwang Sang Sa,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2013,Ma Dong-seok,The Neighbor,True,2013 ( 49th ) | Ma Dong-seok ‡ | The Neighbor | 이웃사람 | Ahn Hyuk-mo,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2013,Perfect Number,용의자X,False,Cho Jin-woong | Perfect Number | 용의자X | Detective Jo Min-beom,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2013,Miracle in Cell No. 7,7번방의 선물,False,Oh Dal-su | Miracle in Cell No. 7 | 7번방의 선물 | So Yang-ho,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2013,New World,신세계,False,Park Sung-woong | New World | 신세계 | Lee Joong-gu,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2013,All About My Wife,내 아내의 모든 것,False,Ryu Seung-ryong | All About My Wife | 내 아내의 모든 것 | Jang Sung-ki,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2014,Lee Jung-jae,The Face Reader,True,2014 ( 50th ) | Lee Jung-jae ‡ | The Face Reader | 관상 | Grand Prince Suyang,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2014,The Suspect,용의자,False,Jo Sung-ha | The Suspect | 용의자 | Kim Seok-ho,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2014,The Face Reader,관상,False,Kim Eui-sung | The Face Reader | 관상 | Han Myeonghoe,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2014,The Attorney,변호인,False,Kwak Do-won | The Attorney | 변호인 | Cha Dong-young,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2014,Venus Talk,관능의 법칙,False,Lee Geung-young | Venus Talk | 관능의 법칙 | Choi Sung-jae,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2015,Yoo Hae-jin,The Pirates,True,2015 ( 51st ) | Yoo Hae-jin ‡ | The Pirates | 해적: 바다로 간 산적 | Chul-bong,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2015,Whistle Blower,제보자,False,Lee Geung-young | Whistle Blower | 제보자 | Lee Jang-hwan,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2015,The Deal,살인의뢰,False,Park Sung-woong | The Deal | 살인의뢰 | Gang-chun,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2015,A Girl at My Door,도희야,False,Song Sae-byeok | A Girl at My Door | 도희야 | Park Yong-ha,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2015,The Royal Tailor,상의원,False,Yoo Yeon-seok | The Royal Tailor | 상의원 | King,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2016,Lee Geung-young,Minority Opinion,True,2016 ( 52nd ) | Lee Geung-young ‡ | Minority Opinion | 소수의견 | Park Jae-ho,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2016,Office,오피스,False,Bae Seong-woo | Office | 오피스 | Kim Byeong-gook,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2016,Assassination,암살,False,"Cho Jin-woong | Assassination | 암살 | Chu Sang-ok AKA ""Big Gun""",https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2016,Veteran,베테랑,False,Oh Dal-su | Veteran | 베테랑 | Team leader Oh,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2016,Coin Locker Girl,차이나타운,False,Uhm Tae-goo | Coin Locker Girl | 차이나타운 | Woo Gon,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2017,Kim Eui-sung,Train to Busan,True,2017 ( 53rd ) | Kim Eui-sung ‡ | Train to Busan | 부산행 | Yong-seok,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2017,Train to Busan,부산행,False,Ma Dong-seok | Train to Busan | 부산행 | Sang-hwa,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
2017,The King,더 킹,False,Bae Seong-woo | The King | 더 킹 | Yang Dong-chul,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actor_–_Film
