year,film,person,is_winner,raw_text,source_url
1977,Jung Young-sook,He Knows Gwanghwamun Well,True,1977 (13th) | Jung Young-sook ‡ | He Knows Gwanghwamun Well | 광화문통 아이 | Jun Hwi,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2013,Jo Eun-ji,The Concubine,True,2013 ( 49th ) | Jo Eun-ji ‡ | The Concubine | 후궁: 제왕의 첩 | Geum-ok,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2013,The Thieves,도둑들,False,Jun Ji-hyun | The Thieves | 도둑들 | Yenicall,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2013,Deranged,연가시,False,Moon Jeong-hee | Deranged | 연가시 | Gyung-seon,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2013,Miracle in Cell No. 7,7번방의 선물,False,Park Shin-hye | Miracle in Cell No. 7 | 7번방의 선물 | Ye-sung (Adult),https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2013,Whatcha Wearin'?,나의 P.S. 파트너,False,Shin So-yul | Whatcha Wearin'? | 나의 P.S. 파트너 | So-yeon,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2014,Jin Kyung,Cold Eyes,True,2014 ( 50th ) | Jin Kyung ‡ | Cold Eyes | 감시자들 | Department head Lee,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2014,Snowpiercer,설국열차,False,Go Ah-sung | Snowpiercer | 설국열차 | Yona,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2014,The Attorney,변호인,False,Kim Young-ae | The Attorney | 변호인 | Choi Soon-ae,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2014,Hope,소원,False,Ra Mi-ran | Hope | 소원 | Young-seok's mother,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2014,Our Sunhi,우리 선희,False,Ye Ji-won | Our Sunhi | 우리 선희 | Joohyun,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2015,Kim Ho-jung,Revivre,True,2015 ( 51st ) | Kim Ho-jung ‡ | Revivre | 화장 | Oh's wife,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2015,Sea Fog,해무,False,Han Ye-ri | Sea Fog | 해무 | Hong-mae,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2015,Obsessed,인간중독,False,Cho Yeo-jeong | Obsessed | 인간중독 | Lee Sook-jin,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2015,The Admiral: Roaring Currents,명량,False,Lee Jung-hyun | The Admiral: Roaring Currents | 명량 | Mrs. Jeong,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2015,Cart,카트,False,Moon Jeong-hee | Cart | 카트 | Hye-mi,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2016,Ra Mi-ran,The Himalayas,True,2016 ( 52nd ) | Ra Mi-ran ‡ | The Himalayas | 히말라야 | Jo Myeong-ae,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2016,The Classified File,극비수사,False,Jang Young-nam | The Classified File | 극비수사 | Eun-joo's aunt,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2016,The Throne,사도,False,Jeon Hye-jin | The Throne | 사도 | Consort Yeong,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2016,Office,오피스,False,Ryu Hyun-kyung | Office | 오피스 | Hong Ji-sun,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2016,The Silenced,경성학교: 사라진 소녀들,False,Uhm Ji-won | The Silenced | 경성학교: 사라진 소녀들 | Headmistress,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2017,Kim So-jin,The King,True,2017 ( 53rd ) | Kim So-jin ‡ | The King | 더 킹 | Ahn Hee-yeon,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2017,The Last Princess,덕혜옹주,False,Ra Mi-ran | The Last Princess | 덕혜옹주 | Bok-soon,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2017,Tunnel,터널,False,Bae Doona | Tunnel | 터널 | Se-hyun,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2017,The Wailing,곡성,False,Chun Woo-hee | The Wailing | 곡성 | Moo-myung,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2017,The Age of Shadows,밀정,False,Han Ji-min | The Age of Shadows | 밀정 | Yeon Gye-soon,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2018,Lee Soo-kyung,Heart Blackened,True,2018 ( 54th ) | Lee Soo-kyung ‡ | Heart Blackened | 침묵 | Im Mi-ra,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2018,I Can Speak,아이 캔 스피크,False,Yeom Hye-ran | I Can Speak | 아이 캔 스피크 | Woman from Jinju,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2018,Warriors of the Dawn,대립군,False,Esom | Warriors of the Dawn | 대립군 | Duk-yi,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2018,Heart Blackened,침묵,False,Lee Hanee | Heart Blackened | 침묵 | Park Yoo-na,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2018,The Merciless,불한당: 나쁜 놈들의 세상,False,Jeon Hye-jin | The Merciless | 불한당: 나쁜 놈들의 세상 | Chun In-sook,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2019,Kwon So-hyun,Miss Baek,True,2019 ( 55th ) | Kwon So-hyun ‡ | Miss Baek | 미쓰백 | Joo Mi-kyung,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2019,Innocent Witness,증인,False,Yeom Hye-ran | Innocent Witness | 증인 | Mi-ran,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2019,Extreme Job,극한직업,False,Lee Hanee | Extreme Job | 극한직업 | Detective Jang,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2019,The Witch: Part 1. The Subversion,마녀,False,Jo Min-su | The Witch: Part 1. The Subversion | 마녀 | Dr. Baek,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2019,Believer,독전,False,Jin Seo-yeon | Believer | 독전 | Bo-ryeong,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
2020,Kim Sae-byuk,House of Hummingbird,True,2020 ( 56th ) | Kim Sae-byuk ‡ | House of Hummingbird | 벌새 | Yong-ji,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Supporting_Actress_–_Film
