year,film,person,is_winner,raw_text,source_url
1963,Kim Seung-ho,Kinship,True,1963 (1st) | Kim Seung-ho ‡ | Kinship | 혈맥 | Kim Deok-sam,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
1964,Kim Jin-kyu,Extra Human Being,True,1964 (2nd) | Kim Jin-kyu ‡ | Extra Human Being | 잉여인간 | Seo Man-ki,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
1965,Choi Moo-ryong,The North and South,True,1965 (3rd) | Choi Moo-ryong ‡ | The North and South | 남과 북 | ,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
1966,Shin Young-kyun,Market,True,1966 (4th) | Shin Young-kyun ‡ | Market | 시장 | Do-myeong,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
1967,Kim Seung-ho,The Fishing Boats are Full,True,1967 (5th) | Kim Seung-ho ‡ | The Fishing Boats are Full | 만선 | ,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
1969,Shin Young-kyun,Prince Daewon,True,1969 (6th) | Shin Young-kyun ‡ | Prince Daewon | 대원군 | Heungseon Daewongun,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
1970,Park No-sik,The Revengeful Man,True,1970 (7th) | Park No-sik ‡ | The Revengeful Man | 돌아온 팔도사나이 | ,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
1971,Choi Moo-ryong,A Facedown in 30 Years,True,1971 (8th) | Choi Moo-ryong ‡ | A Facedown in 30 Years | 30년 만의 대결 | Jang Dae-gyu,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
1972,Park No-sik,A Cattle Seller,True,1972 (9th) | Park No-sik ‡ | A Cattle Seller | 소장수 | Man-seok,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
1973,Shin Young-kyun,The Three-Day Reign,True,1973 (10th) | Shin Young-kyun ‡ | The Three-Day Reign | 삼일천하 | Kim Okkyun,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
