year,film,person,is_winner,raw_text,source_url
1960,1960s,,False,1960s,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actress
1963,Hwang Jung-seun,Bloodline,True,1963 (1st) | Hwang Jung-seun ‡ | Bloodline | 혈맥 | Bok-soong's mother,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actress
1964,Moon Jung-suk,Never Look Back,True,1964 (2nd) | Moon Jung-suk ‡ | Never Look Back | 돌아보지 마라 | ,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actress
1965,Um Aing-ran,Beautiful Eye Pupil,True,1965 (3rd) | Um Aing-ran ‡ | Beautiful Eye Pupil | 아름다운 눈동자 | ,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actress
1966,Moon Jung-suk,Market,True,1966 (4th) | Moon Jung-suk ‡ | Market | 시장 | ,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actress
1967,Ju Jeung-ryu,Flame in the Valley,True,1967 (5th) | Ju Jeung-ryu ‡ | Flame in the Valley | 산불 | ,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actress
1969,Nam Jeong-im,Bun-nyeo,True,1969 (6th) | Nam Jeong-im ‡ | Bun-nyeo | 분녀 | ,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actress
1970,Kim Ji-mee,Your Name Is Women,True,1970 (7th) | Kim Ji-mee ‡ | Your Name Is Women | 너의 이름은 여자 | ,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actress
1971,Youn Yuh-jung,Woman of Fire,True,1971 (8th) | Youn Yuh-jung ‡ | Woman of Fire | 화녀 | Myeong-ja,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actress
1972,Yoon Jeong-hee,Oyster Village,True,1972 (9th) | Yoon Jeong-hee ‡ | Oyster Village | 석화촌 | ,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actress
1973,Shim Cheong,효녀 심청,True,1973 (10th) | Shim Cheong | 효녀 심청 | ,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actress
1990,Won Mi-kyung,Only Because You Are a Woman,True,1990 (11th) | Won Mi-kyung ‡ | Only Because You Are a Woman | 단지 그대가 여자라는 이유만으로 | Lim Jung-hee,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actress
1990,All That Falls Has Wings,추락하는 것은 날개가 있다,False,Kang Soo-yeon | All That Falls Has Wings | 추락하는 것은 날개가 있다 | Yoon-ju,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actress
1990,The Lovers of Woomook-baemi,우묵배미의 사랑,False,Choi Myung-gil | The Lovers of Woomook-baemi | 우묵배미의 사랑 | Gong-ryae,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actress
