year,film,person,is_winner,raw_text,source_url
1963,Lee Man-hee,The Marines Who Never Returned,True,1963 (1st) | Lee Man-hee ‡ | The Marines Who Never Returned | 돌아오지 않는 해병,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1964,Yu Hyun-mok,Extra Human Being,True,1964 (2nd) | Yu Hyun-mok ‡ | Extra Human Being | 잉여인간,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1965,Kim Soo-yong,Sad Story of Self Supporting Child,True,1965 (3rd) | Kim Soo-yong ‡ | Sad Story of Self Supporting Child | 저 하늘에도 슬픔이,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1966,Lee Man-hee,Market,True,1966 (4th) | Lee Man-hee ‡ | Market | 시장,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1967,Kim Soo-yong,Children in the Firing Range,True,1967 (5th) | Kim Soo-yong ‡ | Children in the Firing Range | 사격장의 아이들,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1969,Yu Hyun-mok,Descendents of Cain,True,1969 (6th) | Yu Hyun-mok ‡ | Descendents of Cain | 카인의 후예,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1970,Choi Ha-won,The Old Jar Craftsman,True,1970 (7th) | Choi Ha-won ‡ | The Old Jar Craftsman | 독짓는 늙은이,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1971,Kim Ki-young,When a Woman Breaks Her Jewel Box,True,1971 (8th) | Kim Ki-young ‡ | When a Woman Breaks Her Jewel Box | 옥합을 깨뜨릴 때,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1972,Kim Hyo-cheon,A Cattle Seller,True,1972 (9th) | Kim Hyo-cheon ‡ | A Cattle Seller | 소장수,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1973,Jung Jin-woo,Long Live the Island Frogs,True,1973 (10th) | Jung Jin-woo ‡ | Long Live the Island Frogs | 섬 개구리 만세,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1990,Chung Ji-young,Nambugun: North Korean Partisan in South Korea,True,1990 (11th) | Chung Ji-young ‡ | Nambugun: North Korean Partisan in South Korea | 남부군,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1990,Black Republic,그들도 우리처럼,False,Park Kwang-su | Black Republic | 그들도 우리처럼,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1990,The Woman Who Walks On Water,물위를 걷는 여자,False,Park Chul-soo | The Woman Who Walks On Water | 물위를 걷는 여자,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1990,General's Son,장군의 아들,False,Im Kwon-taek | General's Son | 장군의 아들,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1990,The Lovers of Woomook-baemi,우묵배미의 사랑,False,Jang Sun-woo | The Lovers of Woomook-baemi | 우묵배미의 사랑,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1991,Im Kwon-taek,Fly High Run Far,True,1991 (12th) | Im Kwon-taek ‡ | Fly High Run Far | 개벽,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1991,Portrait of the Days of Youth,젊은날의 초상,False,Kwak Ji-kyoon | Portrait of the Days of Youth | 젊은날의 초상,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1991,Death Song,사의 찬미,False,Kim Ho-sun | Death Song | 사의 찬미,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1991,Berlin Report,베를린리포트,False,Park Kwang-su | Berlin Report | 베를린리포트,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1991,Silver Stallion,은마는 오지 않는다,False,Jang Kil-su | Silver Stallion | 은마는 오지 않는다,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1992,Park Jong-won,Our Twisted Hero,True,1992 (13th) | Park Jong-won ‡ | Our Twisted Hero | 우리들의 일그러진 영웅,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1992,Mister Mama,미스터 맘마,False,Kang Woo-suk | Mister Mama | 미스터 맘마,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1992,Blood and Fire,피와 불,False,Wan Seonwoo | Blood and Fire | 피와 불,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1992,The Road to Racetrack,경마장 가는 길,False,Jang Sun-woo | The Road to Racetrack | 경마장 가는 길,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1992,White Badge,하얀 전쟁,False,Chung Ji-young | White Badge | 하얀 전쟁,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1993,Kim Yoo-jin,Love Is Oh Yeah!,True,"1993 (14th) | Kim Yoo-jin ‡ | Love Is Oh Yeah! | 참견은 노, 사랑은 오예",https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1993,First Love,첫사랑,False,Lee Myung-se | First Love | 첫사랑,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1993,Blue In You,그대 안의 블루,False,Lee Hyun-seung | Blue In You | 그대 안의 블루,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1993,Sopyonje,서편제,False,Im Kwon-taek | Sopyonje | 서편제,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1993,Hwa-Om-Kyung,화엄경,False,Jang Sun-woo | Hwa-Om-Kyung | 화엄경,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1994,Jang Sun-woo,To You from Me,True,1994 (15th) | Jang Sun-woo ‡ | To You from Me | 너에게 나를 보낸다,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1994,The Taebaek Mountains,태백산맥,False,Im Kwon-taek | The Taebaek Mountains | 태백산맥,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1994,Two Cops,투캅스,False,Kang Woo-suk | Two Cops | 투캅스,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1994,Life and Death of the Hollywood Kid,헐리우드 키드의 생애,False,Chung Ji-young | Life and Death of the Hollywood Kid | 헐리우드 키드의 생애,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1994,The Rules Of The Game,게임의 법칙,False,Jang Hyun-soo | The Rules Of The Game | 게임의 법칙,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1995,Park Kwang-su,A Single Spark,True,1995 (16th) | Park Kwang-su ‡ | A Single Spark | 아름다운 청년 전태일,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1995,How to Top My Wife,마누라 죽이기,False,Kang Woo-suk | How to Top My Wife | 마누라 죽이기,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
1995,The Terrorist,테러리스트,False,Kim Young-bin | The Terrorist | 테러리스트,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Director
