year,film,person,is_winner,raw_text,source_url
1963,Bloodline,혈맥,True,1963 (1st) | Bloodline ‡ | 혈맥 | Kim Soo-yong,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1964,Extra Human Being,잉여인간,True,1964 (2nd) | Extra Human Being ‡ | 잉여인간 | Yu Hyun-mok,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1965,Sad Story of Self Supporting Child,저 하늘에도 슬픔이,True,1965 (3rd) | Sad Story of Self Supporting Child ‡ | 저 하늘에도 슬픔이 | Kim Soo-yong,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1966,Market,시장,True,"1966
(4th) | Market ‡ | 시장 | Lee Man-hee",https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1967,Flame in the Valley,산불,True,"1967
(5th) | Flame in the Valley ‡ | 산불 | Kim Soo-yong",https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1969,Descendents of Cain,카인의 후예,True,1969 (6th) | Descendents of Cain ‡ | 카인의 후예 | Yu Hyun-mok,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1970,The Old Jar Craftsman,독짓는 늙은이,True,1970 (7th) | The Old Jar Craftsman ‡ | 독짓는 늙은이 | Choi Ha-won,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1971,When a Woman Breaks Her Jewel Box,옥합을 깨뜨릴 때,True,1971 (8th) | When a Woman Breaks Her Jewel Box ‡ | 옥합을 깨뜨릴 때 | Kim Soo-yong,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1972,Oyster Village,석화촌,True,1972 (9th) | Oyster Village ‡ | 석화촌 | Jung Jin-woo,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1973,The Three-Day Reign,삼일천하,True,1973 (10th) | The Three-Day Reign ‡ | 삼일천하 | Shin Sang-ok,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1990,Black Republic,그들도 우리처럼,True,1990 (11th) | Black Republic ‡ | 그들도 우리처럼 | Park Kwang-su,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1990,남부군,Chung Ji-young,True,Nambugun: North Korean Partisan in South Korea | 남부군 | Chung Ji-young,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1990,수탉,Shin Seung-soo,False,Rooster | 수탉 | Shin Seung-soo,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1990,장군의 아들,Im Kwon-taek,False,General's Son | 장군의 아들 | Im Kwon-taek,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1991,Death Song,사의 찬미,True,1991 (12th) | Death Song ‡ | 사의 찬미 | Kim Ho-sun,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1991,개벽,Im Kwon-taek,False,Fly High Run Far | 개벽 | Im Kwon-taek,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1991,누가 용의 발톱을 보았는가,Kang Woo-suk,False,Who saw the dragon's toenails? | 누가 용의 발톱을 보았는가 | Kang Woo-suk,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1991,베를린리포트,Park Kwang-su,False,Berlin Report | 베를린리포트 | Park Kwang-su,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1991,은마는 오지 않는다,Jang Kil-su,False,Silver Stallion | 은마는 오지 않는다 | Jang Kil-su,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1992,Our Twisted Hero,우리들의 일그러진 영웅,True,1992 (13th) | Our Twisted Hero ‡ | 우리들의 일그러진 영웅 | Park Jong-won,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1992,결혼 이야기,Kim Ui-seok,False,Marriage Story | 결혼 이야기 | Kim Ui-seok,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1992,경마장 가는 길,Jang Sun-woo,False,The Road to Racetrack | 경마장 가는 길 | Jang Sun-woo,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
1992,하얀 전쟁,Chung Ji-young,False,White Badge | 하얀 전쟁 | Chung Ji-young,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Film
