year,film,person,is_winner,raw_text,source_url
,2003,Mohsen Makhmalbaf,False,8 | 2003 | Mohsen Makhmalbaf | Iran,https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2004,Hou Hsiao-hsien,False,9 | 2004 | Hou Hsiao-hsien | Taiwan,https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2005,NHK,False,10 | 2005 | NHK | Japan,https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2006,Andy Lau,False,11 | 2006 | Andy Lau | Hong Kong,https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2007,Edward Yang,False,12 | 2007 | Edward Yang (1947–2007) | Taiwan,https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2008,Gulnara Sarsenova,False,13 | 2008 | Gulnara Sarsenova | Kazakhstan,https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2009,Yash Chopra,False,14 | 2009 | Yash Chopra | India [ 26 ],https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2010,Tsai Ming-liang,False,15 | 2010 | Tsai Ming-liang | Taiwan,https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2011,Tsui Hark,False,16 | 2011 | Tsui Hark | Hong Kong,https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2012,Kōji Wakamatsu,False,17 | 2012 | Kōji Wakamatsu | Japan,https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2013,Rithy Panh,False,18 | 2013 | Rithy Panh | Cambodia,https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2014,Ann Hui,False,19 | 2014 | Ann Hui | Hong Kong,https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2015,Studio Ghibli,False,20 | 2015 | Studio Ghibli | Japan,https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2016,Abbas Kiarostami,False,21 | 2016 | Abbas Kiarostami | Iran,https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2017,Seijun Suzuki,False,22 | 2017 | Seijun Suzuki | Japan,https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2018,Ryuichi Sakamoto,False,23 | 2018 | Ryuichi Sakamoto | Japan [ 27 ],https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2019,Hirokazu Kore-eda,False,24 | 2019 | Hirokazu Kore-eda | Japan [ 28 ],https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2021,Im Kwon-taek,False,26 | 2021 | Im Kwon-taek | South Korea [ 29 ],https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2022,Tony Leung,False,"27 | 2022 | Tony Leung | Hong Kong, China [ 30 ]",https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2023,Chow Yun-fat,False,28 | 2023 | Chow Yun-fat | Hong Kong [ 31 ],https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2024,Kiyoshi Kurosawa,False,29 | 2024 | Kiyoshi Kurosawa | Japan [ 32 ],https://en.wikipedia.org/wiki/Busan_International_Film_Festival
,2025,Jafar Panahi,False,30 | 2025 | Jafar Panahi | Iran [ 33 ],https://en.wikipedia.org/wiki/Busan_International_Film_Festival
