year,film,person,is_winner,raw_text,source_url
1990,Ahn Sung-ki,North Korean Partisan in South Korea,False,1990 | Ahn Sung-ki | North Korean Partisan in South Korea,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1991,Lee Deok-hwa,Fly High Run Far,False,1991 | Lee Deok-hwa | Fly High Run Far,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1992,Moon Sung-keun,Road to the Racetrack,False,1992 | Moon Sung-keun | Road to the Racetrack,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1993,Lee Deok-hwa,I Will Survive,False,1993 | Lee Deok-hwa | I Will Survive,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1994,Jang Dong-hwi,Manmubang,False,1994 | Jang Dong-hwi | Manmubang,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1995,Hong Kyung-in,A Single Spark,False,1995 | Hong Kyung-in | A Single Spark,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1999,Park Shin-yang,A Promise,False,1999 | Park Shin-yang | A Promise,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2000,Sul Kyung-gu,Peppermint Candy,False,2000 | Sul Kyung-gu | Peppermint Candy,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2001,Yu Oh-seong,Friend,False,2001 | Yu Oh-seong | Friend,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2002,Sul Kyung-gu,Oasis,False,2002 | Sul Kyung-gu | Oasis,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2003,Song Kang-ho,Memories of Murder,False,2003 | Song Kang-ho | Memories of Murder,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2004,Choi Min-sik,Oldboy,False,2004 | Choi Min-sik | Oldboy,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2005,Lee Byung-hun,A Bittersweet Life,False,2005 | Lee Byung-hun | A Bittersweet Life,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2006,Kam Woo-sung,King and the Clown,False,2006 | Kam Woo-sung | King and the Clown,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2007,Cha Seung-won,My Son,False,2007 | Cha Seung-won | My Son,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2008,Kim Yoon-seok Ha Jung-woo,The Chaser,False,2008 | Kim Yoon-seok Ha Jung-woo | The Chaser,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2009,Song Kang-ho,Thirst,False,2009 | Song Kang-ho | Thirst,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2010,Sul Kyung-gu,No Mercy,False,2010 | Sul Kyung-gu | No Mercy,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2014,Song Kang-ho,The Attorney,False,2014 | Song Kang-ho | The Attorney,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2015,Ha Jung-woo,Kundo: Age of the Rampant,False,2015 | Ha Jung-woo | Kundo: Age of the Rampant,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2016,Yoo Ah-in,The Throne,False,2016 | Yoo Ah-in | The Throne,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2017,Ha Jung-woo,The Tunnel,False,2017 | Ha Jung-woo | The Tunnel,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2018,Jung Woo-sung,Steel Rain,False,2018 | Jung Woo-sung | Steel Rain,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2019,Ju Ji-hoon,Dark Figure of Crime,False,2019 | Ju Ji-hoon | Dark Figure of Crime,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2020,Lee Byung-hun,The Man Standing Next,False,2020 | Lee Byung-hun | The Man Standing Next,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2021,Song Joong-ki,Space Sweepers,False,2021 | Song Joong-ki | Space Sweepers,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2022,Park Hae-il,Decision to Leave,False,2022 | Park Hae-il | Decision to Leave,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2023,Ryu Jun-yeol,The Night Owl,False,2023 | Ryu Jun-yeol | The Night Owl,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2025,Lee Byung-hun,No Other Choice,False,2025 | Lee Byung-hun | No Other Choice,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
