year,film,person,is_winner,raw_text,source_url
1990,Chung Ji-young,North Korean Partisan in South Korea,False,1990 | Chung Ji-young | North Korean Partisan in South Korea,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1991,Im Kwon-taek,Fly High Run Far,False,1991 | Im Kwon-taek | Fly High Run Far,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1992,Chung Ji-young,White Badge,False,1992 | Chung Ji-young | White Badge,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1993,Im Kwon-taek,Sopyonje,False,1993 | Im Kwon-taek | Sopyonje,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1994,Uhm Jong-sun,Manmubang,False,1994 | Uhm Jong-sun | Manmubang,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1995,Park Kwang-su,A Single Spark,False,1995 | Park Kwang-su | A Single Spark,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1999,Park Chul-soo,Kazoku Cinema,False,1999 | Park Chul-soo | Kazoku Cinema,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2000,Park Chan-wook,Joint Security Area,False,2000 | Park Chan-wook | Joint Security Area,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2001,Kwak Kyung-taek,Friend,False,2001 | Kwak Kyung-taek | Friend,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2002,Lee Chang-dong,Oasis,False,2002 | Lee Chang-dong | Oasis,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2003,Bong Joon-ho,Memories of Murder,False,2003 | Bong Joon-ho | Memories of Murder,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2004,Yun In-ho,When I Turned Nine,False,2004 | Yun In-ho | When I Turned Nine,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2005,Kim Dae-seung,Blood Rain,False,2005 | Kim Dae-seung | Blood Rain,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2006,Kang Woo-suk,Hanbando,False,2006 | Kang Woo-suk | Hanbando,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2007,Joh Keun-shik,Once in a Summer,False,2007 | Joh Keun-shik | Once in a Summer,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2008,Kim Tae-kyun,Crossing,False,2008 | Kim Tae-kyun | Crossing,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2009,Park Chan-wook,Thirst,False,2009 | Park Chan-wook | Thirst,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2010,Kang Woo-suk,Moss,False,2010 | Kang Woo-suk | Moss,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2014,N/a,N/a,False,2014 | — N/a | — N/a,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2015,Kim Seong-hun,A Hard Day,False,2015 | Kim Seong-hun | A Hard Day,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2016,Choi Dong-hoon,Assassination,False,2016 | Choi Dong-hoon | Assassination,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2017,Na Hong-jin,The Wailing,False,2017 | Na Hong-jin | The Wailing,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2018,Hwang Dong-hyuk,The Fortress,False,2018 | Hwang Dong-hyuk | The Fortress,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2019,Bong Joon-ho,Parasite,False,2019 | Bong Joon-ho | Parasite,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2020,Won Shin-yun,The Battle: Roar to Victory,False,2020 | Won Shin-yun | The Battle: Roar to Victory,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2021,Jo Sung-hee,Space Sweepers,False,2021 | Jo Sung-hee | Space Sweepers,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2022,Park Chan-wook,Decision to Leave,False,2022 | Park Chan-wook | Decision to Leave,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2023,Kim Jee-woon,Cobweb,False,2023 | Kim Jee-woon | Cobweb,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2025,Yoon Ga-eun,The World of Love,False,2025 | Yoon Ga-eun | The World of Love,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
