year,film,person,is_winner,raw_text,source_url
1990,Black Republic,Park Kwang-su,False,1990 | Black Republic | Park Kwang-su,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1991,Death Song,Kim Ho-sun,False,1991 | Death Song | Kim Ho-sun,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1992,Our Twisted Hero,Park Jong-won,False,1992 | Our Twisted Hero | Park Jong-won,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1993,Sopyonje,Im Kwon-taek,False,1993 | Sopyonje | Im Kwon-taek,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1994,The Taebaek Mountains,Im Kwon-taek,False,1994 | The Taebaek Mountains | Im Kwon-taek,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1995,A Single Spark,Park Kwang-su,False,1995 | A Single Spark | Park Kwang-su,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
1999,Spring in My Hometown,Lee Kwang-mo,False,1999 | Spring in My Hometown | Lee Kwang-mo,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2000,Joint Security Area,Park Chan-wook,False,2000 | Joint Security Area | Park Chan-wook,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2001,Friend,Kwak Kyung-taek,False,2001 | Friend | Kwak Kyung-taek,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2002,Oasis,Lee Chang-dong,False,2002 | Oasis | Lee Chang-dong,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2003,Memories of Murder,Bong Joon-ho,False,2003 | Memories of Murder | Bong Joon-ho,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2004,When I Turned Nine,Yun In-ho,False,2004 | When I Turned Nine | Yun In-ho,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2005,Blood Rain,Kim Dae-seung,False,2005 | Blood Rain | Kim Dae-seung,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2006,Hanbando,Kang Woo-suk,False,2006 | Hanbando | Kang Woo-suk,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2007,Once in a Summer,Joh Keun-shik,False,2007 | Once in a Summer | Joh Keun-shik,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2008,Crossing,Kim Tae-kyun,False,2008 | Crossing | Kim Tae-kyun,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2009,Take Off,Kim Yong-hwa,False,2009 | Take Off | Kim Yong-hwa,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2010,Moss,Kang Woo-suk,False,2010 | Moss | Kang Woo-suk,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
2010,Discontinued,,False,Discontinued,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
