award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Golden Bauhinia Awards,2007,,Best Film,,ExiledAfter This Our ExileA Battle of Wits,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2007,,Best Actor,Sean Lau(My Name is Fame),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2007,,Best Actress,Gong Li (Curse of the Golden Flower)Charlene Choi (Simply Actors),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2006,,Best Film,,Election,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2006,,Best Actor,Simon Yam(Election),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2006,,Best Actress,Zhou Xun(Perhaps Love),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2005,,Best Film,,Kung Fu Hustle,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2005,,Best Actor,Tony Leung Chiu-Wai(2046),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2005,,Best Actress,Rene Liu(A World Without Thieves),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2004,,Best Film,,PTU,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2004,,Best Actor,Simon YamPTU,,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2004,,Best Actress,Cecilia CheungLost in Time,,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2003,,Best Film,,Infernal Affairs,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2003,,Best Actor,Tony Leung Chiu-Wai(Infernal Affairs),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2003,,Best Actress,Angelica Lee(The Eye),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2002,,Best Film,,Shaolin Soccer,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2002,,Best Actor,Hu JunLan Yu,,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2002,,Best Actress,Sylvia ChangForever and Ever,,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2001,,Best Film,,"Crouching Tiger, Hidden Dragon",,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2001,,Best Actor,Andy Lau(A Fighter's Blues),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2001,,Best Actress,Qin Hailu (秦海璐)(Durian Durian),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2000,,Best Film,,The Mission,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2000,,Best Actor,Sean Lau (Where a Good Man Goes)Anthony Wong Chau Sang (Ordinary Heroes),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,2000,,Best Actress,Loletta Lee (Ordinary Heroes),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,1999,,Best Film,,Beast Cops,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,1999,,Best Actor,Anthony Wong Chau Sang(Beast Cops),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,1999,,Best Actress,Sandra Ng(Portland Street Blues),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,1998,,Best Film,,Made in Hong Kong,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,1998,,Best Actor,Tony Leung Chiu-Wai(Happy Together),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,1998,,Best Actress,Carina Lau(Intimates),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,1997,,Best Film,,"Comrades, Almost a Love Story",,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
Golden Bauhinia Awards,1997,,Best Actor,Kent Cheng(The Log),,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Bauhinia_Awards
