year,film,person,is_winner,raw_text,source_url
,Doe Ching,Les Belles,True,1962 ( 1st ) | Doe Ching | Les Belles | 千嬌百媚,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Li Han-hsiang,The Love Eterne,True,1963 ( 2nd ) | Li Han-hsiang | The Love Eterne | 梁山伯與祝英台,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Li Hsing,Beautiful Duckling,True,1965 ( 3rd ) | Li Hsing | Beautiful Duckling | 養鴨人家,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Li Han-hsiang,Hsi Shih: Beauty of Beauties,True,1966 ( 4th ) | Li Han-hsiang | Hsi Shih: Beauty of Beauties | 西施,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Lee Chia,Orchids and My Love,True,1967 ( 5th ) | Lee Chia | Orchids and My Love | 我女若蘭,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Pai Ching-jui,Lonely Seventeen,True,1968 ( 6th ) | Pai Ching-jui | Lonely Seventeen | 寂寞的十七歲,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Pai Ching-jui,The Bride and I,True,1969 ( 7th ) | Pai Ching-jui | The Bride and I | 新娘與我,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Chang Tseng-chai,From the Highway,True,1970 ( 8th ) | Chang Tseng-chai | From the Highway | 路客與刀客,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Ting Shan-hsi,The Ammunition Hunter,True,1971 ( 9th ) | Ting Shan-hsi | The Ammunition Hunter | 落鷹峽,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Li Hsing,Execution in Autumn,True,1972 ( 10th ) | Li Hsing | Execution in Autumn | 秋決,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Cheng Kang,The 14 Amazons,True,1973 ( 11th ) | Cheng Kang | The 14 Amazons | 十四女英豪,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Liu Yi,Long Way from Home,True,1975 ( 12th ) | Liu Yi | Long Way from Home | 長情萬縷,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Chang Pei-cheng,The Venturer,True,1976 ( 13th ) | Chang Pei-cheng | The Venturer | 狼牙口,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Chang Tseng-chai,Heroes in the Eastern Sky,True,1977 ( 14th ) | Chang Tseng-chai | Heroes in the Eastern Sky | 筧橋英烈傳,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Li Hsing,He Never Gives Up,True,1978 ( 15th ) | Li Hsing | He Never Gives Up | 汪洋中的一條船,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Diary of Di Di,蒂蒂日記,False,Chen Yao-chi | The Diary of Di Di | 蒂蒂日記,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Contract,賣身契,False,Michael Hui | The Contract | 賣身契,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,King Hu,Legend of the Mountain,True,1979 ( 16th ) | King Hu | Legend of the Mountain | 山中傳奇,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Story of a Small Town,小城故事,False,Li Hsing | The Story of a Small Town | 小城故事,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,A Special Smile,歡顏,False,Tu Chung-hsun | A Special Smile | 歡顏,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Wang Chu-chin,The Legend of the Six Dynasty,True,1980 ( 17th ) | Wang Chu-chin | The Legend of the Six Dynasty | 六朝怪談,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Secret,瘋劫,False,Ann Hui | The Secret | 瘋劫,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Magnificent 72,碧血黃花,False,Ting Shan-hsi | Magnificent 72 | 碧血黃花,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Tsui Hark,All the Wrong Clues for the Right Solution,True,1981 ( 18th ) | Tsui Hark | All the Wrong Clues for the Right Solution | 夜來香,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Tong Ban Tong Xue,同班同學,False,Lin Jing-jie | Tong Ban Tong Xue | 同班同學,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Love Massacre,愛殺,False,Patrick Tam | Love Massacre | 愛殺,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Alex Cheung,Man on the Brink,True,1982 ( 19th ) | Alex Cheung | Man on the Brink | 邊緣人,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,"The Green, Green Grass of Home",在那河畔青草青,False,"Hou Hsiao-hsien | The Green, Green Grass of Home | 在那河畔青草青",https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Life After Life,再生人,False,Peter Yung | Life After Life | 再生人,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Chen Kun-hou,Growing Up,True,1983 ( 20th ) | Chen Kun-hou | Growing Up | 小畢的故事,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,"Hong Kong, Hong Kong",男與女,False,"Choi Kai-kwong | Hong Kong, Hong Kong | 男與女",https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,"That Day, on the Beach",海灘的一天,False,"Edward Yang | That Day, on the Beach | 海灘的一天",https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Johnny Mak,Long Arm of the Law,True,1984 ( 21st ) | Johnny Mak | Long Arm of the Law | 省港旗兵,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Jade Love,玉卿嫂,False,Chang Yi | Jade Love | 玉卿嫂,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Boys from Fengkuei,風櫃來的人,False,Hou Hsiao-hsien | The Boys from Fengkuei | 風櫃來的人,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Chang Yi,"Kuei-Mei, a Woman",True,"1985 ( 22nd ) | Chang Yi | Kuei-Mei, a Woman | 我這樣過了一生",https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,His Matrimony,結婚,False,Chen Kun-hou | His Matrimony | 結婚,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Time to Live and the Time to Die,童年往事,False,Hou Hsiao-hsien | The Time to Live and the Time to Die | 童年往事,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,John Woo,A Better Tomorrow,True,1986 ( 23rd ) | John Woo | A Better Tomorrow | 英雄本色,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Passion,最愛,False,Sylvia Chang | Passion | 最愛,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Heroic Pioneers,唐山過台灣,False,Li Hsing | The Heroic Pioneers | 唐山過台灣,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Wang Toon,Strawman,True,1987 ( 24th ) | Wang Toon | Strawman | 稻草人,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Project A Part II,A計劃續集,False,Jackie Chan | Project A Part II | A計劃續集,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,An Autumn's Tale,流氓大亨,False,Mabel Cheung | An Autumn's Tale | 流氓大亨,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Alex Law,Painted Faces,True,1988 ( 25th ) | Alex Law | Painted Faces | 七小福,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Starry is the Night,今夜星光燦爛,False,Ann Hui | Starry is the Night | 今夜星光燦爛,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,As Tears Go By,熱血男兒,False,Wong Kar-wai | As Tears Go By | 熱血男兒,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Hou Hsiao-hsien,A City of Sadness,True,1989 ( 26th ) | Hou Hsiao-hsien | A City of Sadness | 悲情城市,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Full Moon in New York,三個女人的故事,False,Stanley Kwan | Full Moon in New York | 三個女人的故事,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Dull-Ice Flower,魯冰花,False,Yang Li-kuo | The Dull-Ice Flower | 魯冰花,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Yim Ho,Red Dust,True,1990 ( 27th ) | Yim Ho | Red Dust | 滾滾紅塵,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,"Farewell, China",愛在他鄉的季節,False,"Clara Law | Farewell, China | 愛在他鄉的季節",https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Story of a Gangster,刀瘟,False,Yeh Hung-wei | The Story of a Gangster | 刀瘟,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Wong Kar-wai,Days of Being Wild,True,1991 ( 28th ) | Wong Kar-wai | Days of Being Wild | 阿飛正傳,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Centre Stage,阮玲玉,False,Stanley Kwan | Centre Stage | 阮玲玉,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Pushing Hands,推手,False,Ang Lee | Pushing Hands | 推手,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,A Brighter Summer Day,牯嶺街少年殺人事件,False,Edward Yang | A Brighter Summer Day | 牯嶺街少年殺人事件,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Wang Toon,Hill of No Return,True,1992 ( 29th ) | Wang Toon | Hill of No Return | 無言的山丘,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,To Liv,浮世戀曲,False,Evans Chan | To Liv(e) | 浮世戀曲,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Noblest Way to Die,黃金稻田,False,Chou Tan | The Noblest Way to Die | 黃金稻田,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Rebels of the Neon God,青少年哪吒,False,Tsai Ming-liang | Rebels of the Neon God | 青少年哪吒,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Ang Lee,The Wedding Banquet,True,1993 ( 30th ) | Ang Lee | The Wedding Banquet | 喜宴,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Autumn Moon,秋月,False,Clara Law | Autumn Moon | 秋月,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Cageman,籠民,False,Jacob Cheung | Cageman | 籠民,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,"C'est la vie, mon chéri",新不了情,False,"Derek Yee | C'est la vie, mon chéri | 新不了情",https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Tsai Ming-liang,Vive L'Amour,True,1994 ( 31st ) | Tsai Ming-liang | Vive L'Amour | 愛情萬歲,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,"Red Rose, White Rose",紅玫瑰白玫瑰,False,"Stanley Kwan | Red Rose, White Rose | 紅玫瑰白玫瑰",https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Chungking Express,重慶森林,False,Wong Kar-wai | Chungking Express | 重慶森林,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,A Confucian Confusion,獨立時代,False,Edward Yang | A Confucian Confusion | 獨立時代,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Hou Hsiao-hsien,"Good Men, Good Women",True,"1995 ( 32nd ) | Hou Hsiao-hsien | Good Men, Good Women | 好男好女",https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Summer Snow,女人四十,False,Ann Hui | Summer Snow | 女人四十,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Tropical Fish,熱帶魚,False,Chen Yu-hsun | Tropical Fish | 熱帶魚,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Super Citizen Ko,超級大國民,False,Wan Jen | Super Citizen Ko | 超級大國民,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Jiang Wen,In the Heat of the Sun,True,1996 ( 33rd ) | Jiang Wen | In the Heat of the Sun | 阳光灿烂的日子,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Floating Life,浮生,False,Clara Law | Floating Life | 浮生,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Red Persimmon,紅柿子,False,Wang Toon | Red Persimmon | 紅柿子,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Viva Erotica,色情男女,False,"Derek Yee , Law Chi-leung | Viva Erotica | 色情男女",https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Fruit Chan,Made in Hong Kong,True,1997 ( 34th ) | Fruit Chan | Made in Hong Kong | 香港製造,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Happy Together,春光乍洩,False,Wong Kar-wai | Happy Together | 春光乍洩,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Wolves Cry Under the Moon,國道封閉,False,Ho Ping | Wolves Cry Under the Moon | 國道封閉,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Mad Phoenix,南海十三郎,False,Clifton Ko | The Mad Phoenix | 南海十三郎,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Joan Chen,Xiu Xiu: The Sent Down Girl,True,1998 ( 35th ) | Joan Chen | Xiu Xiu: The Sent Down Girl | 天浴,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Flowers of Shanghai,海上花,False,Hou Hsiao-hsien | Flowers of Shanghai | 海上花,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Personals,徵婚啟事,False,Chen Kuo-fu | The Personals | 徵婚啟事,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,City of Glass,玻璃之城,False,Mabel Cheung | City of Glass | 玻璃之城,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Ann Hui,Ordinary Heroes,True,1999 ( 36th ) | Ann Hui | Ordinary Heroes | 千言萬語,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Purple Storm,紫雨風暴,False,Teddy Chan | Purple Storm | 紫雨風暴,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Victim,目露兇光,False,Ringo Lam | Victim | 目露兇光,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Darkness and Light,黑暗之光,False,Chang Tso-chi | Darkness and Light | 黑暗之光,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Johnnie To,The Mission,True,2000 ( 37th ) | Johnnie To | The Mission | 鎗火,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,"Crouching Tiger, Hidden Dragon",臥虎藏龍,False,"Ang Lee | Crouching Tiger, Hidden Dragon | 臥虎藏龍",https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,In the Mood for Love,花樣年華,False,Wong Kar-wai | In the Mood for Love | 花樣年華,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Shadow Magic,西洋镜,False,Ann Hu | Shadow Magic | 西洋镜,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Stanley Kwan,Lan Yu,True,2001 ( 38th ) | Stanley Kwan | Lan Yu | 藍宇,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Durian Durian,榴槤飄飄,False,Fruit Chan | Durian Durian | 榴槤飄飄,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,What Time Is It There?,你那邊幾點,False,Tsai Ming-liang | What Time Is It There? | 你那邊幾點,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Beijing Bicycle,十七岁的单车,False,Wang Xiaoshuai | Beijing Bicycle | 十七岁的单车,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Fruit Chan,Hollywood Hong Kong,True,2002 ( 39th ) | Fruit Chan | Hollywood Hong Kong | 香港有個荷里活,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Three: Going Home,三更之回家,False,Peter Chan | Three: Going Home | 三更之回家,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Runaway Pistol,走火槍,False,Lam Wah-tsuen | The Runaway Pistol | 走火槍,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Best of Times,美麗時光,False,Chang Tso-chi | The Best of Times | 美麗時光,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,"Andrew Lau , Alan Mak",Infernal Affairs,True,"2003 ( 40th ) | Andrew Lau , Alan Mak | Infernal Affairs | 無間道",https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Men Suddenly in Black,大丈夫,False,Pang Ho-cheung | Men Suddenly in Black | 大丈夫,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,PTU,,False,Johnnie To | PTU,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,"Goodbye, Dragon Inn",不散,False,"Tsai Ming-liang | Goodbye, Dragon Inn | 不散",https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Johnnie To,Breaking News,True,2004 ( 41st ) | Johnnie To | Breaking News | 大事件,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Dumplings,餃子,False,Fruit Chan | Dumplings | 餃子,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,One Nite in Mongkok,旺角黑夜,False,Derek Yee | One Nite in Mongkok | 旺角黑夜,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Mountain Patrol: Kekexili,可可西里,False,Lu Chuan | Mountain Patrol: Kekexili | 可可西里,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Stephen Chow,Kung Fu Hustle,True,2005 ( 42nd ) | Stephen Chow | Kung Fu Hustle | 功夫,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Three Times,最好的時光,False,Hou Hsiao-hsien | Three Times | 最好的時光,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Election,黑社會,False,Johnnie To | Election | 黑社會,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,The Wayward Cloud,天邊一朵雲,False,Tsai Ming-liang | The Wayward Cloud | 天邊一朵雲,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Peter Chan,Perhaps Love,True,2006 ( 43rd ) | Peter Chan | Perhaps Love | 如果·愛,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Exiled,放‧逐,False,Johnnie To | Exiled | 放‧逐,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Silk,詭絲,False,Su Chao-pin | Silk | 詭絲,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Crazy Stone,疯狂的石头,False,Ning Hao | Crazy Stone | 疯狂的石头,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Ang Lee,"Lust, Caution",True,"2007 ( 44th ) | Ang Lee | Lust, Caution | 色，戒",https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
,Protégé,門徒,False,Derek Yee | Protégé | 門徒,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Director
