year,film,person,is_winner,raw_text,source_url
,1981,Evening Rain,False,"1st | 1981 | Evening Rain | 巴山夜雨 | Wu Yonggang , Wu Yigong",https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,天云山传奇,Xie Jin,False,Legend of Tianyun Mountain | 天云山传奇 | Xie Jin,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1982,Neighbor,False,"2nd | 1982 | Neighbor | 邻居 | Xu Guming , Zheng Dongtian",https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1983,Rickshaw Boy,False,3rd | 1983 | Rickshaw Boy | 骆驼祥子 | Ling Zifeng,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,人到中年,Wang Qimin,False,At Middle Age | 人到中年 | Wang Qimin,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1984,Voice from Hometown,False,4th | 1984 | Voice from Hometown ( Xiang yin ) | 乡音 | Hu Bingdang,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1985,The Girl in Red,False,5th | 1985 | The Girl in Red ( Hong yi shao nu ) | 红衣少女 | Lu Xiaoya,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1986,Wild Mountains,False,6th | 1986 | Wild Mountains ( Ye shan ) | 野山 | Yan Xueshu,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1987,Dr. Sun Yat-sen,False,7th | 1987 | Dr. Sun Yat-sen | 孙中山 | Ding Yinnan,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,芙蓉镇,Xie Jin,False,Hibiscus Town | 芙蓉镇 | Xie Jin,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1988,Red Sorghum,False,8th | 1988 | Red Sorghum | 红高梁 | Zhang Yimou,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,老井,Wu Tianming,False,Old Well | 老井 | Wu Tianming,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1989,Not awarded,True,9th | 1989 | Not awarded,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1990,Founding Ceremony,False,"10th | 1990 | Founding Ceremony ( Jue zhan zhi hou ) [ 1 ] | 开国大典 | Li Qiankuan , Xiao Guiyun",https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1991,Jiao Yulu,False,11th | 1991 | Jiao Yulu | 焦裕禄 | Wang Jixing,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1992,Decisive Engagement: The Liaoxi-Shenyang Campaign,False,12th | 1992 | Decisive Engagement: The Liaoxi-Shenyang Campaign | 大决战 | Li Jun,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1993,The Story of Qiu Ju,False,13th | 1993 | The Story of Qiu Ju | 秋菊打官司 | Zhang Yimou,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1994,Country Teachers,False,14th | 1994 | Country Teachers | 凤凰琴 | He Qun,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1995,The Accused Uncle Shangang,False,15th | 1995 | The Accused Uncle Shangang | 被告山杠爷 | Fan Yuan,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1996,Red Cherry,False,16th | 1996 | Red Cherry | 红樱桃 | Ye Daying,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1997,The Opium War,False,17th | 1997 | The Opium War | 鸦片战争 | Xie Jin,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1998,Live in Peace,False,18th | 1998 | Live in Peace | 安居 | Hu Bingliu,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,1999,Postmen in the Mountains,False,19th | 1999 | Postmen in the Mountains | 那山那人那狗 | Huo Jianqi,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,2000,The Road Home,False,20th | 2000 | The Road Home | 我的父亲母亲 | Zhang Yimou,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,横空出世,Chen Guoxing,False,Roaring Across the Horizon | 横空出世 | Chen Guoxing,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,生死抉择,Yu Benzheng,False,Fatal Decision | 生死抉择 | Yu Benzheng,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
,2001,"Mao Zedong, 1925",False,"21st | 2001 | Mao Zedong, 1925 | 毛泽东在1925 | Zhang Jinbiao",https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
