year,film,person,is_winner,raw_text,source_url
,Year,Director,False,# | Year | Director | Film (English) | Film (Korean),https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1962,Shin Sang-ok,False,1 | 1962 | Shin Sang-ok | The Houseguest and My Mother | 사랑방 손님과 어머니,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1963,Yu Hyun-mok,False,2 | 1963 | Yu Hyun-mok | Freely Given | 아낌없이 주련다,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1964,Lee Man-hee,False,3 | 1964 | Lee Man-hee | The Marines Who Never Returned | 돌아오지 않는 해병,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1965,Shin Sang-ok,False,4 | 1965 | Shin Sang-ok | Deaf Sam-yong | 벙어리 삼룡이,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1966,Yu Hyun-mok,False,5 | 1966 | Yu Hyun-mok | Martyr | 순교자,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1967,Kim Soo-yong,False,6 | 1967 | Kim Soo-yong | Mist | 안개,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1968,Shin Sang-ok,False,7 | 1968 | Shin Sang-ok | Prince Daewon | 대원군,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1969,N/a,False,8 | 1969 | — N/a,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1970,,False,9 | 1970,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1971,,False,10 | 1971,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1972,Shin Sang-ok,False,11 | 1972 | Shin Sang-ok | Last Battle in Pyeongyang | 평양폭격대,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1973,Choi Hun,False,12 | 1973 | Choi Hun | Narcissus | 수선화,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1974,Kim Soo-yong,False,13 | 1974 | Kim Soo-yong | The Land | 토지,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1975,Lee Man-hee,False,14 | 1975 | Lee Man-hee | The Road to Sampo | 삼포가는 길,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1976,Seol Tae-ho,False,15 | 1976 | Seol Tae-ho | The Secret of Wonsan | 원산공작,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1977,Choi In-hyeon,False,16 | 1977 | Choi In-hyeon | Concentration | 집념,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1978,Im Kwon-taek,False,17 | 1978 | Im Kwon-taek | The Genealogy | 족보,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1979,Jung Jin-woo,False,18 | 1979 | Jung Jin-woo | I Saw the Wild Ginseng | 심봤다,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1980,Lee Jang-ho,False,"19 | 1980 | Lee Jang-ho | A Fine, Windy Day | 바람불어 좋은날",https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1981,Im Kwon-taek,False,20 | 1981 | Im Kwon-taek | Mandala | 만다라,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1982,Lee Jang-ho,False,21 | 1982 | Lee Jang-ho | Come Unto Down | 낮은데로 임하소서,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1983,Lee Doo-yong,False,22 | 1983 | Lee Doo-yong | Mulleya Mulleya | 여인잔혹사 물레야 물레야,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1984,Jung Jin-woo,False,23 | 1984 | Jung Jin-woo | Adultery Tree | 자녀목,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1985,Bae Chang-ho,False,24 | 1985 | Bae Chang-ho | Deep Blue Night | 깊고 푸른밤,https://en.wikipedia.org/wiki/Grand_Bell_Awards
