year,film,person,is_winner,raw_text,source_url
,Year,Film,False,# | Year | Film (English) | Film (Korean) | Director,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1962,Prince Yeonsan,False,1 | 1962 | Prince Yeonsan | 연산군 | Shin Sang-ok,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1963,The Memorial Gate for Virtuous Women,False,2 | 1963 | The Memorial Gate for Virtuous Women | 열녀문 | Shin Sang-ok,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1964,Kinship,False,3 | 1964 | Kinship | 혈맥 | Kim Soo-yong,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1965,Deaf Sam-yong,False,4 | 1965 | Deaf Sam-yong | 벙어리 삼룡이 | Shin Sang-ok,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1966,The Sea Village,False,5 | 1966 | The Sea Village | 갯마을 | Kim Soo-yong,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1967,Coming Back,False,6 | 1967 | Coming Back | 귀로 | Lee Man-hee,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1968,Prince Daewon,False,7 | 1968 | Prince Daewon | 대원군 | Shin Sang-ok,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1969,N/a,False,8 | 1969 | — N/a,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1970,,False,9 | 1970,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1971,,False,10 | 1971,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1972,Patriotic Martyr An Jung-gun,False,11 | 1972 | Patriotic Martyr An Jung-gun | 의사 안중근 | Joo Dong-jin,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1973,The General in Red Robes,False,12 | 1973 | The General in Red Robes | 홍의 장군 | Lee Doo-yong,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1974,The Land,False,13 | 1974 | The Land | 토지 | Kim Soo-yong,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1975,Flame,False,14 | 1975 | Flame | 불꽃 | Yu Hyun-mok,https://en.wikipedia.org/wiki/Grand_Bell_Awards
,1976,Mother,False,15 | 1976 | Mother | 어머니 | Im Won-shik,https://en.wikipedia.org/wiki/Grand_Bell_Awards
