award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Grand Bell Awards,1962,1,Best Film,김상봉,《연산군》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,문화영화작품상,김상봉,《동물원의 하루》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,Best Actor,Shin Young-kyun,《연산군》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,Best Actress,최은희,《상록수》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,Best Supporting Actor,이예춘,《현해탄은 알고 있다》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,Best Supporting Actress,한은진,《연산군》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,Best Screenplay,임희재,The Houseguest and My Mother,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,Best Cinematography,배성학,《연산군》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,Best Lighting,이계창,《연산군》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,Best Editing,한형모,《언니는 말괄량이》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,Best Art Direction,정우택,《연산군》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,녹음상,이경순,《연산군》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,Best Music,정윤주,《연산군》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,신인상,김기덕,《5인의 해병》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,특별장려상,전영선,The Houseguest and My Mother,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1962,1,Lifetime Achievement Award,신필림,《상록수》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1963,2,Best Film,,《열녀문》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1963,2,문화영화작품상,국립영화제작소,《피어린 육백리》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1963,2,Best Director,Yu Hyun-mok,《아낌없이 주련다》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1963,2,Best Actor,Shin Young-kyun,《열녀문》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1963,2,Best Actress,Do Kum-bong,《새댁》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1963,2,Best Supporting Actor,박노식,《진시황제와 만리장성》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1963,2,Best Supporting Actress,황정순,《새댁》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1963,2,Best Screenplay,김강윤,《열녀문》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1963,2,Best Cinematography,정해준,《무정》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1963,2,Best Lighting,박진수,《아낌없이 주련다》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1963,2,Best Editing,김영희,《열녀문》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1963,2,Best Art Direction,이봉선,《아낌없이 주련다》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
Grand Bell Awards,1963,2,녹음상,이경순,《지옥문》,,Winner,Korean,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
