award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Hong Kong Film Critics Society Awards,2025,Sean Lau,Best Film,,Ciao UFO,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2025,Sean Lau,Best Director,"Jonathan Li, Chou Man-yu(Behind the Shadows)",,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2025,Sean Lau,Best Screenplay,"Kwok Ka Hei, Lee Chun Kit, Ho Siu Hong, Choi Ka Hang(Unidentified Murder)",,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2025,Sean Lau,Best Actor,Louis Koo(Behind the Shadows),,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2025,Sean Lau,Best Actress,Fish Liew(Someone Like Me),,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2024,Sammi Cheng,Best Film,,Twilight of the Warriors: Walled In,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2024,Sammi Cheng,Best Director,Philip Yung(Papa),,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2024,Sammi Cheng,Best Screenplay,"Albert Mak, Ryker Chan, Man Uen-Ching(Rob N Roll)",,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2024,Sammi Cheng,Best Actor,Lau Ching-Wan(Papa),,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2024,Sammi Cheng,Best Actress,Hedwig Tam(Montages of a Modern Motherhood),,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2023,Wai Ka-fai,Best Film,,Mad Fate,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2023,Wai Ka-fai,Best Director,Jonathan Li(Dust to Dust),,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2023,Wai Ka-fai,Best Screenplay,Sasha Chuk(Fly Me to the Moon),,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2023,Wai Ka-fai,Best Actor,Wu Kang-ren(Fly Me to the Moon),,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2023,Wai Ka-fai,Best Actress,Jennifer Yu(In Broad Daylight),,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2022,Alfred Cheung,Best Film,,To My Nineteen Year Old Self,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2022,Alfred Cheung,Best Director,Wai Ka-fai(Detective vs Sleuths) Lam Sum(The Narrow Road),,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2022,Alfred Cheung,Best Screenplay,"Wai Ka-fai, Ray Chan, Mak Tin-shu (Detective vs Sleuths)",,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
Hong Kong Film Critics Society Awards,2022,Alfred Cheung,Best Actor,Louis Cheung(The Narrow Road),,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Critics_Society_Award
