year,film,person,is_winner,raw_text,source_url
,Allen Fong,Father and Son,True,1981 (1st) | Allen Fong | Father and Son | [ 2 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Ann Hui,Boat People,True,1982 (2nd) | Ann Hui | Boat People | [ 3 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Lonely Fifteen,,False,David Lai | Lonely Fifteen,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,The Prodigal Son,,False,Sammo Hung | The Prodigal Son,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Teenage Dreamers,,False,Clifford Choi | Teenage Dreamers,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Nomad,,False,Patrick Tam | Nomad,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Allen Fong,Ah Ying,True,1983 (3rd) | Allen Fong | Ah Ying | [ 4 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,The Burning of Imperial Palace,,False,Li Han-hsiang | The Burning of Imperial Palace,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,The Dead and the Deadly,,False,Wu Ma | The Dead and the Deadly,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,All the Wrong Spies,,False,Teddy Robin | All the Wrong Spies,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Health Warning,,False,Kirk Wong | Health Warning,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Yim Ho,Homecoming,True,1984 (4th) | Yim Ho | Homecoming | [ 5 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Shanghai Blues,,False,Tsui Hark | Shanghai Blues,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Long Arm of the Law,,False,Johnny Mak | Long Arm of the Law,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Hong Kong 1941,,False,Po-Chih Leong | Hong Kong 1941,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Law with Two Phases,,False,Danny Lee Sau-Yin | Law with Two Phases,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Mabel Cheung,The Illegal Immigrant,True,1985 (5th) | Mabel Cheung | The Illegal Immigrant | [ 6 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Women,,False,Stanley Kwan | Women,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Mr. Vampire,,False,Ricky Lau | Mr. Vampire,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Heart of Dragon,,False,Sammo Hung | Heart of Dragon,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Police Story,,False,Jackie Chan | Police Story,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Allen Fong,Just Like Weather,True,1986 (6th) | Allen Fong | Just Like Weather | [ 7 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Brotherhood,,False,Stephen Shin | Brotherhood,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,A Better Tomorrow,,False,John Woo | A Better Tomorrow,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,The Lunatics,,False,Derek Yee | The Lunatics,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,The Last Emperor,,False,Li Han-Xiang | The Last Emperor,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Love Unto Waste,,False,Stanley Kwan | Love Unto Waste,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Ringo Lam,City on Fire,True,1987 (7th) | Ringo Lam | City on Fire | [ 8 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,A Chinese Ghost Story,,False,Ching Siu-tung | A Chinese Ghost Story,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,An Autumn's Tale,,False,Mabel Cheung | An Autumn's Tale,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Prison on Fire,,False,Ringo Lam | Prison on Fire,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,The Romance of Book & Sword,,False,Ann Hui | The Romance of Book & Sword,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Final Victory,,False,Patrick Tam | Final Victory,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Stanley Kwan,Rouge,True,1988 (8th) | Stanley Kwan | Rouge | [ 9 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Gangs,,False,Lawrence Ah Mon | Gangs,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Painted Faces,,False,Alex Law | Painted Faces,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,As Tears Go By,,False,Wong Kar-wai | As Tears Go By,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Last Eunuch in China,,False,Jacob Cheung | Last Eunuch in China,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,John Woo,The Killer,True,1989 (9th) | John Woo | The Killer | [ 10 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,All About Ah-Long,,False,Johnnie To | All About Ah-Long,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Beyond the Sunset,,False,Jacob Cheung | Beyond the Sunset,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,A Fishy Story,,False,Anthony Chan Yau | A Fishy Story,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Eight Taels of Gold,,False,Mabel Cheung | Eight Taels of Gold,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Wong Kar-wai,Days of Being Wild,True,1990 (10th) | Wong Kar-wai | Days of Being Wild | [ 11 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Bullet in the Head,,False,John Woo | Bullet in the Head,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Song of the Exile,,False,Ann Hui | Song of the Exile,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Red Dust,,False,Yim Ho | Red Dust,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Farewell China,,False,Clara Law | Farewell China,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Tsui Hark,Once Upon a Time in China,True,1991 (11th) | Tsui Hark | Once Upon a Time in China | [ 12 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Once a Thief,,False,John Woo | Once a Thief,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Fight Back to School,,False,Gordon Chan | Fight Back to School,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Lee Rock,,False,Lawrence Ah Mon | Lee Rock,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,To Be Number One,,False,Poon Man-kit | To Be Number One,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Jacob Cheung,Cageman,True,1992 (12th) | Jacob Cheung | Cageman | [ 13 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,92 Legendary La Rose Noire,,False,Jeffrey Lau | 92 Legendary La Rose Noire,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,King of Beggars,,False,Gordon Chan | King of Beggars,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Once Upon a Time in China II,,False,Tsui Hark | Once Upon a Time in China II,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Center Stage,,False,Stanley Kwan | Center Stage,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Derek Yee,"C'est la vie, mon chéri",True,"1993 (13th) | Derek Yee | C'est la vie, mon chéri | [ 14 ]",https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Crime Story,,False,Kirk Wong | Crime Story,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Legal Innocence,,False,Cha Yuen-yee | Legal Innocence,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,"Tom, Dick and Hairy",,False,"Peter Chan and Lee Chi-ngai | Tom, Dick and Hairy",https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Temptation of a Monk,,False,Clara Law | Temptation of a Monk,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Wong Kar-wai,Chungking Express,True,1994 (14th) | Wong Kar-wai | Chungking Express | [ 15 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Ashes of Time,,False,Wong Kar-wai | Ashes of Time,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,"He's a Woman, She's a Man",,False,"Peter Chan | He's a Woman, She's a Man",https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,The Lovers,,False,Tsui Hark | The Lovers,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,The Final Option,,False,Gordon Chan | The Final Option,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Ann Hui,Summer Snow,True,1995 (15th) | Ann Hui | Summer Snow | [ 16 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Full Throttle,,False,Derek Yee | Full Throttle,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Fallen Angels,,False,Wong Kar-wai | Fallen Angels,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,The Day the Sun Turned Cold,,False,Yim Ho | The Day the Sun Turned Cold,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Loving You,,False,Johnnie To | Loving You,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Peter Chan,Comrades: Almost a Love Story,True,1996 (16th) | Peter Chan | Comrades: Almost a Love Story | [ 17 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,The Log,,False,Derek Chiu | The Log,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Viva Erotica,,False,Derek Yee and Law Chi-leung | Viva Erotica,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Hu-Du-Men,,False,Shu Kei | Hu-Du-Men,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Big Bullet,,False,Benny Chan | Big Bullet,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Fruit Chan,Made in Hong Kong,True,1997 (17th) | Fruit Chan | Made in Hong Kong | [ 18 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Happy Together,,False,Wong Kar-wai | Happy Together,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Full Alert,,False,Ringo Lam | Full Alert,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,The Soong Sisters,,False,Mabel Cheung | The Soong Sisters,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Lifeline,,False,Johnnie To | Lifeline,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Gordon Chan and Dante Lam,Beast Cops,True,1998 (18th) | Gordon Chan and Dante Lam | Beast Cops | [ 19 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Hold You Tight,,False,Stanley Kwan | Hold You Tight,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,The Longest Summer,,False,Fruit Chan | The Longest Summer,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,City of Glass,,False,Mabel Cheung | City of Glass,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,The Longest Nite,,False,Patrick Yau | The Longest Nite,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Johnnie To,The Mission,True,1999 (19th) | Johnnie To | The Mission | [ 20 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Tempting Heart,,False,Sylvia Chang | Tempting Heart,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Ordinary Heroes,,False,Ann Hui | Ordinary Heroes,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Victim,,False,Ringo Lam | Victim,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Running Out of Time,,False,Johnnie To | Running Out of Time,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Ang Lee,"Crouching Tiger, Hidden Dragon",True,"2000 (20th) | Ang Lee | Crouching Tiger, Hidden Dragon | [ 21 ]",https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,In the Mood for Love,,False,Wong Kar-wai | In the Mood for Love,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Durian Durian,,False,Fruit Chan | Durian Durian,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Needing You...,,False,Johnnie To and Wai Ka-fai | Needing You...,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Juliet in Love,,False,Wilson Yip | Juliet in Love,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
,Stephen Chow,Shaolin Soccer,True,2001 (21st) | Stephen Chow | Shaolin Soccer | [ 22 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Director
