year,film,person,is_winner,raw_text,source_url
,Father and Son,Wong Kai-chuen,True,1982 (1st) | Father and Son | Wong Kai-chuen | Phoenix Motion Picture Company | [ 1 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Boat People,Xia Meng,True,1983 (2nd) | Boat People | Xia Meng | Bluebird Film Company Greenworld Company | [ 2 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Johnny Mak Tong-hung,Pearl City Films,False,Lonely Fifteen | Johnny Mak Tong-hung | Pearl City Films,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Raymond Chow,Golden Harvest,False,The Prodigal Son | Raymond Chow | Golden Harvest,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Dennis Yu Jeffrey Lau,Century Motion Picture,False,Coolie Killer | Dennis Yu Jeffrey Lau | Century Motion Picture,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Jeffrey Lau Dennis Yu,Century Motion Picture,False,Nomad | Jeffrey Lau Dennis Yu | Century Motion Picture,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Ah Ying,,True,1984 (3rd) | Ah Ying |  |  | [ 3 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Homecoming,,True,1985 (4th) | Homecoming |  |  | [ 4 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Police Story,,True,1986 (5th) | Police Story |  |  | [ 5 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,A Better Tomorrow,,True,1987 (6th) | A Better Tomorrow |  |  | [ 6 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,An Autumn's Tale,,True,1988 (7th) | An Autumn's Tale |  |  | [ 7 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Ann Hui,,False,The Romance of Book & Sword | Ann Hui | ,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Rouge,,True,1989 (8th) | Rouge |  |  | [ 8 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Beyond the Sunset,,True,1990 (9th) | Beyond the Sunset |  |  | [ 9 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Days of Being Wild,Wong Kar-wai,True,1991 (10th) | Days of Being Wild | Wong Kar-wai |  | [ 10 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Ann Hui,,False,Song of the Exile | Ann Hui | ,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,To Be Number One,,True,1992 (11th) | To Be Number One |  |  | [ 11 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Cageman,,True,1993 (12th) | Cageman |  |  | [ 12 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,"C'est la vie, mon chéri",,True,"1994 (13th) | C'est la vie, mon chéri |  |  | [ 13 ]",https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Chungking Express,Wong Kar-wai,True,1995 (14th) | Chungking Express | Wong Kar-wai |  | [ 14 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Wong Kar-wai,,False,Ashes of Time | Wong Kar-wai | ,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Summer Snow,Ann Hui,True,1996 (15th) | Summer Snow | Ann Hui |  | [ 15 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Wong Kar-wai,,False,Fallen Angels | Wong Kar-wai | ,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Comrades: Almost a Love Story,Peter Chan,True,1997 (16th) | Comrades: Almost a Love Story | Peter Chan |  | [ 16 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Made in Hong Kong,,True,1998 (17th) | Made in Hong Kong |  |  | [ 17 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Wong Kar-wai,,False,Happy Together | Wong Kar-wai | ,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Beast Cops,,True,1999 (18th) | Beast Cops |  |  | [ 18 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Ordinary Heroes,Ann Hui,True,2000 (19th) | Ordinary Heroes | Ann Hui | Class Limited | [ 19 ],https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Doris Yang & Makoto Ueda,Nicetop Independent Ltd & NHK Japan Broadcasting Corporation,False,Little Cheung | Doris Yang & Makoto Ueda | Nicetop Independent Ltd & NHK Japan Broadcasting Corporation,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Johnnie To,Milkyway Image Ltd.,False,The Mission | Johnnie To | Milkyway Image (HK) Ltd.,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,David Chan,"GH Pictures Ltd, Deltamac Company Limited & Sil-Metropole Organisation Limited",False,"Fly Me to Polaris | David Chan | GH Pictures (China) Ltd, Deltamac Company Limited & Sil-Metropole Organisation Limited",https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,Johnnie To,Win's Entertainment Ltd,False,Running Out of Time | Johnnie To | Win's Entertainment Ltd,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
,"Crouching Tiger, Hidden Dragon","Bill Kong, Hsu Li Kong & Ang Lee",True,"2001 (20th) | Crouching Tiger, Hidden Dragon | Bill Kong, Hsu Li Kong & Ang Lee | Columbia Pictures Film Production Asia & Good Machine International | [ 20 ]",https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
