year,film,person,is_winner,raw_text,source_url
1956,Floating Clouds,Hideko Takamine,False,1956 | Floating Clouds | Hideko Takamine,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1957,"Flowing A Cat, Shozo, and Two Women",Isuzu Yamada,False,"1957 | Flowing A Cat, Shozo, and Two Women | Isuzu Yamada",https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1958,Throne of Blood The Lower Depths Downtown,Isuzu Yamada,False,1958 | Throne of Blood The Lower Depths Downtown | Isuzu Yamada,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1959,The Ballad of Narayama,Kinuyo Tanaka,False,1959 | The Ballad of Narayama | Kinuyo Tanaka,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1960,The Human Condition,Michiyo Aratama,False,1960 | The Human Condition | Michiyo Aratama,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1961,A Woman's Testament The Twilight Story,Fujiko Yamamoto,False,1961 | A Woman's Testament The Twilight Story | Fujiko Yamamoto,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1962,A Wife Confesses Onna wa nido umareru,Ayako Wakao,False,1962 | A Wife Confesses Onna wa nido umareru | Ayako Wakao,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1963,Akitsu Springs This Year's Love,Mariko Okada,False,1963 | Akitsu Springs This Year's Love | Mariko Okada,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1964,The Insect Woman She and He,Sachiko Hidari,False,1964 | The Insect Woman She and He | Sachiko Hidari,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1965,Sweet Sweat,Machiko Kyō,False,1965 | Sweet Sweat | Machiko Kyō,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1966,Seisaku's Wife Nami kage,Ayako Wakao,False,1966 | Seisaku's Wife Nami kage | Ayako Wakao,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1967,The River Kino Hit and Run The Daphne,Yoko Tsukasa,False,1967 | The River Kino Hit and Run The Daphne | Yoko Tsukasa,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1968,Onna no issho Portrait of Chieko Clouds at Sunset,Shima Iwashita,False,1968 | Onna no issho Portrait of Chieko Clouds at Sunset | Shima Iwashita,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1969,One Day at Summer's End The House of Wooden Blocks The Time of Reckoning,Ayako Wakao,False,1969 | One Day at Summer's End The House of Wooden Blocks The Time of Reckoning | Ayako Wakao,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1970,Double Suicide,Shima Iwashita,False,1970 | Double Suicide | Shima Iwashita,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1971,Where Spring Comes Late Tora-san's Runaway,Chieko Baisho,False,1971 | Where Spring Comes Late Tora-san's Runaway | Chieko Baisho,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1972,Red Peony Gambler: Here to Kill You Okoma: The Orphan Gambler,Sumiko Fuji,False,1972 | Red Peony Gambler: Here to Kill You Okoma: The Orphan Gambler | Sumiko Fuji,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1973,Ichijo's Wet Lust Delicate Skillful Fingers,Hiroko Isayama,False,1973 | Ichijo's Wet Lust Delicate Skillful Fingers | Hiroko Isayama,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1974,Tsugaru Folk Song,Kyôko Enami,False,1974 | Tsugaru Folk Song | Kyôko Enami,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1975,Sandakan No. 8,Kinuyo Tanaka,False,1975 | Sandakan No. 8 | Kinuyo Tanaka,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1976,Tora-san's Rise and Fall,Ruriko Asaoka,False,1976 | Tora-san's Rise and Fall | Ruriko Asaoka,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1977,Lullaby of the Earth The Youth Killer,Mieko Harada,False,1977 | Lullaby of the Earth The Youth Killer | Mieko Harada,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1978,Ballad of Orin,Shima Iwashita,False,1978 | Ballad of Orin | Shima Iwashita,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1979,The Love Suicides at Sonezaki,Meiko Kaji,False,1979 | The Love Suicides at Sonezaki | Meiko Kaji,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1980,No More Easy Life,Kaori Momoi,False,1980 | No More Easy Life | Kaori Momoi,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1981,Zigeunerweisen,Naoko Otani,False,1981 | Zigeunerweisen | Naoko Otani,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1982,Station,Chieko Baisho,False,1982 | Station | Chieko Baisho,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1983,Fall Guy Lovers Lost,Keiko Matsuzaka,False,1983 | Fall Guy Lovers Lost | Keiko Matsuzaka,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1984,Crossing Mt. Amagi,Yūko Tanaka,False,1984 | Crossing Mt. Amagi | Yūko Tanaka,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1985,Ohan Station to Heaven,Sayuri Yoshinaga,False,1985 | Ohan Station to Heaven | Sayuri Yoshinaga,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1986,Love Letter Ikiteru uchiga hana nanoyo shin-dara sore madeyo to sengen,Mitsuko Baisho,False,1986 | Love Letter Ikiteru uchiga hana nanoyo shin-dara sore madeyo to sengen | Mitsuko Baisho,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1987,Katayoku dake no tenshi,Yoko Akino,False,1987 | Katayoku dake no tenshi | Yoko Akino,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1988,A Taxing Woman,Nobuko Miyamoto,False,1988 | A Taxing Woman | Nobuko Miyamoto,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1989,The Yen Family Tomorrow Love Bites Back,Kaori Momoi,False,1989 | The Yen Family Tomorrow Love Bites Back | Kaori Momoi,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1990,Black Rain,Yoshiko Tanaka,False,1990 | Black Rain | Yoshiko Tanaka,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1991,The Sting of Death,Keiko Matsuzaka,False,1991 | The Sting of Death | Keiko Matsuzaka,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1992,Rainbow Kids,Tanie Kitabayashi,False,1992 | Rainbow Kids | Tanie Kitabayashi,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1993,Nurses and Doctors Original Sin,Shinobu Otake,False,1993 | Nurses and Doctors Original Sin | Shinobu Otake,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1994,All Under the Moon,Ruby Moreno,False,1994 | All Under the Moon | Ruby Moreno,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1995,Crest of Betrayal,Saki Takaoka,False,1995 | Crest of Betrayal | Saki Takaoka,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1996,A Last Note,Haruko Sugimura,False,1996 | A Last Note | Haruko Sugimura,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1997,Village of Dreams,Mieko Harada,False,1997 | Village of Dreams | Mieko Harada,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1998,Tokyo Lullaby,Kaori Momoi,False,1998 | Tokyo Lullaby | Kaori Momoi,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
1999,Begging for Love,Mieko Harada,False,1999 | Begging for Love | Mieko Harada,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2000,Keiho,Kyōka Suzuki,False,2000 | Keiho | Kyōka Suzuki,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2001,Face,Naomi Fujiyama,False,2001 | Face | Naomi Fujiyama,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2002,Hush!,Reiko Kataoka,False,2002 | Hush! | Reiko Kataoka,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2003,The Twilight Samurai Utsutsu,Rie Miyazawa,False,2003 | The Twilight Samurai Utsutsu | Rie Miyazawa,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2004,Akame 48 Waterfalls Vibrator,Shinobu Terajima,False,2004 | Akame 48 Waterfalls Vibrator | Shinobu Terajima,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2005,The Face of Jizo,Rie Miyazawa,False,2005 | The Face of Jizo | Rie Miyazawa,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2006,Hibi,Yūko Tanaka,False,2006 | Hibi | Yūko Tanaka,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2007,Loft Memories of Matsuko Christmas on July 24th Avenue,Miki Nakatani,False,2007 | Loft Memories of Matsuko Christmas on July 24th Avenue | Miki Nakatani,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2008,Midnight Eagle Dog in a Sidecar Closed Note,Yūko Takeuchi,False,2008 | Midnight Eagle Dog in a Sidecar Closed Note | Yūko Takeuchi,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
