award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Kinema Junpo Awards,1956,,Best Actress,Floating Clouds,Hideko Takamine,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1957,,Best Actress,"FlowingA Cat, Shozo, and Two Women",Isuzu Yamada,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1958,,Best Actress,Throne of BloodThe Lower DepthsDowntown,Isuzu Yamada,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1959,,Best Actress,The Ballad of Narayama,Kinuyo Tanaka,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1960,,Best Actress,The Human Condition,Michiyo Aratama,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1961,,Best Actress,A Woman's TestamentThe Twilight Story,Fujiko Yamamoto,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1962,,Best Actress,A Wife ConfessesOnna wa nido umareru,Ayako Wakao,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1963,,Best Actress,Akitsu SpringsThis Year's Love,Mariko Okada,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1964,,Best Actress,The Insect WomanShe and He,Sachiko Hidari,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1965,,Best Actress,Sweet Sweat,Machiko Kyō,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1966,,Best Actress,Seisaku's WifeNami kage,Ayako Wakao,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1967,,Best Actress,The River KinoHit and RunThe Daphne,Yoko Tsukasa,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1968,,Best Actress,Life of a WomanPortrait of ChiekoClouds at Sunset,Shima Iwashita,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1969,,Best Actress,One Day at Summer's EndThe House of Wooden BlocksThe Time of Reckoning,Ayako Wakao,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1970,,Best Actress,Double Suicide,Shima Iwashita,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1971,,Best Actress,Where Spring Comes LateTora-san's Runaway,Chieko Baisho,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1972,,Best Actress,Red Peony Gambler: Here to Kill YouOkoma: The Orphan Gambler,Sumiko Fuji,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1973,,Best Actress,Ichijo's Wet LustDelicate Skillful Fingers,Hiroko Isayama,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1974,,Best Actress,Tsugaru Folk Song,Kyôko Enami,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1975,,Best Actress,Sandakan No. 8,Kinuyo Tanaka,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1976,,Best Actress,Tora-san's Rise and Fall,Ruriko Asaoka,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
Kinema Junpo Awards,1977,,Best Actress,Lullaby of the EarthThe Youth Killer,Mieko Harada,,Winner,Japanese,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
