year,film,person,is_winner,raw_text,source_url
1980,Choi Bool-am,The Last Witness,False,1980 | Choi Bool-am | The Last Witness | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1981,Jeon Moo-song,Mandala,False,1981 | Jeon Moo-song | Mandala | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1983,Ahn Sung-ki,Polluted Ones,False,1983 | Ahn Sung-ki | Polluted Ones | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1984,Ahn Sung-ki,Village in the Mist,False,1984 | Ahn Sung-ki | Village in the Mist | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1985,Hah Myung-joong,Blazing Sun,False,1985 | Hah Myung-joong | Blazing Sun | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1986,Lee Dae-geun,Mulberry,False,1986 | Lee Dae-geun | Mulberry | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1987,Shin Seong-il,Lethe's Love Song,False,1987 | Shin Seong-il | Lethe's Love Song | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1988,Yu In-chon,Diary of King Yeonsan,False,1988 | Yu In-chon | Diary of King Yeonsan | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1989,Park Joong-hoon,Chilsu and Mansu,False,1989 | Park Joong-hoon | Chilsu and Mansu | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1990,Park Joong-hoon,The Lovers of Woomook-baemi,False,1990 | Park Joong-hoon | The Lovers of Woomook-baemi | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1991,Lee Young-ha,Only Because You Are a Woman,False,1991 | Lee Young-ha | Only Because You Are a Woman | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1992,Moon Sung-keun,Road to the Racetrack,False,1992 | Moon Sung-keun | Road to the Racetrack | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1993,Kim Myung-gon,Sopyonje,False,1993 | Kim Myung-gon | Sopyonje | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1994,Ahn Sung-ki,Two Cops,False,1994 | Ahn Sung-ki | Two Cops | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1995,Ahn Sung-ki,The Eternal Empire,False,1995 | Ahn Sung-ki | The Eternal Empire | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
