year,film,person,is_winner,raw_text,source_url
1980,Yu Hyun-mok,Son of Man,False,1980 | Yu Hyun-mok | Son of Man | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1981,Kim Ho-sun,Three Times Each for Short and Long Ways,False,1981 | Kim Ho-sun | Three Times Each for Short and Long Ways | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1983,Bae Chang-ho,People of Kkobang Neighborhood,False,1983 | Bae Chang-ho | People of Kkobang Neighborhood | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1984,Bae Chang-ho,Whale Hunting,False,1984 | Bae Chang-ho | Whale Hunting | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1985,Jung Jin-woo,Adultery Tree,False,1985 | Jung Jin-woo | Adultery Tree | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1986,Im Kwon-taek,Gilsoddeum,False,1986 | Im Kwon-taek | Gilsoddeum | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1987,Im Kwon-taek,Ticket,False,1987 | Im Kwon-taek | Ticket | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1988,Song Yeong-su,"Now, We're Going to Geneva",False,"1988 | Song Yeong-su | Now, We're Going to Geneva | ",https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1989,Kim Ho-sun,Rainbow Over Seoul,False,1989 | Kim Ho-sun | Rainbow Over Seoul | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1990,Lee Doo-yong,Road to Cheongsong Prison,False,1990 | Lee Doo-yong | Road to Cheongsong Prison | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1991,Park Kwang-su,Black Republic,False,1991 | Park Kwang-su | Black Republic | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1992,Jang Sun-woo,Road to the Racetrack,False,1992 | Jang Sun-woo | Road to the Racetrack | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1993,Im Kwon-taek,Sopyonje,False,1993 | Im Kwon-taek | Sopyonje | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1994,Jang Sun-woo,Hwa-Om-Kyung,False,1994 | Jang Sun-woo | Hwa-Om-Kyung | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1995,Yu Hyun-mok,"Mommy, Star, and Sea Anemone",False,"1995 | Yu Hyun-mok | Mommy, Star, and Sea Anemone | ",https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1996,Park Chul-soo,Farewell My Darling,False,1996 | Park Chul-soo | Farewell My Darling | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1997,N/a,,False,1997 | — N/a,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1998,Hur Jin-ho,Christmas in August,False,1998 | Hur Jin-ho | Christmas in August | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
1999,Lee Kwang-mo,Spring in My Hometown,False,1999 | Lee Kwang-mo | Spring in My Hometown | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2000,Lee Chang-dong,Peppermint Candy,False,2000 | Lee Chang-dong | Peppermint Candy | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2001,Yim Soon-rye,Waikiki Brothers,False,2001 | Yim Soon-rye | Waikiki Brothers | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2002,Park Chan-wook,Sympathy for Mr. Vengeance,False,2002 | Park Chan-wook | Sympathy for Mr. Vengeance | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2003,Bong Joon-ho,Memories of Murder,False,2003 | Bong Joon-ho | Memories of Murder | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2004,Park Chan-wook,Oldboy,False,2004 | Park Chan-wook | Oldboy | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2005,Lee Myung-se,Duelist,False,2005 | Lee Myung-se | Duelist | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2006,Yoo Ha,A Dirty Carnival,False,2006 | Yoo Ha | A Dirty Carnival | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2007,Lee Myung-se,M,False,2007 | Lee Myung-se | M | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2008,Kim Ki-duk,Dream,False,2008 | Kim Ki-duk | Dream | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2009,Kim Yong-hwa,Take Off,False,2009 | Kim Yong-hwa | Take Off | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2010,Jang Hoon,Secret Reunion,False,2010 | Jang Hoon | Secret Reunion | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2011,Jang Hoon,The Front Line,False,2011 | Jang Hoon | The Front Line | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2012,Kim Ki-duk,Pietà,False,2012 | Kim Ki-duk | Pietà | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2013,Bong Joon-ho,Snowpiercer,False,2013 | Bong Joon-ho | Snowpiercer | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2014,Zhang Lu,Gyeongju,False,2014 | Zhang Lu | Gyeongju | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2015,Ryoo Seung-wan,Veteran,False,2015 | Ryoo Seung-wan | Veteran | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2016,Lee Kyoung-mi,The Truth Beneath,False,2016 | Lee Kyoung-mi | The Truth Beneath | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2017,Hwang Dong-hyuk,The Fortress,False,2017 | Hwang Dong-hyuk | The Fortress | [ 3 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2018,Yoon Jong-bin,The Spy Gone North,False,2018 | Yoon Jong-bin | The Spy Gone North | [ 4 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2019,Bong Joon-ho,Parasite,False,2019 | Bong Joon-ho | Parasite | [ 5 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2020,Lim Dae-hyung,Moonlit Winter,False,2020 | Lim Dae-hyung | Moonlit Winter | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2021,Ryoo Seung-wan,Escape from Mogadishu,False,2021 | Ryoo Seung-wan | Escape from Mogadishu | [ 6 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2022,Park Chan-wook,Decision to Leave,False,2022 | Park Chan-wook | Decision to Leave | [ 7 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2023,Ka Sung-moon,Dream Palace,False,2023 | Ka Sung-moon | Dream Palace | [ 8 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2024,Kim Sung-su,12.12: The Day,False,2024 | Kim Sung-su | 12.12: The Day | [ 9 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2025,Jang Byung-ki,When This Summer is Over,False,2025 | Jang Byung-ki | When This Summer is Over | [ 10 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
