year,film,person,is_winner,raw_text,source_url
,1980,Son of Man,False,1 | 1980 | Son of Man | Yu Hyun-mok | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1981,Three Times Each for Short and Long Ways,False,2 | 1981 | Three Times Each for Short and Long Ways | Kim Ho-sun | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1983,People of Kkobang Neighborhood,False,3 | 1983 | People of Kkobang Neighborhood | Bae Chang-ho | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1984,Whale Hunting,False,4 | 1984 | Whale Hunting | Bae Chang-ho | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1985,Deep Blue Night,False,5 | 1985 | Deep Blue Night | Bae Chang-ho | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1986,Mulberry,False,6 | 1986 | Mulberry | Lee Doo-yong | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1987,Ticket,False,7 | 1987 | Ticket | Im Kwon-taek | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1988,"Now, We're Going to Geneva",False,"8 | 1988 | Now, We're Going to Geneva | Song Yeong-su | ",https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1989,Rainbow Over Seoul,False,9 | 1989 | Rainbow Over Seoul | Kim Ho-sun | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1990,Road to Cheongsong Prison,False,10 | 1990 | Road to Cheongsong Prison | Lee Doo-yong | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1991,Black Republic,False,11 | 1991 | Black Republic | Park Kwang-su | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1992,The Road to Racetrack,False,12 | 1992 | The Road to Racetrack | Jang Sun-woo | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1993,Sopyonje,False,13 | 1993 | Sopyonje | Im Kwon-taek | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
