award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Taipei Film Awards,2005,,Grand Prize,Marina Razbezhkina,Harvest Time,,Winner,Chinese,https://en.wikipedia.org/wiki/Taipei_Film_Festival
Taipei Film Awards,2006,,Grand Prize,Antony Cordier [fr],Cold Showers,,Winner,Chinese,https://en.wikipedia.org/wiki/Taipei_Film_Festival
Taipei Film Awards,2007,,Grand Prize,Sven Taddicken [de],Emma's Bliss,,Winner,Chinese,https://en.wikipedia.org/wiki/Taipei_Film_Festival
Taipei Film Awards,2008,,Grand Prize,Anaïs Barbeau-Lavalette,Le Ring,,Winner,Chinese,https://en.wikipedia.org/wiki/Taipei_Film_Festival
Taipei Film Awards,2009,,Grand Prize,Steve Jacobs,Disgrace,,Winner,Chinese,https://en.wikipedia.org/wiki/Taipei_Film_Festival
Taipei Film Awards,2010,,Grand Prize,Shawkat Amin Korki,Kick Off,,Winner,Chinese,https://en.wikipedia.org/wiki/Taipei_Film_Festival
Taipei Film Awards,2011,,Grand Prize,Stéphane Lafleur,Familiar Grounds,,Winner,Chinese,https://en.wikipedia.org/wiki/Taipei_Film_Festival
Taipei Film Awards,2012,,Grand Prize,Ruslan Pak,Hanaan,,Winner,Chinese,https://en.wikipedia.org/wiki/Taipei_Film_Festival
Taipei Film Awards,2013,,Grand Prize,Tom Shoval,Youth,,Winner,Chinese,https://en.wikipedia.org/wiki/Taipei_Film_Festival
Taipei Film Awards,2014,,Grand Prize,Lee Yong-seung,10 Minutes,,Winner,Chinese,https://en.wikipedia.org/wiki/Taipei_Film_Festival
Taipei Film Awards,2015,,Grand Prize,Nadav Lapid,The Kindergarten Teacher,,Winner,Chinese,https://en.wikipedia.org/wiki/Taipei_Film_Festival
Taipei Film Awards,2016,,Grand Prize,Uisenma Borchu,Don't Look at Me That Way,,Winner,Chinese,https://en.wikipedia.org/wiki/Taipei_Film_Festival
Taipei Film Awards,2017,,Grand Prize,John Trengove,The Wound,,Winner,Chinese,https://en.wikipedia.org/wiki/Taipei_Film_Festival
