award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Golden Rooster Awards,1981,,Best Picture,Evening Rain,1981,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1981,,Best Picture,Xie Jin,天云山传奇,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1982,,Best Picture,Neighbor,1982,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1983,,Best Picture,Rickshaw Boy,1983,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1983,,Best Picture,Wang Qimin,人到中年,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1984,,Best Picture,Voice from Hometown,1984,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1985,,Best Picture,The Girl in Red,1985,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1986,,Best Picture,Wild Mountains,1986,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1987,,Best Picture,Dr. Sun Yat-sen,1987,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1987,,Best Picture,Xie Jin,芙蓉镇,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1988,,Best Picture,Red Sorghum,1988,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1988,,Best Picture,Wu Tianming,老井,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1989,,Best Picture,Not awarded,1989,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1990,,Best Picture,Founding Ceremony,1990,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1991,,Best Picture,Jiao Yulu,1991,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1992,,Best Picture,Decisive Engagement: The Liaoxi-Shenyang Campaign,1992,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1993,,Best Picture,The Story of Qiu Ju,1993,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1994,,Best Picture,Country Teachers,1994,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1995,,Best Picture,The Accused Uncle Shangang,1995,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1996,,Best Picture,Red Cherry,1996,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1997,,Best Picture,The Opium War,1997,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1998,,Best Picture,Live in Peace,1998,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,1999,,Best Picture,Postmen in the Mountains,1999,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,2000,,Best Picture,The Road Home,2000,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,2000,,Best Picture,Chen Guoxing,横空出世,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
Golden Rooster Awards,2000,,Best Picture,Yu Benzheng,生死抉择,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Rooster_Award_for_Best_Picture
