award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Hundred Flowers Awards,2018,,Best Picture,,34th,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,2016,,Best Picture,,33rd,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,2014,,Best Picture,,32nd,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,2012,,Best Picture,,31st,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,2010,,Best Picture,,30th,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,2008,,Best Picture,,29th,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,2006,,Best Picture,,28th,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,2004,,Best Picture,,27th,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,2002,,Best Picture,,25th,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,2000,,Best Picture,,24th,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1980,,Best Picture,,1980,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1981,,Best Picture,,1981,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1982,,Best Picture,,1982,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1983,,Best Picture,,1983,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1984,,Best Picture,,1984,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1985,,Best Picture,,1985,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1986,,Best Picture,,1986,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1987,,Best Picture,,1987,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1988,,Best Picture,,1988,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1989,,Best Picture,,1989,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1990,,Best Picture,,1990,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1991,,Best Picture,,1991,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1992,,Best Picture,,1992,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1993,,Best Picture,,1993,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1994,,Best Picture,,1994,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1995,,Best Picture,,1995,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
Hundred Flowers Awards,1996,,Best Picture,,1996,,Winner,Chinese,https://en.wikipedia.org/wiki/Hundred_Flowers_Award_for_Best_Picture
