award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Hong Kong Film Awards,1982,,Best Film,Wong Kai-chuen,Father and Son,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1983,,Best Film,Xia Meng,Boat People,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1983,,Best Film,Pearl City Films,Johnny Mak Tong-hung,,Nominee,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1983,,Best Film,Golden Harvest,Raymond Chow,,Nominee,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1983,,Best Film,Century Motion Picture,Dennis Yu Jeffrey Lau,,Nominee,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1983,,Best Film,Century Motion Picture,Jeffrey Lau Dennis Yu,,Nominee,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1984,,Best Film,,Ah Ying,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1985,,Best Film,,Homecoming,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1986,,Best Film,,Police Story,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1987,,Best Film,,A Better Tomorrow,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1988,,Best Film,,An Autumn's Tale,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1988,,Best Film,,Ann Hui,,Nominee,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1989,,Best Film,,Rouge,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1990,,Best Film,,Beyond the Sunset,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1991,,Best Film,Wong Kar-wai,Days of Being Wild,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1991,,Best Film,,Ann Hui,,Nominee,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1992,,Best Film,,To Be Number One,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1993,,Best Film,,Cageman,,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
Hong Kong Film Awards,1994,,Best Film,,"C'est la vie, mon chéri",,Winner,Chinese,https://en.wikipedia.org/wiki/Hong_Kong_Film_Award_for_Best_Film
