award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Blue Ribbon Awards,1950,1,Best Film,,Until We Meet Again,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1951,2,Best Film,,Repast,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1952,3,Best Film,,Lightning,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1953,4,Best Film,,An Inlet of Muddy Water,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1954,5,Best Film,,Twenty-Four Eyes,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1955,6,Best Film,,Floating Clouds,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1956,7,Best Film,,Mahiru no ankoku,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1957,8,Best Film,,The Rice People,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1958,9,Best Film,,The Hidden Fortress,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1959,10,Best Film,,Kiku to Isamu,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1960,11,Best Film,,Her Brother,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1961,12,Best Film,,Pigs and Battleships,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1962,13,Best Film,,Foundry Town,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1963,14,Best Film,,The Insect Woman,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1964,15,Best Film,,The Woman in the Dunes,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1965,16,Best Film,,Red Beard,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
Blue Ribbon Awards,1966,17,Best Film,,Shiroi Kyotō,,Winner,Japanese,https://en.wikipedia.org/wiki/Blue_Ribbon_Award_for_Best_Film
