award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Hochi Film Awards,1976,1,Best Director,-,,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1976,1,Best Picture,,The Inugami Family (Kon Ichikawa),,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1976,1,Best Actor,Tatsuya Fuji (In the Realm of the Senses),,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1976,1,Best Actress,"Kumiko Akiyoshi (Banka, Saraba natsuno hikariyo, Brother and Sister)",,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1976,1,Best Supporting Actor,"Hideji Ōtaki (Brother and Sister, Kimi yo funnu no kawa wo watare, Fumō Chitai)",,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1976,1,Best Supporting Actress,Kiwako Taichi (Tora-san's Sunrise and Sunset),,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1977,2,Best Director,-,,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1977,2,Best Picture,,The Yellow Handkerchief (Yoji Yamada),,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1977,2,Best Actor,"Ken Takakura (Mount Hakkoda, The Yellow Handkerchief)",,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1977,2,Best Actress,Shima Iwashita (Ballad of Orin),,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1977,2,Best Supporting Actor,"Katō Takeshi (The Devil's Ballad, Gokumon-to)",,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1977,2,Best Supporting Actress,Ayumi Ishida (The Gate of Youth Part 2),,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1978,3,Best Director,-,,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1978,3,Best Picture,,Third Base (Yōichi Higashi),,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1978,3,Best Actor,Ken Ogata (The Demon),,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1978,3,Best Actress,Meiko Kaji (The Love Suicides at Sonezaki),,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1978,3,Best Supporting Actor,"Tsunehiko Watase (The Incident, Kōtei no inai hachigatsu, The Fall of Ako Castle)",,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1978,3,Best Supporting Actress,"Shinobu Otake (The Incident, Seishoku no ishibumi)",,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1979,4,Best Director,-,,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1979,4,Best Picture,,The Man Who Stole the Sun (Kazuhiko Hasegawa),,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1979,4,Best Actor,Kenji Sawada (The Man Who Stole the Sun),,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1979,4,Best Actress,"Junko Miyashita (The Woman with Red Hair, Wet Weekend)",,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1979,4,Best Supporting Actor,Rentarō Mikuni (Vengeance Is Mine),,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1979,4,Best Supporting Actress,"Mayumi Ogawa (Vengeance Is Mine, The Three Undelivered Letters)",,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1980,5,Best Director,-,,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1980,5,Best Picture,,Kagemusha (Akira Kurosawa),,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1980,5,Best Actor,Masato Furuoya (Disciples of Hippocrates),,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1980,5,Best Actress,"Chieko Baisho (A Distant Cry from Spring, Otoko wa Tsurai yo: Series)",,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1980,5,Best Supporting Actor,Tsutomu Yamazaki (Kagemusha),,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1980,5,Best Supporting Actress,Yoko Aki (Shiki Natsuko),,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1981,6,Best Director,-,,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1981,6,Best Picture,,Enrai (Kichitaro Negishi),,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1981,6,Best Actor,Toshiyuki Nagashima (Enrai),,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1981,6,Best Actress,"Keiko Matsuzaka (The Gate of Youth, Tora-san's Love in Osaka)",,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1981,6,Best Supporting Actor,"Katsuo Nakamura (Kagero-za, Buriki no kunsho, Love Letter, 仕事人梅安)",,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
Hochi Film Awards,1981,6,Best Supporting Actress,Yūko Tanaka (Edo Porn),,,Winner,Japanese,https://en.wikipedia.org/wiki/Hochi_Film_Awards
