award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Japan Academy Film Prize,1978,1,Best Film,Yoji Yamada,The Yellow Handkerchief,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1979,2,Best Film,Yoshitarō Nomura,The Incident,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1980,3,Best Film,Shōhei Imamura,Vengeance Is Mine,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1981,4,Best Film,Seijun Suzuki,Zigeunerweisen,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1982,5,Best Film,Yasuo Furuhata,Station,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1983,6,Best Film,Kinji Fukasaku,Fall Guy,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1984,7,Best Film,Shōhei Imamura,The Ballad of Narayama,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1985,8,Best Film,Juzo Itami,The Funeral,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1986,9,Best Film,Shunya Itō,Gray Sunset,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1987,10,Best Film,Kinji Fukasaku,House on Fire,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1988,11,Best Film,Juzo Itami,A Taxing Woman,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1989,12,Best Film,Junya Sato,The Silk Road,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1990,13,Best Film,Shōhei Imamura,Black Rain,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1991,14,Best Film,Masahiro Shinoda,Childhood Days,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1992,15,Best Film,Yoji Yamada,My Sons,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1993,16,Best Film,Masayuki Suo,"Sumo Do, Sumo Don't",,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1994,17,Best Film,Yoji Yamada,A Class to Remember,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1995,18,Best Film,Kinji Fukasaku,Crest of Betrayal,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1996,19,Best Film,Kaneto Shindo,A Last Note,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1997,20,Best Film,Masayuki Suo,Shall We Dance?,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1998,21,Best Film,Hayao Miyazaki,Princess Mononoke,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,1999,22,Best Film,Hideyuki Hirayama,Begging for Love,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,2000,23,Best Film,Yasuo Furuhata,Poppoya,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
Japan Academy Film Prize,2001,24,Best Film,Takashi Koizumi,After the Rain,,Winner,Japanese,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize_for_Picture_of_the_Year
