award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Mainichi Film Awards,1946,1946,Best Film,,Teinosuke Kinugasa,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1947,1947,Best Film,,Heinosuke Gosho,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1948,1948,Best Film,,Akira Kurosawa,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1949,1949,Best Film,,Yasujirō Ozu,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1950,1950,Best Film,,Tadashi Imai,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1951,1951,Best Film,,Mikio Naruse,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1952,1952,Best Film,,Akira Kurosawa,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1953,1953,Best Film,,Tadashi Imai,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1954,1954,Best Film,,Keisuke Kinoshita,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1955,1955,Best Film,,Mikio Naruse,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1956,1956,Best Film,,Tadashi Imai,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1957,1957,Best Film,,Tadashi Imai,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1958,1958,Best Film,,Keisuke Kinoshita,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1959,1959,Best Film,,Tadashi Imai,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1960,1960,Best Film,,Kon Ichikawa,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1961,1961,Best Film,,Masaki Kobayashi,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
Mainichi Film Awards,1962,1962,Best Film,,Masaki Kobayashi,,Winner,Japanese,https://en.wikipedia.org/wiki/Mainichi_Film_Award_for_Best_Film
