award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Baeksang Arts Awards,1965,,Best Actor,Deaf Sam-yong,Kim Jin-kyu,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1966,,Best Actor,The Sea Village,Shin Young-kyun,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1967,,Best Actor,The Sun Rises Again,Kim Jin-kyu,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1968,,Best Actor,Legend of Ssarigol,Choi Nam-hyun,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1969,,Best Actor,Prince Daewon,Shin Young-kyun,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1970,,Best Actor,The Old Jar Craftsman,Hwang Hae,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1971,,Best Actor,Please Turn Off the Light,Choi Moo-ryong,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1972,,Best Actor,Bun-rye's Story,Heo Jang-kang,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1973,,Best Actor,Insect Woman,Namkoong Won,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1974,,Best Actor,"Me, Myself, and I",Hah Myung-joong,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1975,,Best Actor,A Story of Crazy Painter: Gwanghwasa,Kim Jin-kyu,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1975,,Best Actor,망나니,The Executioner,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1976,,Best Actor,Last Embrace,Kim Hee-ra,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1977,,Best Actor,Concentration of Attention,Lee Soon-jae,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1978,,Best Actor,Winter Woman,Shin Seong-il,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1978,,Best Actor,부초,Floating Plants,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1979,,Best Actor,The Swamp of Exile,Park Geun-hyung,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1980,,Best Actor,Wild Ginseng,Lee Dae-keun,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1981,,Best Actor,The Man Who Dies Every Day,Sin Yeong-il,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1982,,Best Actor,Mandala,Ahn Sung-ki,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1983,,Best Actor,안개마을,Village in the Mist,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1984,,Best Actor,적도의 꽃,The Flower at the Equator,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1985,,Best Actor,깊고 푸른밤,Deep Blue Night,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1986,,Best Actor,Fire Women Village,Lee Young-ha,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1987,,Best Actor,Lethe's Love Song,Shin Seong-il,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1988,,Best Actor,You My Rose Mellow,Lee Deok-hwa,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1989,,Best Actor,The Age of Success,Ahn Sung-ki,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1990,,Best Actor,The Lovers of Woomook-baemi,Park Joong-hoon,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
Baeksang Arts Awards,1991,,Best Actor,Who Saw The Dragon's Toenails,Ahn Sung-ki,,Winner,Korean,https://en.wikipedia.org/wiki/Baeksang_Arts_Award_for_Best_Actor_–_Film
