award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Blue Dragon Film Awards,1963,,Best Actor,Kinship,Kim Seung-ho,,Winner,Korean,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
Blue Dragon Film Awards,1964,,Best Actor,Extra Human Being,Kim Jin-kyu,,Winner,Korean,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
Blue Dragon Film Awards,1965,,Best Actor,The North and South,Choi Moo-ryong,,Winner,Korean,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
Blue Dragon Film Awards,1966,,Best Actor,Market,Shin Young-kyun,,Winner,Korean,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
Blue Dragon Film Awards,1967,,Best Actor,The Fishing Boats are Full,Kim Seung-ho,,Winner,Korean,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
Blue Dragon Film Awards,1969,,Best Actor,Prince Daewon,Shin Young-kyun,,Winner,Korean,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
Blue Dragon Film Awards,1970,,Best Actor,The Revengeful Man,Park No-sik,,Winner,Korean,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
Blue Dragon Film Awards,1971,,Best Actor,A Facedown in 30 Years,Choi Moo-ryong,,Winner,Korean,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
Blue Dragon Film Awards,1972,,Best Actor,A Cattle Seller,Park No-sik,,Winner,Korean,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
Blue Dragon Film Awards,1973,,Best Actor,The Three-Day Reign,Shin Young-kyun,,Winner,Korean,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
Blue Dragon Film Awards,1990,,Best Actor,North Korean Partisans in South Korea,Ahn Sung-ki,,Winner,Korean,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
Blue Dragon Film Awards,1990,,Best Actor,장군의 아들,General's Son,,Nominee,Korean,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
Blue Dragon Film Awards,1990,,Best Actor,그들도 우리처럼,Black Republic,,Nominee,Korean,https://en.wikipedia.org/wiki/Blue_Dragon_Film_Award_for_Best_Actor
