award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Chunsa Film Art Awards,1990,,Best Actor,North Korean Partisan in South Korea,Ahn Sung-ki,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,1991,,Best Actor,Fly High Run Far,Lee Deok-hwa,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,1992,,Best Actor,Road to the Racetrack,Moon Sung-keun,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,1993,,Best Actor,I Will Survive,Lee Deok-hwa,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,1994,,Best Actor,Manmubang,Jang Dong-hwi,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,1995,,Best Actor,A Single Spark,Hong Kyung-in,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,1999,,Best Actor,A Promise,Park Shin-yang,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,2000,,Best Actor,Peppermint Candy,Sul Kyung-gu,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,2001,,Best Actor,Friend,Yu Oh-seong,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,2002,,Best Actor,Oasis,Sul Kyung-gu,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,2003,,Best Actor,Memories of Murder,Song Kang-ho,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,2004,,Best Actor,Oldboy,Choi Min-sik,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,2005,,Best Actor,A Bittersweet Life,Lee Byung-hun,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,2006,,Best Actor,King and the Clown,Kam Woo-sung,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,2007,,Best Actor,My Son,Cha Seung-won,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,2008,,Best Actor,The Chaser,Kim Yoon-seok Ha Jung-woo,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,2009,,Best Actor,Thirst,Song Kang-ho,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,2010,,Best Actor,No Mercy,Sul Kyung-gu,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
Chunsa Film Art Awards,2014,,Best Actor,The Attorney,Song Kang-ho,,Nominee,Korean,https://en.wikipedia.org/wiki/Chunsa_Film_Art_Awards
