award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Korean Association of Film Critics Awards,1980,,Best Film,Yu Hyun-mok,Son of Man,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1981,,Best Film,Kim Ho-sun,Three Times Each for Short and Long Ways,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1983,,Best Film,Bae Chang-ho,People of Kkobang Neighborhood,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1984,,Best Film,Bae Chang-ho,Whale Hunting,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1985,,Best Film,Bae Chang-ho,Deep Blue Night,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1986,,Best Film,Lee Doo-yong,Mulberry,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1987,,Best Film,Im Kwon-taek,Ticket,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1988,,Best Film,Song Yeong-su,"Now, We're Going to Geneva",,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1989,,Best Film,Kim Ho-sun,Rainbow Over Seoul,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1990,,Best Film,Lee Doo-yong,Road to Cheongsong Prison,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1991,,Best Film,Park Kwang-su,Black Republic,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1992,,Best Film,Jang Sun-woo,The Road to Racetrack,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1993,,Best Film,Im Kwon-taek,Sopyonje,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1994,,Best Film,Jang Sun-woo,Hwa-Om-Kyung,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1995,,Best Film,Park Jong-won,The Eternal Empire,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1996,,Best Film,Im Kwon-taek,Festival,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1997,,Best Film,Lee Chang-dong,Green Fish,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1998,,Best Film,Hur Jin-ho,Christmas in August,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,1999,,Best Film,Lee Kwang-mo,Spring in My Hometown,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,2000,,Best Film,Lee Chang-dong,Peppermint Candy,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,2001,,Best Film,Hur Jin-ho,One Fine Spring Day,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,2002,,Best Film,Lee Chang-dong,Oasis,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,2003,,Best Film,Bong Joon-ho,Memories of Murder,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,2004,,Best Film,Park Chan-wook,Oldboy,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,2005,,Best Film,Lee Myung-se,Duelist,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,2006,,Best Film,Kim Tae-yong,Family Ties,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
Korean Association of Film Critics Awards,2007,,Best Film,Han Jae-rim,The Show Must Go On,,Nominee,Korean,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
