award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Golden Horse Awards,1962,,Best Feature Film,星星月亮太陽,"Sun, Moon and Star",,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1962,,Best Feature Film,Hao Wang,一萬四千個證人,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1962,,Best Feature Film,Li Han-hsiang,楊貴妃,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1962,,Best Feature Film,Yao Chung,宜室宜家,,Nominee,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1963,,Best Feature Film,梁山伯與祝英台,The Love Eterne,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1965,,Best Feature Film,養鴨人家,Beautiful Duckling,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1966,,Best Feature Film,西施,"Hsi-shih, Beauty of Beauties",,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1967,,Best Feature Film,我女若蘭,Orchids and My Love,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1968,,Best Feature Film,路,The Road,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1969,,Best Feature Film,小鎮春回,Spring in a Small Town,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1970,,Best Feature Film,家在臺北,Home Sweet Home,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1971,,Best Feature Film,緹縈,The Story of Ti-Ying,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1972,,Best Feature Film,秋决,Execution in Autumn,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1973,,Best Feature Film,忍,The Escape,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1975,,Best Feature Film,吾土吾民,Land of the Undaunted,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1976,,Best Feature Film,梅花,Victory,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1977,,Best Feature Film,筧橋英烈傳,Heroes of the Eastern Skies,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1978,,Best Feature Film,汪洋中的一條船,He Never Gives Up,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1979,,Best Feature Film,小城故事,The Story of a Small Town,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1980,,Best Feature Film,早安臺北,"Good Morning, Taipei",,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1981,,Best Feature Film,假如我是真的,If I Were for Real,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1982,,Best Feature Film,辛亥雙十,The Battle for the Republic of China,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1983,,Best Feature Film,小畢的故事,Growing Up,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1984,,Best Feature Film,老莫的第二個春天,Old Mao's Second Spring,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1985,,Best Feature Film,我這樣過了一生,"Kuei-Mei, a Woman",,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
Golden Horse Awards,1986,,Best Feature Film,恐怖份子,Terrorizers,,Winner,Chinese,https://en.wikipedia.org/wiki/Golden_Horse_Award_for_Best_Feature_Film
