year,film,person,is_winner,raw_text,source_url
1947,Domingo Soler,La Barraca,False,1947 (1st) | Domingo Soler ‡ | La Barraca | [ 8 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1947,Las Abandonadas,,False,Pedro Armendáriz | Las Abandonadas,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1947,La Selva de Fuego,,False,Arturo de Córdova | La Selva de Fuego,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1947,David Silva,Campeón Sin Corona,False,1947 (2nd) | David Silva ‡ | Campeón Sin Corona | [ 9 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1947,Enamorada,,False,Pedro Armendáriz | Enamorada,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1947,Cantaclaro,,False,Antonio Badú | Cantaclaro,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1948,Pedro Armendáriz,La Perla,False,1948 (3rd) | Pedro Armendáriz ‡ | La Perla | [ 10 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1948,Cuando Lloran los Valientes,,False,Pedro Infante | Cuando Lloran los Valientes,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1948,El Secreto de Juan Palomo,,False,Julián Soler | El Secreto de Juan Palomo,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1949,Carlos López Moctezuma,Río Escondido,False,1949 (4th) | Carlos López Moctezuma ‡ | Río Escondido | [ 11 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1949,Los Tres Huastecos,,False,Pedro Infante | Los Tres Huastecos,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1949,¡Esquina Bajan!,,False,David Silva | ¡Esquina Bajan!,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1950,Roberto Cañedo,Pueblerina,False,1950 (5th) | Roberto Cañedo ‡ | Pueblerina | [ 12 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1950,Medianoche,,False,Arturo de Córdova | Medianoche,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1950,La Oveja Negra,,False,Pedro Infante | La Oveja Negra,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1951,Fernando Soler,No Desearás a La Mujer de Tu Hijo,False,1951 (6th) | Fernando Soler ‡ | No Desearás a La Mujer de Tu Hijo | [ 13 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
1951,Rosauro Castro,,False,Pedro Armendáriz | Rosauro Castro,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actor
