year,film,person,is_winner,raw_text,source_url
1947,Dolores del Río,Las Abandonadas,False,1947 (1st) | Dolores del Río ‡ | Las Abandonadas | [ 8 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
1947,La Barraca,,False,Anita Blanch | La Barraca,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
1947,El Monje Blanco,,False,María Félix | El Monje Blanco,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
1947,Flor de Durazno,,False,Esther Fernández | Flor de Durazno,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
1947,María Félix,Enamorada,False,1947 (2nd) | María Félix ‡ | Enamorada | [ 9 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
1947,La Otra,,False,Dolores del Río | La Otra,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
1947,Pepita Jiménez,,False,Rosita Díaz Gimeno | Pepita Jiménez,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
1948,Blanca Estela Pavón,Cuando Lloran los Valientes,False,1948 (3rd) | Blanca Estela Pavón ‡ | Cuando Lloran los Valientes | [ 10 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
1948,El Yugo,,False,María Teresa Esquella | El Yugo,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
1948,La Perla,,False,María Elena Marqués | La Perla,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
1949,María Félix,Río Escondido,False,1949 (4th) | María Félix ‡ | Río Escondido | [ 11 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
1949,Si Adelita se fuera con otro,,False,Gloria Marín | Si Adelita se fuera con otro,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
1949,Ustedes los Ricos,,False,Blanca Estela Pavón | Ustedes los Ricos,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
1950,Marga López,Salón México,False,1950 (5th) | Marga López ‡ | Salón México | [ 12 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
1950,El Dolor de los Hijos,,False,Rosario Granados | El Dolor de los Hijos,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Actress
