year,film,person,is_winner,raw_text,source_url
2019,Benny Emmanuel,De la Infancia,True,2019 (61st) | Benny Emmanuel ‡ | De la Infancia | [ 4 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2019,The Chambermaid,,False,Agustina Quinci | The Chambermaid,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2019,Alan Uribe,,False,Alan Uribe,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2019,Museum,,False,Bernardo Velasco | Museum,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2019,Roma,,False,Nancy García | Roma,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2020,Juan Daniel García Treviño,I'm No Longer Here,True,2020 (62nd) | Juan Daniel García Treviño ‡ | I'm No Longer Here | [ 5 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2020,Asfixia,,False,Azul Giselle Magaña Ruiz | Asfixia,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2020,I'm No Longer Here,,False,Coral Puente | I'm No Longer Here,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2020,Asfixia,,False,Johanna Heidi Fregoso | Asfixia,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2020,Huachicolero,,False,Eduardo Banda | Huachicolero,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2021,Indira Rubie Andrewin,Tragic Jungle,True,2021 (63rd) | Indira Rubie Andrewin ‡ | Tragic Jungle | [ 6 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2021,Identifying Features,,False,Ana Laura Rodríguez | Identifying Features,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2021,Juan Jesús Varela,,False,Juan Jesús Varela,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2021,Los Lobos,,False,Leonardo Nahim Nájar Márquez | Los Lobos,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2021,Maximiliano Nájar Márquez,,False,Maximiliano Nájar Márquez,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2022,Adrián Ross,Summer White,True,2022 (64th) | Adrián Ross ‡ | Summer White | [ 7 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
2022,Prayers for the Stolen,,False,Alejandra Camacho | Prayers for the Stolen,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Breakthrough_Performance
