year,film,person,is_winner,raw_text,source_url
1947,Roberto Gavaldón,La Barraca,False,1947 (1st) | Roberto Gavaldón ‡ | La Barraca | [ 6 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1947,Crepúsculo,,False,Julio Bracho | Crepúsculo,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1947,Las Abandonadas,,False,"Emilio ""El Indio"" Fernández | Las Abandonadas",https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1947,"Emilio ""El Indio"" Fernández",Enamorada,False,"1947 (2nd) | Emilio ""El Indio"" Fernández ‡ | Enamorada | [ 7 ]",https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1947,Cantaclaro,,False,Julio Bracho | Cantaclaro,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1947,La Otra,,False,Roberto Gavaldón | La Otra,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1948,"Emilio ""El Indio"" Fernández",La Perla,False,"1948 (3rd) | Emilio ""El Indio"" Fernández ‡ | La Perla | [ 8 ]",https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1948,El Buen Mozo,,False,Antonio Momplet | El Buen Mozo,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1948,Soledad,,False,Miguel Zacarías | Soledad,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1949,"Emilio ""El Indio"" Fernández",Río Escondido,False,"1949 (4th) | Emilio ""El Indio"" Fernández ‡ | Río Escondido | [ 9 ]",https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1949,Rosenda,,False,Julio Bracho | Rosenda,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1949,Los Tres Huastecos,,False,Ismael Rodríguez | Los Tres Huastecos,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1950,Alejandro Galindo,Una Familia de Tantas,False,1950 (5th) | Alejandro Galindo ‡ | Una Familia de Tantas | [ 10 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1950,Pueblerina,,False,"Emilio ""El Indio"" Fernández | Pueblerina",https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1950,El Dolor de los Hijos,,False,Miguel Zacarías | El Dolor de los Hijos,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1951,Luis Buñuel,Los Olvidados,False,1951 (6th) | Luis Buñuel ‡ | Los Olvidados | [ 11 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1951,Otra Primavera,,False,Alfredo B. Crevenna | Otra Primavera,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1951,La Casa Chica,,False,Roberto Gavaldón | La Casa Chica,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1952,Roberto Gavaldón,En La Palma de Tu Mano,False,1952 (7th) | Roberto Gavaldón ‡ | En La Palma de Tu Mano | [ 12 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1952,Paraíso Robado,,False,Julio Bracho | Paraíso Robado,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1952,Doña Perfecta,,False,Alejandro Galindo | Doña Perfecta,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1953,Luis Buñuel,Subida al Cielo,False,1953 (8th) [ a ] | Luis Buñuel | Subida al Cielo | [ 13 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1953,Mi Esposa y la Otra,,False,Alfredo B. Crevenna | Mi Esposa y la Otra,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1953,El Rebozo de Soledad,,False,Roberto Gavaldón | El Rebozo de Soledad,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1954,Roberto Gavaldón,El Niño y la Niebla,False,1954 (9th) | Roberto Gavaldón ‡ | El Niño y la Niebla | [ 14 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1954,Un Divorcio,,False,Emilio Gómez Muriel | Un Divorcio,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1954,Pepe El Toro,,False,Ismael Rodríguez | Pepe El Toro,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1955,Alejandro Galindo,Los Fernández de Peralvillo,False,1955 (10th) | Alejandro Galindo ‡ | Los Fernández de Peralvillo | [ 15 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1955,Orquídeas Para Mi Esposa,,False,Alfredo B. Crevenna | Orquídeas Para Mi Esposa,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1955,Sombra Verde,,False,Roberto Gavaldón | Sombra Verde,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1956,Luis Buñuel,Robinson Crusoe,False,1956 (11th) | Luis Buñuel ‡ | Robinson Crusoe | [ 16 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1956,Ensayo de un Crimen,,False,Luis Buñuel | Ensayo de un Crimen,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1956,Una mujer en la calle,,False,Alfredo B. Crevenna | Una mujer en la calle,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1957,Alfonso Corona Blake,El Camino de la Vida,False,1957 (12th) | Alfonso Corona Blake ‡ | El Camino de la Vida | [ 17 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1957,La Escondida,,False,Roberto Gavaldón | La Escondida,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1957,¿Con Quién Andan Nuestras Hijas?,,False,Emilio Gómez Muriel | ¿Con Quién Andan Nuestras Hijas?,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1958,Tito Davison,La Dulce Enemiga,False,1958 (13th) | Tito Davison ‡ | La Dulce Enemiga | [ 18 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1958,"Feliz Año, Amor Mío",,False,"Tulio Demicheli | Feliz Año, Amor Mío",https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1958,La Culta Dama,,False,Rogelio A. González | La Culta Dama,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1959,Not awarded,,True,1959 — 1971 | Not awarded | [ 1 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1972,Jorge Fons,Nosotros,False,"1972 (14th) | Jorge Fons ‡ | ""Nosotros"" (episode from Tú, Yo, Nosotros ) | [ 19 ]",https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1972,El Águila Descalza,,False,Alfonso Arau | El Águila Descalza,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1972,La Puerta del Paraíso,,False,Salomón Láiter | La Puerta del Paraíso,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1973,Luis Alcoriza,Mecánica Nacional,False,1973 (15th) | Luis Alcoriza ‡ | Mecánica Nacional | [ 20 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1973,"Reed, México Insurgente",,False,"Paul Leduc | Reed, México Insurgente",https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1973,El Castillo de la Pureza,,False,Arturo Ripstein | El Castillo de la Pureza,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1974,Gonzalo Martínez Ortega,El Principio,False,1974 (16th) | Gonzalo Martínez Ortega ‡ | El Principio | [ 21 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1974,Caridad,,False,"Jorge Fons | ""Caridad"" (episode from Fé, Esperanza y Caridad )",https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1974,El Cambio,,False,Alfredo Joskowicz | El Cambio,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1975,"Emilio ""El Indio"" Fernández",La Choca,False,"1975 (17th) | Emilio ""El Indio"" Fernández ‡ | La Choca | [ 22 ]",https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1975,Presagio,,False,Luis Alcoriza | Presagio,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1975,La Otra Virginidad,,False,Juan Manuel Torres | La Otra Virginidad,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1976,Miguel Littín,Actas de Marusia,False,1976 (18th) | Miguel Littín ‡ | Actas de Marusia | [ 23 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1976,Canoa,,False,Felipe Cazals | Canoa,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1976,De Todos Modos Juan Te Llamas,,False,Marcela Fernández Violante | De Todos Modos Juan Te Llamas,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1977,Jaime Humberto Hermosillo,La Pasión Según Berenice,False,1977 (19th) | Jaime Humberto Hermosillo ‡ | La Pasión Según Berenice | [ 24 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1977,Cuartelazo,,False,Alberto Isaac | Cuartelazo,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1977,Longitud de Guerra,,False,Gonzalo Martínez Ortega | Longitud de Guerra,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1978,Jaime Humberto Hermosillo,Naufragio,False,1978 (20th) | Jaime Humberto Hermosillo ‡ | Naufragio | [ 25 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1978,Los Pequeños Privilegios,,False,Julián Pastor | Los Pequeños Privilegios,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1978,En el Lugar Sin Limites,,False,Arturo Ripstein | En el Lugar Sin Limites,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1979,Arturo Ripstein,Cadena Perpetua,False,1979 (21st) | Arturo Ripstein ‡ | Cadena Perpetua | [ 26 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1979,Amor Libre,,False,Jaime Humberto Hermosillo | Amor Libre,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1979,El Recurso del Método,,False,Miguel Littín | El Recurso del Método,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1980,Felipe Cazals,El Año de la Peste,False,1980 (22nd) | Felipe Cazals ‡ | El Año de la Peste | [ 27 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1980,Fuego en el Mar,,False,Raúl Araiza | Fuego en el Mar,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1980,El Infierno de Todos Tan Temido,,False,Sergio Olhovich | El Infierno de Todos Tan Temido,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1981,Servando González,Las Grandes Aguas,False,1981 (23rd) | Servando González ‡ | Las Grandes Aguas | [ 28 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1981,Misterio,,False,Marcela Fernández Violante | Misterio,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1981,Morir de Madrugada,,False,Julián Pastor | Morir de Madrugada,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1982,Raúl Kamffer,¡Ora Si Tenemos Que Ganar!,False,1982 (24th) | Raúl Kamffer ‡ | ¡Ora Si Tenemos Que Ganar! | [ 29 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1982,Llámenme Mike,,False,Alfredo Gurrola | Llámenme Mike,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1982,Noche de Carnaval,,False,Mario Hernández | Noche de Carnaval,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1983,José Estrada,La Pachanga,False,1983 (25th) | José Estrada ‡ | La Pachanga | [ 30 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1983,Tiempo de Lobos,,False,Alberto Isaac | Tiempo de Lobos,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1983,Días de Combate,,False,Alfredo Gurrola | Días de Combate,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1984,Felipe Cazals,Bajo la Metralla,False,1984 (26th) | Felipe Cazals ‡ | Bajo la Metralla | [ 31 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1984,La Viuda Negra,,False,Arturo Ripstein | La Viuda Negra,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1984,El Diablo y la Dama,,False,Ariel Zúñiga | El Diablo y la Dama,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1985,Paul Leduc,Frida,False,1985 (27th) | Paul Leduc ‡ | Frida | [ 32 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1985,Vidas Errantes,,False,Juan Antonio de la Riva | Vidas Errantes,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1985,De Veras Me Atrapaste,,False,Gerardo Pardo | De Veras Me Atrapaste,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1986,Carlos Enrique Taboada,Veneno Para Las Hadas,False,1986 (28th) | Carlos Enrique Taboada ‡ | Veneno Para Las Hadas | [ 33 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
1986,Los Motivos de Luz,,False,Felipe Cazals | Los Motivos de Luz,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Director
