year,film,person,is_winner,raw_text,source_url
2000,2000,,False,2000 (42nd) [ 2 ] [ 3 ] [ 4 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2000,O Primeiro Dia,Walter Salles and Daniela Thomas,True,Midnight ‡ | O Primeiro Dia | Walter Salles and Daniela Thomas | Brazil,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2000,Todo sobre mi madre,Pedro Almodóvar,False,All About My Mother | Todo sobre mi madre | Pedro Almodóvar | Spain,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2000,Víctor Gaviria,Colombia,False,La vendedora de rosas | Víctor Gaviria | Colombia,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2001,2001,,False,2001 (43rd) [ 2 ] [ 5 ] [ 6 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2001,Solas,Benito Zambrano,True,Alone ‡ | Solas | Benito Zambrano | Spain,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2001,Sebastián Cordero,Ecuador,False,"Ratas, Ratones, Rateros | Sebastián Cordero | Ecuador",https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2001,Garage Olimpo,Marco Bechis,False,Olympic Garage | Garage Olimpo | Marco Bechis | Argentina,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2002,2002,,False,2002 (44th) [ 2 ] [ 7 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2002,Humberto Solás,Cuba,True,Miel para Oshún ‡ | Humberto Solás | Cuba,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2002,Taxi para tres,Orlando Lübbert,False,A Cab for Three | Taxi para tres | Orlando Lübbert | Chile,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2002,Augusto Tamayo San Román,Peru,False,El bien esquivo | Augusto Tamayo San Román | Peru,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2003,2003,,False,2003 (45th) [ 2 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2003,Corazón de fuego,Diego Arsuaga,True,The Last Train ‡ | Corazón de fuego | Diego Arsuaga | Uruguay,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2003,Rodrigo Triana,Colombia,False,Como el gato y el ratón | Rodrigo Triana | Colombia,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2003,Juan Carlos Cremata,Cuba,False,Nada + | Juan Carlos Cremata | Cuba,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2004,2004,,False,2004 ( 46th ) [ 2 ] [ 5 ] [ 8 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2004,Los lunes al sol,Fernando León de Aranoa,True,Mondays in the Sun ‡ | Los lunes al sol | Fernando León de Aranoa | Spain,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2004,El viaje hacia el mar,Fernando Casanova,False,Seawards Journey | El viaje hacia el mar | Fernando Casanova | Uruguay,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2004,Historias mínimas,Carlos Sorín,False,Intimate Stories | Historias mínimas | Carlos Sorín | Argentina,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2005,2005,,False,2005 ( 47th ) [ 9 ] [ 2 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2005,Juan Pablo Rebella and Pablo Stoll,Uruguay,True,Whisky ‡ | Juan Pablo Rebella and Pablo Stoll | Uruguay,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2005,Te doy mis ojos,Icíar Bollaín,False,Take My Eyes | Te doy mis ojos | Icíar Bollaín | Spain,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2005,Andrés Wood,Chile,False,Machuca | Andrés Wood | Chile,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2006,2006,,False,2006 (48th) [ 2 ] [ 10 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2006,Víctor Gaviria,Colombia,True,Sumas y restas ‡ | Víctor Gaviria | Colombia,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2006,Mar adentro,Alejandro Amenábar,False,The Sea Inside | Mar adentro | Alejandro Amenábar | Spain,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2006,Alicia Scherson,Chile,False,Play | Alicia Scherson | Chile,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2007,2007,,False,2007 (49th) [ 2 ] [ 11 ] [ 12 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2007,La vida secreta de las palabras,Isabel Coixet,True,The Secret Life of Words ‡ | La vida secreta de las palabras | Isabel Coixet | Spain,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2007,En la cama,Matías Bize,False,In Bed | En la cama | Matías Bize | Chile,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2007,Marco Martins,Portugal,False,Alice | Marco Martins | Portugal,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2008,2008,,False,2008 (50th) [ 2 ] [ 13 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2008,Lucía Puenzo,Argentina,True,XXY ‡ | Lucía Puenzo | Argentina,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2008,Tropa de Elite,José Padilha,False,Elite Squad | Tropa de Elite | José Padilha | Brazil,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2008,Andrés Baiz,Colombia,False,Satanás | Andrés Baiz | Colombia,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2009,2009,,False,2009 (51st) [ 2 ] [ 14 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2009,Leonera,Pablo Trapero,True,Lion's Den ‡ | Leonera | Pablo Trapero | Argentina,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2009,Perro come perro,Carlos Moreno,False,Dog Eat Dog | Perro come perro | Carlos Moreno | Colombia,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2009,Pablo Larraín,Chile,False,Tony Manero | Pablo Larraín | Chile,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2010,2010,,False,2010 (52nd) [ 2 ] [ 15 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2010,El secreto de sus ojos,Juan José Campanella,True,The Secret in Their Eyes ‡ | El secreto de sus ojos | Juan José Campanella | Argentina,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2010,La nana,Sebastián Silva,False,The Maid | La nana | Sebastián Silva | Chile,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2010,La teta asustada,Claudia Llosa,False,The Milk of Sorrow | La teta asustada | Claudia Llosa | Peru,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2011,2011,,False,2011 (53rd) [ 2 ] [ 16 ] [ 17 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2011,Fernando Pérez,Cuba,True,José Martí: el ojo del canario ‡ | Fernando Pérez | Cuba,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2011,También la lluvia,Icíar Bollaín,True,Even the Rain ‡ | También la lluvia | Icíar Bollaín | Spain,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2011,El hombre de al lado,Gastón Duprat & Mariano Cohn,False,The Man Next Door | El hombre de al lado | Gastón Duprat & Mariano Cohn | Argentina,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2012,2012,,False,2012 (54th) [ 2 ] [ 18 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2012,Pa negre,Agustí Villaronga,True,Black Bread ‡ | Pa negre | Agustí Villaronga | Spain,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2012,La hora cero,Diego Velasco,False,The Zero Hour | La hora cero | Diego Velasco | Venezuela,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2012,Violeta se fue a los cielos,Andrés Wood,False,Violeta Went to Heaven | Violeta se fue a los cielos | Andrés Wood | Chile,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2013,2013,,False,2013 ( 55th ) [ 2 ] [ 19 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2013,Pablo Berger,Spain,True,Blancanieves ‡ | Pablo Berger | Spain,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2013,Pablo Larraín,Chile,False,No | Pablo Larraín | Chile,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2013,Sebastián Cordero,Ecuador,False,Pescador | Sebastián Cordero | Ecuador,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2014,2014,,False,2014 ( 56th ) [ 2 ] [ 20 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2014,Sebastián Lelio,Chile,True,Gloria ‡ | Sebastián Lelio | Chile,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2014,Wakolda,Lucía Puenzo,False,The German Doctor | Wakolda | Lucía Puenzo | Argentina,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2014,Alfredo Soderguit,Uruguay,False,Anina | Alfredo Soderguit | Uruguay,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2014,Carlos Lechuga,Cuba,False,Melaza | Carlos Lechuga | Cuba,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2014,15 años y un día,Gracia Querejeta,False,15 Years and One Day | 15 años y un día | Gracia Querejeta | Spain,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2015,2015,,False,2015 ( 57th ) [ 2 ] [ 21 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2015,Relatos salvajes,Damián Szifron,True,Wild Tales ‡ | Relatos salvajes | Damián Szifron | Argentina,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2015,Conducta,Ernesto Daranas,False,Behavior | Conducta | Ernesto Daranas | Cuba,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2015,La isla mínima,Alberto Rodríguez,False,Marshland | La isla mínima | Alberto Rodríguez | Spain,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2015,Álvaro Brechner,Uruguay,False,Mr. Kaplan | Álvaro Brechner | Uruguay,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2015,Pelo malo,Mariana Rondón,False,Bad Hair | Pelo malo | Mariana Rondón | Venezuela,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2016,2016,,False,2016 ( 58th ) [ 2 ] [ 22 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2016,El abrazo de la serpiente,Ciro Guerra,True,Embrace of the Serpent ‡ | El abrazo de la serpiente | Ciro Guerra | Colombia,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2016,El clan,Pablo Trapero,False,The Clan | El clan | Pablo Trapero | Argentina,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2016,El club,Pablo Larraín,False,The Club | El club | Pablo Larraín | Chile,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2016,O Lobo Atrás da Porta,Fernando Coimbra,False,A Wolf at the Door | O Lobo Atrás da Porta | Fernando Coimbra | Brazil,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2016,Cesc Gay,Spain,False,Truman | Cesc Gay | Spain,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2017,2017,,False,2017 ( 59th ) [ 2 ] [ 23 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2017,El ciudadano ilustre,Gastón Duprat & Mariano Cohn,True,The Distinguished Citizen ‡ | El ciudadano ilustre | Gastón Duprat & Mariano Cohn | Argentina,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
2017,Que Horas Ela Volta?,Anna Muylaert,True,The Second Mother ‡ | Que Horas Ela Volta? | Anna Muylaert | Brazil,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Ibero-American_Film
