year,film,person,is_winner,raw_text,source_url
1947,José Baviera,La Barraca,False,1947 (1st) | José Baviera ‡ | La Barraca | [ 5 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1947,Me He de Comer Esa Tuna,,False,Antonio Badú | Me He de Comer Esa Tuna,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1947,Canaima: El Dios del Mal,,False,Carlos López Moctezuma | Canaima: El Dios del Mal,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1947,Fernando Soto,Campeón Sin Corona,False,1947 (2nd) | Fernando Soto ‡ | Campeón Sin Corona | [ 6 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1947,Pepita Jiménez,,False,Fortunio Bonanova | Pepita Jiménez,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1947,La Otra,,False,Víctor Junco | La Otra,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1948,Víctor Manuel Mendoza,Cuando Lloran los Valientes,False,1948 (3rd) | Víctor Manuel Mendoza ‡ | Cuando Lloran los Valientes | [ 7 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1948,Soledad,,False,Rafael Alcayde | Soledad,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1948,Soledad,,False,Rubén Rojo | Soledad,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1949,Víctor Parra,El Muchacho Alegre,False,1949 (4th) | Víctor Parra ‡ | El Muchacho Alegre | [ 8 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1949,Que Dios Me Perdone,,False,Tito Junco | Que Dios Me Perdone,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1949,Juan Charrasqueado,,False,Arturo Martínez | Juan Charrasqueado,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1950,Víctor Parra,Ángeles del Arrabal,False,1950 (5th) | Víctor Parra ‡ | Ángeles del Arrabal | [ 9 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1950,Salón México,,False,Rodolfo Acosta | Salón México,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1950,La Hija del Penal,,False,Andrés Soler | La Hija del Penal,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1951,Joaquín Cordero,Las Dos Huerfanitas,False,1951 (6th) | Joaquín Cordero ‡ | Las Dos Huerfanitas | [ 10 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1951,Doña Diabla,,False,José María Linares | Doña Diabla,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1951,No Desearás a la Mujer de Tu Hijo,,False,Andrés Soler | No Desearás a la Mujer de Tu Hijo,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1952,Carlos Navarro,Doña Perfecta,False,1952 (7th) | Carlos Navarro ‡ | Doña Perfecta | [ 11 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1952,Flor de Sangre,,False,Alberto Mariscal | Flor de Sangre,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
1952,Doña Perfecta,,False,Julio Villarreal | Doña Perfecta,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actor
