year,film,person,is_winner,raw_text,source_url
1947,Lilia Michel,Un Beso en la Noche,False,1947 (1st) | Lilia Michel ‡ | Un Beso en la Noche | [ 4 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1947,El Monje Blanco,,False,María Douglas | El Monje Blanco,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1947,La Barraca,,False,Amparo Morillo | La Barraca,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1947,Lilia Michel,Vértigo,False,1947 (2nd) | Lilia Michel ‡ | Vértigo | [ 5 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1947,Sinfonía de una vida,,False,Pituka de Foronda | Sinfonía de una vida,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1947,Mamá Inés,,False,Marga López | Mamá Inés,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1948,Marga López,Soledad,False,1948 (3rd) | Marga López ‡ | Soledad | [ 6 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1948,A Media Luz,,False,Fanny Schiller | A Media Luz,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1948,Vuelven los García,,False,Blanca Estela Pavón | Vuelven los García,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1949,Columba Domínguez,Maclovia,False,1949 (4th) | Columba Domínguez ‡ | Maclovia | [ 7 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1949,Las Mañanitas,,False,Carmen Molina | Las Mañanitas,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1950,Martha Roth,Una Familia de Tantas,False,1950 (5th) | Martha Roth ‡ | Una Familia de Tantas | [ 8 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1950,Una Familia de Tantas,,False,Eugenia Galindo | Una Familia de Tantas,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1951,Stella Inda,Los Olvidados,False,1951 (6th) | Stella Inda ‡ | Los Olvidados | [ 9 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1951,Otra Primavera,,False,Patricia Morán | Otra Primavera,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1951,Un Día de Vida,,False,Rosaura Revueltas | Un Día de Vida,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1952,Carmen Montejo,Mujeres Sin Mañana,False,1952 (7th) | Carmen Montejo ‡ | Mujeres Sin Mañana | [ 10 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1952,Negro es Mi Dolor,,False,Rita Montaner | Negro es Mi Dolor,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1952,Doña Perfecta,,False,Natalia Ortíz | Doña Perfecta,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1953,Silvia Pinal,Un Rincón Cerca del Cielo,False,1953 (8th) | Silvia Pinal ‡ | Un Rincón Cerca del Cielo | [ 11 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1953,La Ausente,,False,María Douglas | La Ausente,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1953,Sor Alegría,,False,Carmen Montejo | Sor Alegría,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1954,Katy Jurado,El Bruto,False,1954 (9th) | Katy Jurado ‡ | El Bruto | [ 12 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1954,Las Tres Perfectas Casadas,,False,Miroslava | Las Tres Perfectas Casadas,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1954,Reportaje,,False,Amanda del Llano | Reportaje,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1955,Amanda del Llano,La Rebelión de Los Colgados,False,1955 (10th) | Amanda del Llano ‡ | La Rebelión de Los Colgados | [ 13 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1955,La Duda,,False,Magda Guzmán | La Duda,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1955,La Infame,,False,Carmen Montejo | La Infame,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1956,Blanca de Castejón,Escuela de Vagabundos,False,1956 (11th) | Blanca de Castejón ‡ | Escuela de Vagabundos | [ 14 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1956,Ensayo de un Crimen,,False,Rita Macedo | Ensayo de un Crimen,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1956,Una Mujer en la Calle,,False,Amparo Villegas | Una Mujer en la Calle,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1957,Sara García,La Tercera Palabra,False,1957 (12th) | Sara García ‡ | La Tercera Palabra | [ 15 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1957,El Rey de México,,False,Silvia Derbez | El Rey de México,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1957,Talpa,,False,Hortensia Santoveña | Talpa,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1958,Lucy Gallardo,Bambalinas,False,1958 (13th) | Lucy Gallardo ‡ | Bambalinas | [ 16 ],https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1958,La Culta Dama,,False,Gloria Lozano | La Culta Dama,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
1958,Esposa Te Doy,,False,Maricruz Olivier | Esposa Te Doy,https://en.wikipedia.org/wiki/Ariel_Award_for_Best_Supporting_Actress
