year,film,person,is_winner,raw_text,source_url
,MindWorks Media,Hassan Waqas Rana,True,Waar | MindWorks Media | Hassan Waqas Rana,https://en.wikipedia.org/wiki/ARY_Film_Award_for_Best_Film
,7th Sky Entertainment,Abdullah Kadwani and Shahzad Nawaz,False,Chambaili | 7th Sky Entertainment | Abdullah Kadwani and Shahzad Nawaz,https://en.wikipedia.org/wiki/ARY_Film_Award_for_Best_Film
,Sound View Production,Shafquat Chaudhry,False,Ishq Khuda | Sound View Production | Shafquat Chaudhry,https://en.wikipedia.org/wiki/ARY_Film_Award_for_Best_Film
,Six Sigma Entertainment,Humayun Saeed and Shahzad Nasib,False,Main Hoon Shahid Afridi | Six Sigma Entertainment | Humayun Saeed and Shahzad Nasib,https://en.wikipedia.org/wiki/ARY_Film_Award_for_Best_Film
,Matteela Films,Mazhar Zaidi,False,Zinda Bhaag | Matteela Films | Mazhar Zaidi,https://en.wikipedia.org/wiki/ARY_Film_Award_for_Best_Film
,Six Sigma Plus,"Salman Iqbal, Humayun Saeed , Shahzad Nasib and Jarjees Seja",True,"Jawani Phir Nahi Ani | Six Sigma Plus | Salman Iqbal, Humayun Saeed , Shahzad Nasib and Jarjees Seja",https://en.wikipedia.org/wiki/ARY_Film_Award_for_Best_Film
,Wajahat Rauf,Showcase Communication Films,False,Karachi Se Lahore | Wajahat Rauf | Showcase Communication Films,https://en.wikipedia.org/wiki/ARY_Film_Award_for_Best_Film
,A&B Entertainment,Babar Javed,False,Manto | A&B Entertainment | Babar Javed,https://en.wikipedia.org/wiki/ARY_Film_Award_for_Best_Film
,Azad Film Company and Mandviwalla Entertainment,"Nazira Ali, Nadeem Mandviwalla and Jami",False,"Moor | Azad Film Company and Mandviwalla Entertainment | Nazira Ali, Nadeem Mandviwalla and Jami",https://en.wikipedia.org/wiki/ARY_Film_Award_for_Best_Film
,YNH Films,"Yasir Nawaz, Nida Yasir and Hassan Zia",False,"Wrong No. | YNH Films | Yasir Nawaz, Nida Yasir and Hassan Zia",https://en.wikipedia.org/wiki/ARY_Film_Award_for_Best_Film
