year,film,person,is_winner,raw_text,source_url
,Narayan Ghosh Mita,Lathial,False,1975 (1st) | Narayan Ghosh Mita | Lathial † | [ 2 ] [ 1 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
,Harunur Rashid,Megher Onek Rong,False,1976 (2nd) | Harunur Rashid | Megher Onek Rong † | [ 3 ] [ 4 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
,Subhash Dutta,Bosundhora,False,1977 (3rd) | Subhash Dutta | Bosundhora † | [ 5 ] [ 6 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
,Amjad Hossain,Golapi Ekhon Traine,False,1978 (4th) | Amjad Hossain | Golapi Ekhon Traine † | [ 5 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
,Sheikh Niamat Ali,Surjo Dighol Bari,False,1979 (5th) † | Sheikh Niamat Ali | Surjo Dighol Bari † | [ 7 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
,Masihuddin Shaker,,False,1979 (5th) † | Masihuddin Shaker,https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
,Abdullah al Mamun,Ekhoni Somoy,False,1980 (6th) | Abdullah al Mamun | Ekhoni Somoy | [ 8 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,No Award,,False,1981 | No Award | [ 8 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Mohiuddin Ahmad,Boro Bhalo Lok Chhilo,False,1982 (7th) | Mohiuddin Ahmad | Boro Bhalo Lok Chhilo | [ 8 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Kamal Ahmed,Lalu Bhulu,False,1983 (8th) | Kamal Ahmed | Lalu Bhulu | [ 9 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Amjad Hossain,Bhat De,False,1984 (9th) | Amjad Hossain | Bhat De † | [ 10 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Sheikh Niamat Ali,Dahan,False,1985 (10th) | Sheikh Niamat Ali | Dahan | [ 10 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Chashi Nazrul Islam,Shuvoda,False,1986 (11th) | Chashi Nazrul Islam | Shuvoda † | [ 11 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,A. J. Mintu,Lalu Mastan,False,1987 (12th) | A. J. Mintu | Lalu Mastan | [ 11 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Abdullah al Mamun,Dui Jibon,False,1988 (13th) | Abdullah al Mamun | Dui Jibon † | [ 12 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,A. J. Mintu,Satya Mithya,False,1989 (14th) | A. J. Mintu | Satya Mithya | [ 12 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Kamal Ahmed,Goriber Bou,False,1990 (15th) | Kamal Ahmed | Goriber Bou † | [ 13 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,A. J. Mintu,Pita Mata Santan,False,1991 (16th) | A. J. Mintu | Pita Mata Santan | [ 13 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Motin Rahman,Andha Biswas,False,1992 (17th) | Motin Rahman | Andha Biswas | [ 14 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,A. J. Mintu,Banglar Bodhu,False,1993 (18th) | A. J. Mintu | Banglar Bodhu | [ 15 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Kazi Hayat,Desh Premik,False,1994 (19th) | Kazi Hayat | Desh Premik † | [ 15 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Sheikh Niamat Ali,Anya Jibon,False,1995 (20th) | Sheikh Niamat Ali | Anya Jibon † | [ 16 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Akhtaruzzaman,Poka Makorer Ghor Bosoti,False,1996 (21st) | Akhtaruzzaman | Poka Makorer Ghor Bosoti † | [ 17 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Chashi Nazrul Islam,Hangor Nodi Grenade,False,1997 (22nd) | Chashi Nazrul Islam | Hangor Nodi Grenade | [ 17 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Not Given,,False,1998 (23nd) | Not Given | [ 18 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Tanvir Mokammel,Chitra Nodir Pare,False,1999 (24th) | Tanvir Mokammel | Chitra Nodir Pare † | [ 18 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Abu Sayeed,Kittonkhola,False,2000 (25th) | Abu Sayeed | Kittonkhola † | [ 19 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Tanvir Mokammel,Lalsalu,False,2001 (26th) | Tanvir Mokammel | Lalsalu † | [ 19 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Kazi Hayat,Itihas,False,2002 (27th) | Kazi Hayat | Itihas | [ 20 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Not Given,,False,2003 (28th) | Not Given | [ 18 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Tauquir Ahmed,Joyjatra,False,2004 (29th) | Tauquir Ahmed | Joyjatra † | [ 21 ] [ 22 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Kohinur Akter Suchanda,Hajar Bachhor Dhore,False,2005 (30th) | Kohinur Akter Suchanda | Hajar Bachhor Dhore † | [ 21 ] [ 22 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Kazi Morshed,Ghani,False,2006 (31st) | Kazi Morshed | Ghani | [ 23 ] [ 22 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Enamul Karim Nirjhar,Aha!,False,2007 (32nd) | Enamul Karim Nirjhar | Aha! | [ 23 ] [ 22 ] [ 24 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Murad Parvez,Chandragrohon,False,2008 (33rd) | Murad Parvez | Chandragrohon † | [ 25 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Syed Wahiduzzaman Diamond,Gangajatra,False,2009 (34th) | Syed Wahiduzzaman Diamond | Gangajatra | [ 25 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Khalid Mahmud Mithu,Gohine Shobdo,False,2010 (35th) | Khalid Mahmud Mithu | Gohine Shobdo † | [ 26 ] [ 27 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Nasiruddin Yousuff,Guerrilla,False,2011 (36th) | Nasiruddin Yousuff | Guerrilla † | [ 28 ] [ 29 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Humayun Ahmed,Ghetuputra Komola,False,2012 (37th) | Humayun Ahmed | Ghetuputra Komola | [ 30 ] [ 31 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Gazi Rakayet,Mrittika Maya,False,2013 (38th) | Gazi Rakayet | Mrittika Maya † | [ 32 ] [ 33 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Zahidur Rahman Anjan,Meghmallar,False,2014 (39th) | Zahidur Rahman Anjan | Meghmallar | [ 34 ] [ 35 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Reazul Mawla Rezu,Bapjaner Bioscope,False,2015 (40th) † | Reazul Mawla Rezu | Bapjaner Bioscope † | [ 2 ] [ 36 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Morshedul Islam,Anil Bagchir Ekdin,False,2015 (40th) † | Morshedul Islam | Anil Bagchir Ekdin †,https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Amitabh Reza Chowdhury,Aynabaji,False,2016 (41st) | Amitabh Reza Chowdhury | Aynabaji | [ 37 ] [ 38 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Badrul Anam Saud,Gohin Baluchor,False,2017 (42nd) | Badrul Anam Saud | Gohin Baluchor | [ 39 ] [ 40 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Mostafizur Rahman Manik,Jannat,False,2018 (43rd) | Mostafizur Rahman Manik | Jannat | [ 39 ] [ 40 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Taneem Rahman Angshu,No Dorai,False,2019 (44th) | Taneem Rahman Angshu | No Dorai | [ 41 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Gazi Rakayet,Gor,False,2020 (45th) | Gazi Rakayet | Gor (The Grave) | ,https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Rezwan Shahriar Sumit,Nonajoler Kabbo,False,2021 (46th) | Rezwan Shahriar Sumit | Nonajoler Kabbo | ,https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Rubaiyat Hossain,Shimu,False,2022 (47th) | Rubaiyat Hossain | Shimu | [ 42 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
1981,Khandaker Sumon,Saatao,False,2023 (48th) | Khandaker Sumon | Saatao | [ 43 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
,A. J. Mintu,,False,4 | A. J. Mintu,https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
,Sheikh Niamat Ali,,False,3 | Sheikh Niamat Ali,https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
,Abdullah al Mamun,,False,2 | Abdullah al Mamun,https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Director
