year,film,person,is_winner,raw_text,source_url
,Indicates a joint award for that year,,False,† | Indicates a joint award for that year,https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Film
,Lathial,Narayan Ghosh Mita,False,1975 (1st) | Lathial | Narayan Ghosh Mita | Narayan Ghosh Mita | [ 1 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Film
,Megher Onek Rong,Anwar Ashraf,False,1976 (2nd) | Megher Onek Rong | Anwar Ashraf | Harunur Rashid | [ 2 ] [ 3 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Film
,Bosundhora,Subhash Dutta,False,1977 (3rd) | Bosundhora | Subhash Dutta | Subhash Dutta | [ 4 ] [ 5 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Film
,Golapi Ekhon Traine,Amjad Hossain,False,1978 (4th) | Golapi Ekhon Traine | Amjad Hossain | Amjad Hossain | [ 4 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Film
,Surjo Dighol Bari,Masihuddin Shaker Sheikh Niamat Ali,False,1979 (5th) | Surjo Dighol Bari | Masihuddin Shaker Sheikh Niamat Ali | Masihuddin Shaker Sheikh Niamat Ali | [ 6 ] [ 7 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Film
,Emiler Goenda Bahini,Badal Rahman,False,1980 (6th) | Emiler Goenda Bahini | Badal Rahman | Badal Rahman | [ 8 ] [ 9 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Film
1981,No Award,,False,1981 | No Award | [ 8 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Film
1981,Not Given,,False,1982 (7th) | Not Given | [ 8 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Film
1981,Puroskar,Satya Saha,False,1983 (8th) | Puroskar | Satya Saha | C. B. Zaman | [ 10 ],https://en.wikipedia.org/wiki/Bangladesh_National_Film_Award_for_Best_Film
