year,film,person,is_winner,raw_text,source_url
,Roman Polanski,5,False,Most awards | Roman Polanski | 5 | Tonie Marshall Justine Triet | 1,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Alain Resnais,8,False,Most nominations | Alain Resnais | 8 | Nicole Garcia & Maïwenn | 3,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Claude Miller,7,False,Most nominations without winning | Claude Miller | 7 | Nicole Garcia & Maïwenn | 3,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Roman Polanski,86,False,Oldest winner | Roman Polanski | 86 | Tonie Marshall | 48,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Alain Resnais,84,False,Oldest nominee | Alain Resnais | 84 | Agnès Varda | 57,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Xavier Dolan,27,False,Youngest winner | Xavier Dolan | 27 | Justine Triet | 45,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Luc Besson,26,False,Youngest nominee | Luc Besson | 26 | Maïwenn | 35,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Bertrand Tavernier,Let Joy Reign Supreme,True,1976 (1st) | Bertrand Tavernier | Let Joy Reign Supreme | Que la fête commence...,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,The Old Gun,Le Vieux Fusil,False,Robert Enrico | The Old Gun | Le Vieux Fusil,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Call me Savage,Le Sauvage,False,Jean-Paul Rappeneau | Call me Savage | Le Sauvage,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,The Story of Adele H.,L'Histoire d'Adèle H.,False,François Truffaut | The Story of Adele H. | L'Histoire d'Adèle H.,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Joseph Losey,Mr. Klein,True,1977 (2nd) | Joseph Losey | Mr. Klein | Monsieur Klein,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,The Best Way to Walk,La Meilleure Façon de marcher,False,Claude Miller | The Best Way to Walk | La Meilleure Façon de marcher,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,The Judge and the Assassin,Le Juge et l'assassin,False,Bertrand Tavernier | The Judge and the Assassin | Le Juge et l'assassin,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Barocco,,False,André Téchiné | Barocco,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Alain Resnais,Providence,True,1978 (3rd) | Alain Resnais | Providence,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,That Obscure Object of Desire,Cet obscur objet du désir,False,Luis Buñuel | That Obscure Object of Desire | Cet obscur objet du désir,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,This Sweet Sickness,Dites-lui que je l'aime,False,Claude Miller | This Sweet Sickness | Dites-lui que je l'aime,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Drummer-Crab,Le Crabe-Tambour,False,Pierre Schoendoerffer | Drummer-Crab | Le Crabe-Tambour,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Christian de Chalonge,Other People's Money,True,1979 (4th) | Christian de Chalonge | Other People's Money | L'Argent des autres,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Dossier 51,Le Dossier 51,False,Michel Deville | Dossier 51 | Le Dossier 51,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Molière,,False,Ariane Mnouchkine | Molière,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,A Simple Story,Une histoire simple,False,Claude Sautet | A Simple Story | Une histoire simple,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Roman Polanski,Tess,True,1980 (5th) | Roman Polanski (nominated for the Academy Award ) | Tess,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Womanlight,Clair de femme,False,Costa Gavras | Womanlight | Clair de femme,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Don Giovanni,,False,Joseph Losey | Don Giovanni,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,The Hussy,La Drôlesse,False,Jacques Doillon | The Hussy | La Drôlesse,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,François Truffaut,The Last Metro,True,1981 (6th) | François Truffaut | The Last Metro | Le dernier métro,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Slow Motion,Sauve qui peut,False,Jean-Luc Godard | Slow Motion (a.k.a. Every Man for Himself ) | Sauve qui peut (la vie),https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,My American Uncle,Mon oncle d'Amérique,False,Alain Resnais | My American Uncle | Mon oncle d'Amérique,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,A Bad Son,Un mauvais fils,False,Claude Sautet | A Bad Son | Un mauvais fils,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Jean-Jacques Annaud,Quest for Fire,True,1982 (7th) | Jean-Jacques Annaud | Quest for Fire | La Guerre du feu,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Strange Affair,Une étrange affaire,False,Pierre Granier-Deferre | Strange Affair | Une étrange affaire,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Under Suspicion,Garde à vue,False,Claude Miller | Under Suspicion | Garde à vue,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Clean Up,Coup de torchon,False,Bertrand Tavernier | Clean Up (a.k.a. Clean Slate ) | Coup de torchon,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Andrzej Wajda,Danton,True,1983 (8th) | Andrzej Wajda | Danton,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,A Room in Town,Une chambre en ville,False,Jacques Demy | A Room in Town | Une chambre en ville,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Passion,,False,Jean-Luc Godard | Passion,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,The Balance,La Balance,False,Bob Swaim | The Balance | La Balance,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Ettore Scola,The Ball,True,1984 (9th) | Ettore Scola | The Ball | Le Bal,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,"So Long, Stooge",Tchao pantin,False,"Claude Berri | So Long, Stooge | Tchao pantin",https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,One Deadly Summer,L'Été meurtrier,False,Jean Becker | One Deadly Summer | L'Été meurtrier,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,To Our Loves,À nos amours,False,Maurice Pialat | To Our Loves | À nos amours,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,"Finally, Sunday",Vivement dimanche!,False,"François Truffaut | Finally, Sunday | Vivement dimanche!",https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Claude Zidi,My New Partner,True,1985 (10th) | Claude Zidi | My New Partner | Les Ripoux,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Love Unto Death,L'Amour à mort,False,Alain Resnais | Love Unto Death | L'Amour à mort,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
,Full Moon in Paris,Les Nuits de la pleine lune,False,Éric Rohmer | Full Moon in Paris | Les Nuits de la pleine lune,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Director
