year,film,person,is_winner,raw_text,source_url
1976,The Old Gun,Le Vieux Fusil,True,1976 | The Old Gun | Le Vieux Fusil | Robert Enrico,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1976,"Cousin, cousine",Jean Charles Tacchella,False,"Cousin, Cousine | Cousin, cousine | Jean Charles Tacchella",https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1976,Que la fête commence,Bertrand Tavernier,False,Let Joy Reign Supreme | Que la fête commence | Bertrand Tavernier,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1976,7 morts sur ordonnance,Jacques Rouffio,False,7 morts sur ordonnance | 7 morts sur ordonnance | Jacques Rouffio,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1977,Mr. Klein,Monsieur Klein,True,1977 | Mr. Klein | Monsieur Klein | Joseph Losey,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1977,André Téchiné,,False,Barocco | André Téchiné,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1977,La Meilleure Façon de marcher,Claude Miller,False,The Best Way to Walk | La Meilleure Façon de marcher | Claude Miller,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1977,Le Juge et l'assassin,Bertrand Tavernier,False,The Judge and the Assassin | Le Juge et l'assassin | Bertrand Tavernier,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1978,Providence,Alain Resnais,True,1978 | Providence | Alain Resnais,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1978,Le Crabe-Tambour,Pierre Schoendoerffer,False,Drummer-Crab | Le Crabe-Tambour | Pierre Schoendoerffer,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1978,La Dentellière,Claude Goretta,False,The Lacemaker | La Dentellière | Claude Goretta,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1978,Nous irons tous au paradis,Yves Robert,False,We Will All Meet in Paradise | Nous irons tous au paradis | Yves Robert,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1979,Other People's Money,L'Argent des autres,True,1979 | Other People's Money | L'Argent des autres | Christian de Chalonge,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1979,Le Dossier 51,Michel Deville,False,Dossier 51 | Le Dossier 51 | Michel Deville,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1979,Ariane Mnouchkine,,False,Molière | Ariane Mnouchkine,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1979,Une histoire simple,Claude Sautet,False,A Simple Story | Une histoire simple | Claude Sautet,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1980,Tess,Roman Polanski,True,1980 | Tess | Roman Polanski,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1980,Joseph Losey,,False,Don Giovanni | Joseph Losey,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1980,I... comme Icare,Henri Verneuil,False,I as in Icarus | I... comme Icare | Henri Verneuil,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1980,Clair de femme,Costa Gavras,False,Womanlight | Clair de femme | Costa Gavras,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1981,The Last Metro,Le Dernier Métro,True,1981 | The Last Metro | Le Dernier Métro | François Truffaut,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1981,Maurice Pialat,,False,Loulou | Maurice Pialat,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1981,Mon oncle d'Amérique,Alain Resnais,False,My American Uncle | Mon oncle d'Amérique | Alain Resnais,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1981,Sauve qui peut,Jean-Luc Godard,False,Slow Motion (a.k.a. Every Man for Himself ) | Sauve qui peut (la vie) | Jean-Luc Godard,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1982,Quest for Fire,La Guerre du feu,True,1982 | Quest for Fire | La Guerre du feu | Jean-Jacques Annaud,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1982,Coup de torchon,Bertrand Tavernier,False,Clean Up (a.k.a. Clean Slate ) | Coup de torchon | Bertrand Tavernier,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1982,Les Uns et les autres,Claude Lelouch,False,Dance of Life | Les Uns et les autres | Claude Lelouch,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1982,Garde à vue,Claude Miller,False,Under Suspicion | Garde à vue | Claude Miller,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1983,The Nark,La Balance,True,1983 | The Nark | La Balance | Bob Swaim,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1983,Andrzej Wajda,,False,Danton | Andrzej Wajda,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1983,Jean-Luc Godard,,False,Passion | Jean-Luc Godard,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1983,Une chambre en ville,Jacques Demy,False,A Room in Town | Une chambre en ville | Jacques Demy,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1984,The Ball,Le Bal,True,1984 | The Ball | Le Bal | Ettore Scola,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1984,À nos amours,Maurice Pialat,True,To Our Love | À nos amours | Maurice Pialat,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1984,Entre nous,Diane Kurys,False,Between Us | Entre nous (a.k.a. Coup de foudre ) | Diane Kurys,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1984,L'Été meurtrier,Jean Becker,False,One Deadly Summer | L'Été meurtrier | Jean Becker,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1984,Tchao pantin,Claude Berri,False,"So Long, Stooge | Tchao pantin | Claude Berri",https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1985,My New Partner,Les Ripoux,True,1985 | My New Partner | Les Ripoux | Claude Zidi,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1985,Francesco Rosi,,False,Carmen | Francesco Rosi,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
1985,Les Nuits de la pleine lune,Éric Rohmer,False,Full Moon in Paris | Les Nuits de la pleine lune | Éric Rohmer,https://en.wikipedia.org/wiki/C%C3%A9sar_Award_for_Best_Film
