year,film,person,is_winner,raw_text,source_url
,No award given that year,,False,1983 (1st) | No award given that year,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Hossein Parvaresh,The Weak Point,True,1984 (2nd) | Hossein Parvaresh | The Weak Point | نقطه ضعف | The Interrogator,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Jamshid Mashayekhi,"Kamalolmolk , Chrysanthemums",True,"1985 (3rd) | Jamshid Mashayekhi | Kamalolmolk , Chrysanthemums | کمال‌الملک, گل‌های داوودی | Kamal-ol-molk , Ostovar Hedayat",https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Hadi Eslami,The Bus,True,1986 (4th) | Hadi Eslami | The Bus | اتوبوس | ,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,The Finish Line,خط پایان,False,Iraj Tahmasb | The Finish Line | خط پایان | Khalil Samandar,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Dariush Arjmand,Captain Khorshid,True,1987 (5th) | Dariush Arjmand | Captain Khorshid | ناخدا خورشید | Captain Khorshid,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,The Lodgers,اجاره‌نشین‌ها,False,Ezzatolah Entezami | The Lodgers | اجاره‌نشین‌ها | Abbas,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,The Stone Lion,شیر سنگی,False,Ali Nassirian | The Stone Lion | شیر سنگی | Aliyar,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Faramarz Gharibian,Train,True,1988 (6th) | Faramarz Gharibian | Train | ترن | Poulad,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Off-Limits,خارج از محدوده,False,Mehdi Hashemi | Off-Limits | خارج از محدوده | Mohammad Javad Halimi,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Gifts,تحفه‌ها,False,Mehdi Fathi | Gifts | تحفه‌ها | Mafakher,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Beyond the Fire,آن سوی آتش,False,Khosrow Shojazadeh | Beyond the Fire | آن سوی آتش | Nozar,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,The First Lawyer,وکیل اول,False,Esmaeel Mehrabi | The First Lawyer | وکیل اول | ,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Ezzatolah Entezami,Grand Cinema,True,1989 (7th) | Ezzatolah Entezami | Grand Cinema | گراند سینما | Aghaiev,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Pomegranate and Cane,نار و نی,True,Jahangir Almasi | Pomegranate and Cane | نار و نی | Kamali,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,The Years of Ash,سال‌های خاکستر,False,Ali Nassirian | The Years of Ash | سال‌های خاکستر | ,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,The Lead,سرب,False,Hadi Eslami | The Lead | سرب | Noori,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,The Scout,دیده‌بان,False,Mehrdad Soleimani | The Scout | دیده‌بان | ,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Khosrow Shakibai,Hamoun,True,1990 (8th) | Khosrow Shakibai | Hamoun | هامون | Hamid Hamoun,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Mother,مادر,False,Mohammad Ali Keshavarz | Mother | مادر | Mohammad Ebrahim,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Snake Fang,دندان مار,False,Faramarz Sadighi | Snake Fang | دندان مار | Reza,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,The Immigrant,مهاجر,False,Seyed Ali Reza Khatami | The Immigrant | مهاجر | Asad,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,The Searcher,جستجوگر,False,Dariush Arjmand | The Searcher | جستجوگر | Harmas,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Mehdi Hashemi,"One Ticket, Two Movies!",True,"1991 (9th) | Mehdi Hashemi | One Ticket, Two Movies! | دو فیلم با یک بلیت | ",https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,The Shadow of Imagination,سایه خیال,True,Hossein Panahi | The Shadow of Imagination | سایه خیال | Hossein Panahi,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,The Bride,عروس,False,Abolfazl Poorarab | The Bride | عروس | Hamid,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,"One Ticket, Two Movies!",دو فیلم با یک بلیت,False,"Dariush Farhang | One Ticket, Two Movies! | دو فیلم با یک بلیت | ",https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Love and Death,عشق و مرگ,False,Jamshid Hashempour | Love and Death | عشق و مرگ | Dr. Manoochehr Matin,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Faramarz Sadighi,Attorney General,True,1992 (10th) | Faramarz Sadighi | Attorney General | دادستان | Hossein Dadgar,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,"Once Upon a Time, Cinema",ناصرالدین‌شاه آکتور سینما,False,"Ezzatolah Entezami | Once Upon a Time, Cinema | ناصرالدین‌شاه آکتور سینما | Naser al-Din Shah Qajar / Mozaffar ad-Din Shah Qajar / Mash Hassan",https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,The Quiet Home,خانه خلوت,False,Ezzatolah Entezami | The Quiet Home | خانه خلوت | Amir Jalaleddin,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Avinar,اوینار,False,Parviz Poorhosseini | Avinar | اوینار | Tiva Bashir,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Baduk,بدوک,False,Mohamad Kasebi | Baduk | بدوک | Abdollah,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
,Narges,نرگس,False,Abolfazl Poorarab | Narges | نرگس | ,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Actor
