year,film,person,is_winner,raw_text,source_url
,Not awarded,,True,1983 1 | Not awarded | [ 1 ],https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Director
,Khosrow Sinai,The Inner Beast,True,1984 2 | Khosrow Sinai [ a ] [ b ] | The Inner Beast [ fa ] | [ 3 ] [ 4 ],https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Director
,Yadollah Samadi,The Man Who Knew Too Much,True,1985 3 | Yadollah Samadi [ a ] [ b ] | The Man Who Knew Too Much [ fa ] | [ 5 ] [ 6 ],https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Director
,Kianoush Ayari,The Monster,True,1986 4 | Kianoush Ayari [ a ] [ b ] | The Monster [ fa ] | [ 7 ] [ 8 ],https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Director
,Abbas Kiarostami,Where Is the Friend's Home?,True,1987 5 | Abbas Kiarostami [ b ] | Where Is the Friend's Home? | [ 9 ] [ 10 ],https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Director
,Captain Khorshid,,False,Nasser Taghvai | Captain Khorshid,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Director
,The Lodgers,,False,Dariush Mehrjui | The Lodgers,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Director
,The Key,,False,Ebrahim Forouzesh | The Key,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Director
,The Stony Lion,,False,Masoud Jafari Jozani | The Stony Lion [ fa ],https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Director
,Kianoush Ayari,Beyond the Fire,True,1988 6 | Kianoush Ayari [ b ] | Beyond the Fire [ fa ] | [ 11 ] [ 12 ],https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Director
,Little Bird of Happiness,,False,Pouran Derakhshandeh | Little Bird of Happiness,https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Director
,A Dowry for Robab,,False,Siamak Shayeghi | A Dowry for Robab [ fa ],https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Director
,The Awaiting Home,,False,Manouchehr Asgarinasab [ fa ] | The Awaiting Home [ fa ],https://en.wikipedia.org/wiki/Crystal_Simorgh_for_Best_Director
