year,film,person,is_winner,raw_text,source_url
,Sham Kaushal,,False,5 | Sham Kaushal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
,Tinu Verma,,False,4 | Tinu Verma,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
,"Allan Amin , Sunil Rodrigues",,False,"3 | Allan Amin , Sunil Rodrigues",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
,"Bhiku Verma, Akbar Bakshi, Vijayan , Tom Struthers, Parvez Shaikh",,False,"2 | Bhiku Verma, Akbar Bakshi, Vijayan , Tom Struthers, Parvez Shaikh",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2025,Oh Sea Young and Parvez Shaikh,Kill,False,2025 | Oh Sea Young and Parvez Shaikh | Kill,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2024,"Spiro Razatos, Anal Arasu, Craig Macrae, Yannick Ben, Kecha Khamphakdee, and Sunil Rodrigues",Jawan,False,"2024 | Spiro Razatos, Anal Arasu, Craig Macrae, Yannick Ben, Kecha Khamphakdee, and Sunil Rodrigues | Jawan",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2023,Parvez Shaikh,Vikram Vedha,False,2023 | Parvez Shaikh | Vikram Vedha,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2022,"Stefan Richter, Sunil Rodrigues",Shershaah,False,"2022 | Stefan Richter, Sunil Rodrigues | Shershaah",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2021,"Ramazan Bulut, R. P. Yadav",Tanhaji,False,"2021 | Ramazan Bulut, R. P. Yadav | Tanhaji",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2020,"Paul Jennings, Oh Sea Young, Parvez Shaikh and Franz Spilhaus",War,False,"2020 | Paul Jennings, Oh Sea Young, Parvez Shaikh and Franz Spilhaus | War",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2019,Vikram Dahiya & Sunil Rodrigues,Mukkabaaz,False,2019 | Vikram Dahiya & Sunil Rodrigues [ 1 ] | Mukkabaaz,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2018,Thomas Struthers,Tiger Zinda Hai,False,2018 | Thomas Struthers | Tiger Zinda Hai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2017,Sham Kaushal,Dangal,False,2017 | Sham Kaushal | Dangal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2016,Bajirao Mastani,,False,2016 | Bajirao Mastani,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2015,Gunday,,False,2015 | Gunday,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2014,Thomas Struthers & Guru Bachchan,D-Day,False,2014 | Thomas Struthers & Guru Bachchan | D-Day,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2013,Sham Kaushal,Gangs of Wasseypur,False,2013 | Sham Kaushal | Gangs of Wasseypur,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2012,Matthias Barsch,Don 2,False,2012 | Matthias Barsch | Don 2,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2011,Vijayan,Dabangg,False,2011 | Vijayan | Dabangg,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
2010,Wanted,,False,2010 | Wanted,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Action
